Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em JANEIRO/ 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.194 ; 1.608.584.722 ; 17.444 ; 1.771.111.454 ; 13.235 ; 4.838.207.308 ; 23.939 ; 4.496.118.906 ; 59.812 ; 12.714.022.391 ; 537 ; 11.472.203.761 ; 528 ; 10.628.992.428 ; 1.065 ; 22.101.196.188 ; 60.877 ; 34.815.218.579 ;;;;
2;60.701.190;ITAÈ UNIBANCO S.A.; 8.195 ; 893.567.281 ; 11.375 ; 698.861.716 ; 30.255 ; 737.208.634 ; 25.918 ; 4.114.401.622 ; 75.743 ; 6.444.039.253 ; 553 ; 11.502.968.950 ; 544 ; 11.374.943.222 ; 1.097 ; 22.877.912.171 ; 76.840 ; 29.321.951.424 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 2.657 ; 1.856.135.567 ; 7.286 ; 2.090.355.692 ; 7.981 ; 6.053.931.014 ; 16.282 ; 7.331.901.728 ; 34.206 ; 17.332.324.002 ; 301 ; 3.842.655.756 ; 283 ; 2.744.813.749 ; 584 ; 6.587.469.506 ; 34.790 ; 23.919.793.508 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 3.225 ; 1.534.845.727 ; 11.779 ; 1.669.760.336 ; 11.686 ; 4.041.354.305 ; 22.022 ; 3.255.337.522 ; 48.712 ; 10.501.297.888 ; 372 ; 6.037.319.838 ; 376 ; 6.224.778.244 ; 748 ; 12.262.098.082 ; 49.460 ; 22.763.395.970 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 11.147 ; 5.361.717.924 ; 21.392 ; 3.917.711.906 ; 20.504 ; 1.379.659.710 ; 24.648 ; 2.277.043.073 ; 77.691 ; 12.936.132.613 ; 377 ; 2.491.737.273 ; 355 ; 1.893.271.486 ; 732 ; 4.385.008.759 ; 78.423 ; 17.321.141.371 ;;;;
6;60.746.948;BANCO BRADESCO S.A.; 6.476 ; 3.312.928.897 ; 14.056 ; 2.970.530.527 ; 22.458 ; 3.615.719.582 ; 19.102 ; 3.978.238.147 ; 62.092 ; 13.877.417.152 ; 595 ; 1.268.519.059 ; 610 ; 1.226.976.600 ; 1.205 ; 2.495.495.659 ; 63.297 ; 16.372.912.810 ;;;;
7;17.298.092;BANCO ITAÈ BBA S.A.; 2.545 ; 1.067.019.856 ; 6.382 ; 1.376.906.998 ; 2.502 ; 1.728.822.006 ; 5.706 ; 1.920.378.303 ; 17.135 ; 6.093.127.162 ; 324 ; 4.479.161.091 ; 324 ; 3.855.649.853 ; 648 ; 8.334.810.944 ; 17.783 ; 14.427.938.107 ;;;;
8;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 197 ; 782.486.240 ; 433 ; 186.985.530 ; 352 ; 818.202.181 ; 788 ; 663.488.558 ; 1.770 ; 2.451.162.509 ; 304 ; 5.257.332.892 ; 325 ; 5.693.340.539 ; 629 ; 10.950.673.431 ; 2.399 ; 13.401.835.940 ;;;;
9;33.172.537;BANCO J.P. MORGAN S.A.; 177 ; 527.243.368 ; 2.081 ; 958.451.598 ; 916 ; 4.091.468.036 ; 3.102 ; 3.451.788.543 ; 6.276 ; 9.028.951.545 ; 290 ; 2.208.734.819 ; 330 ; 1.652.726.696 ; 620 ; 3.861.461.515 ; 6.896 ; 12.890.413.061 ;;;;
10;30.306.294;BANCO BTG PACTUAL S.A.; 165 ; 488.683.409 ; 19 ; 23.602.471 ; 203 ; 2.111.804.229 ; 439 ; 598.292.497 ; 826 ; 3.222.382.606 ; 106 ; 3.879.113.244 ; 199 ; 5.643.395.438 ; 305 ; 9.522.508.682 ; 1.131 ; 12.744.891.288 ;;;;
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 205 ; 859.032.144 ; 953 ; 470.731.255 ; 542 ; 1.771.362.053 ; 1.618 ; 1.748.365.049 ; 3.318 ; 4.849.490.502 ; 309 ; 2.891.931.612 ; 320 ; 3.009.095.325 ; 629 ; 5.901.026.937 ; 3.947 ; 10.750.517.440 ;;;;
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 4 ; 35.872.269 ;;; 117 ; 425.478.411 ; 218 ; 885.770.916 ; 339 ; 1.347.121.596 ; 101 ; 3.379.829.349 ; 100 ; 2.617.632.295 ; 201 ; 5.997.461.644 ; 540 ; 7.344.583.240 ;;;;
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 29 ; 79.085.929 ; 10 ; 4.743.788 ; 147 ; 1.514.563.533 ; 201 ; 1.190.529.911 ; 387 ; 2.788.923.161 ; 74 ; 1.934.244.658 ; 45 ; 1.879.670.546 ; 119 ; 3.813.915.204 ; 506 ; 6.602.838.365 ;;;;
