Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Fev/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 8.155 ; 2.693.017.848 ; 33.417 ; 3.583.374.798 ; 29.038 ; 7.617.156.713 ; 48.971 ; 7.651.676.204 ; 119.581 ; 21.545.225.564 ; 1.090 ; 19.614.089.815 ; 1.019 ; 18.016.814.297 ; 2.109 ; 37.630.904.113 ; 121.690 ; 59.176.129.676 ;
2;60.701.190;ITAÈ UNIBANCO S.A.; 13.891 ; 2.008.514.298 ; 29.014 ; 2.728.559.750 ; 61.263 ; 3.494.498.602 ; 55.470 ; 7.629.976.578 ; 159.638 ; 15.861.549.228 ; 814 ; 21.025.844.636 ; 796 ; 19.108.238.439 ; 1.610,0 ; 40.134.083.075,0 ; 161.248 ; 55.995.632.303 ;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 5.411 ; 3.114.811.955 ; 22.861 ; 3.575.273.713 ; 22.069 ; 7.167.398.585 ; 43.751 ; 6.635.238.899 ; 94.092 ; 20.492.723.153 ; 747 ; 14.259.284.269 ; 731 ; 14.155.878.986 ; 1.478,0 ; 28.415.163.254,7 ; 95.570 ; 48.907.886.407 ;
4;33.479.023;BANCO CITIBANK S.A.; 4.301 ; 2.953.518.046 ; 14.577 ; 4.152.658.808 ; 16.232 ; 11.979.823.795 ; 33.296 ; 12.978.597.160 ; 68.406 ; 32.064.597.810 ; 627 ; 6.530.822.418 ; 604 ; 4.973.597.158 ; 1.231,0 ; 11.504.419.576,7 ; 69.637 ; 43.569.017.386 ;
5;00.000.000;BANCO DO BRASIL S.A.; 19.289 ; 9.256.929.016 ; 42.323 ; 8.406.403.525 ; 38.756 ; 2.766.440.440 ; 49.892 ; 4.931.785.597 ; 150.260 ; 25.361.558.578 ; 709 ; 4.326.153.363 ; 670 ; 3.765.366.894 ; 1.379,0 ; 8.091.520.256,8 ; 151.639 ; 33.453.078.835 ;
6;60.746.948;BANCO BRADESCO S.A.; 11.642 ; 6.944.180.487 ; 27.444 ; 5.508.759.684 ; 43.295 ; 5.813.398.338 ; 36.450 ; 6.345.796.380 ; 118.831 ; 24.612.134.888 ; 1.186 ; 2.517.506.021 ; 1.228 ; 3.198.327.680 ; 2.414,0 ; 5.715.833.701,3 ; 121.245 ; 30.327.968.589 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 310 ; 714.541.295 ; 3.642 ; 1.517.205.656 ; 1.818 ; 7.670.882.718 ; 5.056 ; 6.046.915.946 ; 10.826 ; 15.949.545.615 ; 521 ; 3.665.484.997 ; 647 ; 4.048.045.982 ; 1.168,0 ; 7.713.530.978,6 ; 11.994 ; 23.663.076.594 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 179 ; 674.656.124 ; 29 ; 44.757.089 ; 621 ; 2.853.771.069 ; 1.023 ; 1.366.306.251 ; 1.852 ; 4.939.490.532 ; 237 ; 7.997.780.276 ; 330 ; 9.030.264.126 ; 567,0 ; 17.028.044.402,3 ; 2.419 ; 21.967.534.934 ;
9;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 341 ; 1.247.103.892 ; 937 ; 436.007.430 ; 673 ; 1.745.797.702 ; 1.586 ; 1.756.088.898 ; 3.537 ; 5.184.997.922 ; 517 ; 7.640.370.531 ; 542 ; 8.118.397.585 ; 1.059,0 ; 15.758.768.116,1 ; 4.596 ; 20.943.766.038 ;
