Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em FEVEREIRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;60.701.190;ITAÈ UNIBANCO S.A.; 5.890 ; 1.442.848.879 ; 17.664 ; 2.055.533.654 ; 31.026 ; 2.760.615.925 ; 29.560 ; 3.516.640.614 ; 84.140 ; 9.775.639.072 ; 261 ; 9.522.875.687 ; 252 ; 7.733.295.217 ; 513 ; 17.256.170.904 ; 84.653 ; 27.031.809.976 ;;;;
2;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.187 ; 1.579.976.229 ; 11.083 ; 1.905.544.920 ; 10.383 ; 3.126.115.764 ; 21.729 ; 3.379.901.377 ; 45.382 ; 9.991.538.290 ; 375 ; 8.221.964.431 ; 355 ; 7.931.100.742 ; 730 ; 16.153.065.173 ; 46.112 ; 26.144.603.463 ;;;;
3;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 2.966 ; 1.084.818.425 ; 15.979 ; 1.812.826.754 ; 15.814 ; 2.778.987.347 ; 25.035 ; 3.155.118.754 ; 59.794 ; 8.831.751.280 ; 553 ; 8.141.886.055 ; 491 ; 7.387.821.870 ; 1.044 ; 15.529.707.925 ; 60.838 ; 24.361.459.205 ;;;;
4;33.479.023;BANCO CITIBANK S.A.; 1.639 ; 1.097.382.628 ; 7.291 ; 2.062.303.662 ; 8.251 ; 5.925.893.455 ; 17.016 ; 5.651.094.294 ; 34.197 ; 14.736.674.040 ; 326 ; 2.688.166.662 ; 321 ; 2.228.783.409 ; 647 ; 4.916.950.071 ; 34.844 ; 19.653.624.111 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 8.144 ; 3.895.306.544 ; 20.933 ; 4.488.696.469 ; 18.255 ; 1.387.082.888 ; 25.246 ; 2.654.756.265 ; 72.578 ; 12.425.842.166 ; 332 ; 1.834.416.091 ; 315 ; 1.872.095.408 ; 647 ; 3.706.511.498 ; 73.225 ; 16.132.353.665 ;;;;
6;60.746.948;BANCO BRADESCO S.A.; 5.164 ; 3.631.230.480 ; 13.389 ; 2.538.246.421 ; 20.839 ; 2.197.699.866 ; 17.348 ; 2.367.558.233 ; 56.740 ; 10.734.735.001 ; 591 ; 1.248.986.962 ; 618 ; 1.971.351.080 ; 1.209 ; 3.220.338.043 ; 57.949 ; 13.955.073.043 ;;;;
7;33.172.537;BANCO J.P. MORGAN S.A.; 133 ; 187.297.926 ; 1.560 ; 558.752.868 ; 902 ; 3.579.414.682 ; 1.954 ; 2.595.128.594 ; 4.549 ; 6.920.594.070 ; 231 ; 1.456.750.178 ; 317 ; 2.395.319.286 ; 548 ; 3.852.069.463 ; 5.097 ; 10.772.663.533 ;;;;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 192 ; 324.753.207 ; 820 ; 556.290.945 ; 528 ; 1.416.840.295 ; 1.557 ; 1.702.237.373 ; 3.097 ; 4.000.121.820 ; 304 ; 3.102.992.946 ; 314 ; 2.839.873.157 ; 618 ; 5.942.866.102 ; 3.715 ; 9.942.987.922 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 14 ; 185.972.715 ; 10 ; 21.154.617 ; 418 ; 743.771.115 ; 584 ; 768.013.753 ; 1.026 ; 1.718.912.201 ; 131 ; 4.118.667.032 ; 131 ; 3.386.868.688 ; 262 ; 7.505.535.720 ; 1.288 ; 9.224.447.921 ;;;;
