Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Mar/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 11.068 ; 3.976.947.255 ; 49.591 ; 5.343.396.261 ; 42.883 ; 11.215.575.885 ; 75.255 ; 10.648.760.623 ; 178.797 ; 31.184.680.024 ; 1.548 ; 29.336.493.998 ; 1.487 ; 28.032.344.133 ; 3.035 ; 57.368.838.130 ; 181.832 ; 88.553.518.154 ;
2;60.701.190;ITAÈ UNIBANCO S.A.; 19.855 ; 3.283.802.766 ; 46.637 ; 4.845.350.270 ; 94.235 ; 6.063.645.288 ; 85.107 ; 11.027.523.749 ; 245.834 ; 25.220.322.072 ; 1.061 ; 28.179.608.752 ; 1.031 ; 25.420.662.356 ; 2.092,0 ; 53.600.271.108,3 ; 247.926 ; 78.820.593.181 ;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 7.443 ; 4.441.800.915 ; 33.126 ; 5.166.499.937 ; 32.904 ; 10.924.135.724 ; 65.800 ; 10.529.151.932 ; 139.273 ; 31.061.588.508 ; 1.141 ; 20.959.257.752 ; 1.093 ; 19.796.751.513 ; 2.234,0 ; 40.756.009.265,0 ; 141.507 ; 71.817.597.773 ;
4;33.479.023;BANCO CITIBANK S.A.; 5.801 ; 3.868.612.221 ; 21.463 ; 6.173.408.937 ; 24.447 ; 21.458.163.313 ; 49.346 ; 19.909.701.644 ; 101.057 ; 51.409.886.116 ; 927 ; 8.026.972.442 ; 916 ; 7.006.649.532 ; 1.843,0 ; 15.033.621.974,3 ; 102.900 ; 66.443.508.090 ;
5;00.000.000;BANCO DO BRASIL S.A.; 27.631 ; 14.077.102.237 ; 62.426 ; 12.649.465.041 ; 61.679 ; 5.290.583.062 ; 73.162 ; 7.378.895.009 ; 224.898 ; 39.396.045.348 ; 1.061 ; 6.460.478.345 ; 989 ; 6.522.486.417 ; 2.050,0 ; 12.982.964.761,8 ; 226.948 ; 52.379.010.110 ;
6;60.746.948;BANCO BRADESCO S.A.; 16.835 ; 10.763.404.760 ; 40.192 ; 7.953.153.808 ; 63.575 ; 7.774.572.469 ; 52.605 ; 8.413.585.032 ; 173.207 ; 34.904.716.069 ; 1.715 ; 3.986.927.087 ; 1.865 ; 5.335.876.180 ; 3.580,0 ; 9.322.803.267,3 ; 176.787 ; 44.227.519.336 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 465 ; 1.035.547.812 ; 5.268 ; 2.425.436.139 ; 2.808 ; 12.595.411.210 ; 7.814 ; 8.845.754.914 ; 16.355 ; 24.902.150.075 ; 740 ; 5.994.974.345 ; 934 ; 7.080.509.524 ; 1.674,0 ; 13.075.483.868,8 ; 18.029 ; 37.977.633.943 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 207 ; 800.407.550 ; 39 ; 45.171.743 ; 934 ; 3.278.912.759 ; 1.563 ; 1.913.846.402 ; 2.743 ; 6.038.338.455 ; 358 ; 12.499.062.387 ; 480 ; 13.712.294.836 ; 838,0 ; 26.211.357.222,9 ; 3.581 ; 32.249.695.678 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 600 ; 1.928.074.118 ; 2.608 ; 1.435.123.913 ; 1.542 ; 4.206.410.316 ; 4.524 ; 4.944.523.408 ; 9.274 ; 12.514.131.755 ; 927 ; 9.356.316.485 ; 950 ; 9.096.860.037 ; 1.877,0 ; 18.453.176.522,2 ; 11.151 ; 30.967.308.277 ;
