Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em MARÄO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 2.914 ; 1.283.934.583 ; 16.181 ; 1.760.274.888 ; 13.864 ; 3.600.941.316 ; 26.298 ; 3.000.909.152 ; 59.257 ; 9.646.059.938 ; 458 ; 9.722.404.182 ; 468 ; 10.015.529.835 ; 926 ; 19.737.934.018 ; 60.183 ; 29.383.993.956 ;;;;
2;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.032 ; 1.326.988.960 ; 10.267 ; 1.591.295.344 ; 10.836 ; 3.784.987.289 ; 22.048 ; 3.894.091.681 ; 45.183 ; 10.597.363.274 ; 394 ; 6.699.973.483 ; 362 ; 5.640.872.527 ; 756 ; 12.340.846.010 ; 45.939 ; 22.938.209.284 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.500 ; 915.119.737 ; 6.892 ; 2.021.506.943 ; 8.221 ; 9.481.072.597 ; 16.058 ; 6.931.284.111 ; 32.671 ; 19.348.983.387 ; 300 ; 1.496.150.024 ; 312 ; 2.033.052.374 ; 612 ; 3.529.202.398 ; 33.283 ; 22.878.185.785 ;;;;
4;60.701.190;ITAÈ UNIBANCO S.A.; 5.965 ; 1.275.307.880 ; 17.626 ; 2.116.983.673 ; 32.978 ; 2.571.932.490 ; 29.635 ; 3.400.221.317 ; 86.204 ; 9.364.445.361 ; 247 ; 7.153.764.116 ; 235 ; 6.312.423.917 ; 482 ; 13.466.188.033 ; 86.686 ; 22.830.633.394 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 8.348 ; 4.820.273.584 ; 20.107 ; 4.243.077.618 ; 22.925 ; 2.524.272.992 ; 23.262 ; 2.447.284.194 ; 74.642 ; 14.034.908.389 ; 352 ; 2.134.324.981 ; 319 ; 2.757.119.524 ; 671 ; 4.891.444.505 ; 75.313 ; 18.926.352.894 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 155 ; 321.006.517 ; 1.626 ; 908.250.076 ; 991 ; 4.924.546.260 ; 2.760 ; 2.798.870.873 ; 5.532 ; 8.952.673.725 ; 219 ; 2.329.489.348 ; 287 ; 3.032.463.542 ; 506 ; 5.361.952.890 ; 6.038 ; 14.314.626.615 ;;;;
7;60.746.948;BANCO BRADESCO S.A.; 5.193 ; 3.819.238.764 ; 12.749 ; 2.444.513.200 ; 20.284 ; 1.961.182.162 ; 16.158 ; 2.068.275.252 ; 54.384 ; 10.293.209.379 ; 529 ; 1.469.421.066 ; 637 ; 2.137.548.500 ; 1.166 ; 3.606.969.566 ; 55.550 ; 13.900.178.945 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 28 ; 125.751.426 ; 10 ; 414.655 ; 313 ; 425.141.690 ; 540 ; 547.540.152 ; 891 ; 1.098.847.923 ; 121 ; 4.501.282.111 ; 150 ; 4.682.030.709 ; 271 ; 9.183.312.821 ; 1.162 ; 10.282.160.743 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 203 ; 744.288.767 ; 835 ; 408.101.713 ; 473 ; 1.018.208.199 ; 1.349 ; 1.493.920.986 ; 2.860 ; 3.664.519.664 ; 314 ; 3.361.391.927 ; 316 ; 3.247.891.555 ; 630 ; 6.609.283.482 ; 3.490 ; 10.273.803.147 ;;;;
10;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 197 ; 601.804.700 ; 765 ; 350.937.404 ; 325 ; 550.357.561 ; 1.103 ; 1.299.291.270 ; 2.390 ; 2.802.390.936 ; 254 ; 3.076.903.063 ; 264 ; 2.881.591.830 ; 518 ; 5.958.494.893 ; 2.908 ; 8.760.885.829 ;;;;
11;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 2 ; 2.328.880 ;;; 155 ; 690.744.359 ; 184 ; 502.362.554 ; 341 ; 1.195.435.793 ; 94 ; 2.915.780.987 ; 105 ; 2.646.876.438 ; 199 ; 5.562.657.425 ; 540 ; 6.758.093.218 ;;;;
12;61.146.577;BANCO BARCLAYS S.A.; 1 ; 1.190.800 ; 3 ; 967.484 ; 189 ; 1.367.046.362 ; 281 ; 2.019.719.492 ; 474 ; 3.388.924.139 ; 132 ; 1.838.587.853 ; 147 ; 1.343.545.169 ; 279 ; 3.182.133.022 ; 753 ; 6.571.057.161 ;;;;
13;59.588.111;BANCO VOTORANTIM S.A.; 59 ; 100.701.649 ; 507 ; 225.848.545 ; 138 ; 266.149.248 ; 921 ; 308.699.375 ; 1.625 ; 901.398.816 ; 132 ; 2.713.120.809 ; 448 ; 2.687.688.848 ; 580 ; 5.400.809.657 ; 2.205 ; 6.302.208.473 ;;;;
14;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 4 ; 7.411.254 ;;; 4 ; 7.411.254 ; 5 ; 2.400.000.000 ; 5 ; 2.400.000.000 ; 10 ; 4.800.000.000 ; 14 ; 4.807.411.254 ;;;;
15;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 24 ; 57.962.110 ; 9 ; 4.388.199 ; 171 ; 1.780.457.165 ; 167 ; 1.554.330.397 ; 371 ; 3.397.137.871 ; 84 ; 466.780.398 ; 32 ; 677.394.223 ; 116 ; 1.144.174.621 ; 487 ; 4.541.312.492 ;;;;
16;61.820.817;BANCO PAULISTA S.A.; 52 ; 1.878.915 ; 312 ; 26.031.571 ; 1.274 ; 69.163.527 ; 2.289 ; 211.682.935 ; 3.927 ; 308.756.948 ; 1.289 ; 2.101.453.203 ; 8.508 ; 1.911.435.605 ; 9.797 ; 4.012.888.808 ; 13.724 ; 4.321.645.756 ;;;;
