Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Abr/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 14.303 ; 5.801.887.132 ; 66.640 ; 7.368.288.473 ; 59.114 ; 13.614.305.849 ; 106.670 ; 13.989.900.884 ; 246.727 ; 40.774.382.338 ; 2.128 ; 38.186.903.300 ; 1.994 ; 35.615.873.163 ; 4.122 ; 73.802.776.463 ; 250.849 ; 114.577.158.801 ;
2;60.701.190;ITAÈ UNIBANCO S.A.; 26.355 ; 4.994.650.649 ; 65.362 ; 6.884.330.464 ; 130.469 ; 9.186.666.727 ; 118.064 ; 16.441.345.158 ; 340.250 ; 37.506.992.998 ; 1.306 ; 37.721.244.864 ; 1.245 ; 32.938.391.917 ; 2.551,0 ; 70.659.636.780,5 ; 342.801 ; 108.166.629.778 ;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 9.642 ; 6.086.606.036 ; 45.086 ; 7.162.834.035 ; 44.195 ; 15.736.917.462 ; 90.583 ; 15.721.590.770 ; 189.506 ; 44.707.948.303 ; 1.555 ; 29.250.860.890 ; 1.460 ; 26.177.376.411 ; 3.015,0 ; 55.428.237.301,0 ; 192.521 ; 100.136.185.604 ;
4;33.479.023;BANCO CITIBANK S.A.; 7.248 ; 5.011.759.652 ; 28.612 ; 8.196.119.511 ; 33.687 ; 30.423.842.799 ; 68.067 ; 25.908.180.185 ; 137.614 ; 69.539.902.148 ; 1.179 ; 9.422.036.662 ; 1.244 ; 11.169.290.455 ; 2.423,0 ; 20.591.327.117,5 ; 140.037 ; 90.131.229.265 ;
5;00.000.000;BANCO DO BRASIL S.A.; 36.905 ; 21.535.607.382 ; 84.395 ; 17.249.129.648 ; 84.380 ; 8.579.877.289 ; 101.746 ; 11.520.559.927 ; 307.426 ; 58.885.174.246 ; 1.406 ; 10.150.250.969 ; 1.313 ; 12.716.538.091 ; 2.719,0 ; 22.866.789.059,7 ; 310.145 ; 81.751.963.306 ;
6;60.746.948;BANCO BRADESCO S.A.; 22.568 ; 14.691.674.200 ; 54.014 ; 10.727.193.702 ; 86.952 ; 10.302.115.399 ; 71.266 ; 11.536.694.803 ; 234.800 ; 47.257.678.104 ; 2.271 ; 5.660.976.440 ; 2.446 ; 7.147.657.470 ; 4.717,0 ; 12.808.633.909,5 ; 239.517 ; 60.066.312.013 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 585 ; 1.477.046.367 ; 7.329 ; 3.239.645.910 ; 3.713 ; 16.157.675.723 ; 10.658 ; 13.298.375.715 ; 22.285 ; 34.172.743.715 ; 992 ; 8.973.569.320 ; 1.177 ; 8.336.478.543 ; 2.169,0 ; 17.310.047.862,4 ; 24.454 ; 51.482.791.578 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 234 ; 1.313.662.893 ; 71 ; 164.481.894 ; 1.214 ; 6.929.104.817 ; 2.044 ; 5.058.167.795 ; 3.563 ; 13.465.417.398 ; 464 ; 16.080.186.572 ; 636 ; 17.560.789.752 ; 1.100,0 ; 33.640.976.323,4 ; 4.663 ; 47.106.393.722 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 800 ; 2.770.063.792 ; 3.254 ; 1.772.383.699 ; 2.035 ; 4.918.662.236 ; 6.125 ; 6.132.433.571 ; 12.214 ; 15.593.543.298 ; 1.234 ; 12.519.042.924 ; 1.272 ; 12.206.007.209 ; 2.506,0 ; 24.725.050.132,4 ; 14.720 ; 40.318.593.430 ;
