Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em ABRIL / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;00.000.000;BANCO DO BRASIL S.A.; 9.275 ; 7.458.366.629 ; 21.972 ; 4.599.732.901 ; 22.701 ; 3.289.302.702 ; 28.586 ; 4.141.728.332 ; 82.534 ; 19.489.130.563 ; 345 ; 3.689.772.624 ; 324 ; 6.194.051.674 ; 669 ; 9.883.824.298 ; 83.203 ; 29.372.954.861 ;;;;
2;60.701.190;ITAÈ UNIBANCO S.A.; 6.500 ; 1.710.847.883 ; 18.725 ; 2.038.983.454 ; 36.237 ; 3.123.031.258 ; 32.953 ; 5.414.005.784 ; 94.415 ; 12.286.868.378 ; 245 ; 9.541.636.111 ; 214 ; 7.517.729.561 ; 459 ; 17.059.365.672 ; 94.874 ; 29.346.234.051 ;;;;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.199 ; 1.644.806.909 ; 11.960 ; 1.996.337.098 ; 11.291 ; 4.812.781.838 ; 24.784 ; 5.192.440.311 ; 50.234 ; 13.646.366.155 ; 414 ; 8.291.603.137 ; 367 ; 6.380.624.898 ; 781 ; 14.672.228.036 ; 51.015 ; 28.318.594.191 ;;;;
4;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.235 ; 1.824.939.877 ; 17.057 ; 2.025.205.649 ; 16.233 ; 2.398.735.476 ; 31.419 ; 3.341.553.486 ; 67.944 ; 9.590.434.488 ; 580 ; 8.850.409.302 ; 507 ; 7.583.529.031 ; 1.087 ; 16.433.938.333 ; 69.031 ; 26.024.372.821 ;;;;
5;33.479.023;BANCO CITIBANK S.A.; 1.447 ; 1.143.147.431 ; 7.150 ; 2.022.714.662 ; 9.239 ; 8.965.679.486 ; 18.721 ; 5.998.478.566 ; 36.557 ; 18.130.020.145 ; 252 ; 1.395.064.220 ; 328 ; 4.162.640.923 ; 580 ; 5.557.705.143 ; 37.137 ; 23.687.725.288 ;;;;
6;60.746.948;BANCO BRADESCO S.A.; 5.732 ; 3.928.267.320 ; 13.821 ; 2.774.038.928 ; 23.385 ; 2.527.550.982 ; 18.663 ; 3.123.142.463 ; 61.601 ; 12.352.999.694 ; 556 ; 1.674.049.353 ; 581 ; 1.811.781.290 ; 1.137 ; 3.485.830.642 ; 62.738 ; 15.838.830.336 ;;;;
7;30.306.294;BANCO BTG PACTUAL S.A.; 27 ; 513.255.343 ; 32 ; 119.310.151 ; 280 ; 3.650.192.058 ; 481 ; 3.144.321.392 ; 820 ; 7.427.078.944 ; 106 ; 3.581.124.184 ; 156 ; 3.848.494.916 ; 262 ; 7.429.619.101 ; 1.082 ; 14.856.698.044 ;;;;
8;33.172.537;BANCO J.P. MORGAN S.A.; 120 ; 441.498.556 ; 2.061 ; 814.209.771 ; 905 ; 3.562.264.513 ; 2.844 ; 4.452.620.802 ; 5.930 ; 9.270.593.641 ; 252 ; 2.978.594.975 ; 243 ; 1.255.969.019 ; 495 ; 4.234.563.994 ; 6.425 ; 13.505.157.634 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 200 ; 841.989.674 ; 646 ; 337.259.786 ; 494 ; 712.262.598 ; 1.602 ; 1.187.910.403 ; 2.942 ; 3.079.422.462 ; 307 ; 3.162.726.438 ; 322 ; 3.109.147.172 ; 629 ; 6.271.873.610 ; 3.571 ; 9.351.296.072 ;;;;
