Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Mai/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 17.750 ; 7.225.397.698 ; 84.444 ; 9.503.479.267 ; 74.066 ; 17.706.046.583 ; 133.793 ; 17.415.812.470 ; 310.053 ; 51.850.736.017 ; 2.715 ; 45.783.803.526 ; 2.511 ; 42.442.517.542 ; 5.226 ; 88.226.321.067 ; 315.279 ; 140.077.057.085 ;
2;60.701.190;ITAÈ UNIBANCO S.A.; 33.395 ; 6.759.301.635 ; 84.178 ; 8.957.744.624 ; 170.669 ; 11.824.043.296 ; 149.998 ; 19.814.743.411 ; 438.240 ; 47.355.832.965 ; 1.536 ; 41.581.791.024 ; 1.448 ; 35.283.027.535 ; 2.984,0 ; 76.864.818.559,2 ; 441.224 ; 124.220.651.524 ;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 12.008 ; 8.043.585.515 ; 55.565 ; 9.205.778.759 ; 55.933 ; 19.015.309.239 ; 113.049 ; 19.258.967.578 ; 236.555 ; 55.523.641.091 ; 1.901 ; 33.896.554.286 ; 1.803 ; 31.517.908.990 ; 3.704,0 ; 65.414.463.275,4 ; 240.259 ; 120.938.104.367 ;
4;33.479.023;BANCO CITIBANK S.A.; 8.970 ; 6.635.854.269 ; 36.310 ; 10.291.174.459 ; 42.406 ; 38.677.302.334 ; 84.770 ; 32.965.126.027 ; 172.456 ; 88.569.457.089 ; 1.504 ; 12.106.073.802 ; 1.591 ; 14.636.895.955 ; 3.095,0 ; 26.742.969.757,4 ; 175.551 ; 115.312.426.846 ;
5;00.000.000;BANCO DO BRASIL S.A.; 46.666 ; 27.867.664.321 ; 106.006 ; 21.807.429.994 ; 110.248 ; 10.612.110.188 ; 128.096 ; 14.100.440.228 ; 391.016 ; 74.387.644.732 ; 1.741 ; 11.561.676.494 ; 1.613 ; 15.601.470.909 ; 3.354,0 ; 27.163.147.402,8 ; 394.370 ; 101.550.792.134 ;
6;60.746.948;BANCO BRADESCO S.A.; 28.370 ; 18.364.890.421 ; 67.886 ; 13.681.820.060 ; 108.364 ; 11.520.956.302 ; 88.641 ; 12.688.121.239 ; 293.261 ; 56.255.788.021 ; 2.806 ; 6.943.837.027 ; 3.064 ; 9.390.068.388 ; 5.870,0 ; 16.333.905.415,6 ; 299.131 ; 72.589.693.437 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 253 ; 1.746.007.416 ; 109 ; 203.473.601 ; 1.520 ; 12.680.917.628 ; 2.471 ; 11.216.955.997 ; 4.353 ; 25.847.354.642 ; 575 ; 19.894.679.045 ; 750 ; 20.864.995.928 ; 1.325,0 ; 40.759.674.972,8 ; 5.678 ; 66.607.029.615 ;
8;33.172.537;BANCO J.P. MORGAN S.A.; 747 ; 1.743.730.337 ; 9.456 ; 3.913.723.981 ; 4.579 ; 21.107.813.355 ; 12.939 ; 18.156.706.316 ; 27.721 ; 44.921.973.988 ; 1.191 ; 10.251.224.087 ; 1.445 ; 10.180.947.593 ; 2.636,0 ; 20.432.171.679,5 ; 30.357 ; 65.354.145.668 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.063 ; 3.544.458.801 ; 4.411 ; 2.383.740.132 ; 2.579 ; 5.711.927.237 ; 8.001 ; 7.405.095.666 ; 16.054 ; 19.045.221.835 ; 1.530 ; 15.018.110.145 ; 1.566 ; 14.171.199.118 ; 3.096,0 ; 29.189.309.262,7 ; 19.150 ; 48.234.531.098 ;
