Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em MAIO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.448 ; 1.423.544.861 ; 17.809 ; 2.135.149.326 ; 14.960 ; 4.091.757.393 ; 27.128 ; 3.426.102.221 ; 63.345 ; 11.076.553.801 ; 587 ; 7.596.900.226 ; 517 ; 6.826.644.378 ; 1.104 ; 14.423.544.604 ; 64.449 ; 25.500.098.405 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.722 ; 1.624.094.616 ; 7.700 ; 2.095.040.217 ; 8.722 ; 8.253.485.236 ; 16.705 ; 7.057.198.196 ; 34.849 ; 19.029.818.265 ; 325 ; 2.684.037.140 ; 347 ; 3.467.605.500 ; 672 ; 6.151.642.640 ; 35.521 ; 25.181.460.905 ;;;;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.366 ; 1.956.979.479 ; 10.481 ; 2.043.022.041 ; 11.739 ; 3.278.408.777 ; 22.466 ; 3.537.367.673 ; 47.052 ; 10.815.777.970 ; 346 ; 4.645.693.396 ; 343 ; 5.340.532.578 ; 689 ; 9.986.225.974 ; 47.741 ; 20.802.003.944 ;;;;
4;00.000.000;BANCO DO BRASIL S.A.; 9.766 ; 6.332.212.045 ; 21.616 ; 4.558.398.686 ; 25.870 ; 2.032.245.823 ; 26.358 ; 2.579.977.371 ; 83.610 ; 15.502.833.925 ; 335 ; 1.411.425.525 ; 300 ; 2.884.932.818 ; 635 ; 4.296.358.343 ; 84.245 ; 19.799.192.268 ;;;;
5;30.306.294;BANCO BTG PACTUAL S.A.; 19 ; 432.344.523 ; 38 ; 38.991.707 ; 306 ; 5.751.812.811 ; 425 ; 6.158.788.203 ; 788 ; 12.381.937.244 ; 111 ; 3.814.492.473 ; 114 ; 3.304.206.176 ; 225 ; 7.118.698.649 ; 1.013 ; 19.500.635.893 ;;;;
6;60.701.190;ITAÈ UNIBANCO S.A.; 7.041 ; 1.764.682.324 ; 18.821 ; 2.074.120.441 ; 40.207 ; 2.637.435.568 ; 31.929 ; 3.373.248.362 ; 97.998 ; 9.849.486.695 ; 230 ; 3.860.546.160 ; 203 ; 2.344.635.618 ; 433 ; 6.205.181.779 ; 98.431 ; 16.054.668.474 ;;;;
7;33.172.537;BANCO J.P. MORGAN S.A.; 162 ; 266.683.969 ; 2.123 ; 673.952.920 ; 866 ; 4.950.137.632 ; 2.285 ; 4.858.455.751 ; 5.436 ; 10.749.230.273 ; 199 ; 1.277.654.767 ; 268 ; 1.844.469.050 ; 467 ; 3.122.123.817 ; 5.903 ; 13.871.354.090 ;;;;
8;60.746.948;BANCO BRADESCO S.A.; 5.803 ; 3.673.362.564 ; 13.872 ; 2.954.626.358 ; 21.413 ; 1.218.701.284 ; 17.376 ; 1.151.437.740 ; 58.464 ; 8.998.127.946 ; 535 ; 1.282.860.588 ; 618 ; 2.242.410.918 ; 1.153 ; 3.525.271.506 ; 59.617 ; 12.523.399.452 ;;;;
9;59.588.111;BANCO VOTORANTIM S.A.; 88 ; 363.694.769 ; 991 ; 461.706.611 ; 188 ; 369.806.245 ; 1.056 ; 888.604.878 ; 2.323 ; 2.083.812.502 ; 152 ; 3.680.021.306 ; 471 ; 3.086.510.976 ; 623 ; 6.766.532.282 ; 2.946 ; 8.850.344.784 ;;;;
