Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Jun/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 20.887 ; 8.659.467.570 ; 100.517 ; 11.694.460.675 ; 90.643 ; 20.823.480.556 ; 159.642 ; 20.646.016.083 ; 371.689 ; 61.823.424.882 ; 3.286 ; 55.403.176.054 ; 3.025 ; 48.560.193.858 ; 6.311 ; 103.963.369.912 ; 378.000 ; 165.786.794.794 ;
2;60.701.190;ITAÈ UNIBANCO S.A.; 39.845 ; 8.240.722.066 ; 102.816 ; 11.608.738.508 ; 226.482 ; 15.202.907.221 ; 180.796 ; 23.146.069.380 ; 549.939 ; 58.198.437.175 ; 1.803 ; 48.697.555.291 ; 1.718 ; 41.893.384.054 ; 3.521,0 ; 90.590.939.345 ; 553.460 ; 148.789.376.521 ;
3;33.479.023;BANCO CITIBANK S.A.; 10.548 ; 7.998.644.570 ; 43.402 ; 12.466.278.776 ; 51.828 ; 49.486.150.545 ; 100.665 ; 41.042.167.277 ; 206.443 ; 110.993.241.168 ; 1.822 ; 15.856.541.675 ; 1.955 ; 20.424.973.753 ; 3.777,0 ; 36.281.515.429 ; 210.220 ; 147.274.756.596 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 14.274 ; 9.150.962.117 ; 65.425 ; 10.876.453.364 ; 67.215 ; 22.314.055.124 ; 134.752 ; 23.438.598.564 ; 281.666 ; 65.780.069.168 ; 2.182 ; 39.110.636.365 ; 2.047 ; 35.398.193.303 ; 4.229,0 ; 74.508.829.668 ; 285.895 ; 140.288.898.836 ;
5;00.000.000;BANCO DO BRASIL S.A.; 55.607 ; 32.902.567.821 ; 126.500 ; 26.345.764.695 ; 132.696 ; 13.712.412.524 ; 154.013 ; 17.327.935.847 ; 468.816 ; 90.288.680.886 ; 2.103 ; 13.463.030.698 ; 1.943 ; 18.627.523.182 ; 4.046,0 ; 32.090.553.879 ; 472.862 ; 122.379.234.766 ;
6;60.746.948;BANCO BRADESCO S.A.; 33.731 ; 21.172.122.338 ; 80.719 ; 15.818.737.810 ; 129.788 ; 13.123.464.987 ; 105.778 ; 14.209.622.719 ; 350.016 ; 64.323.947.854 ; 3.275 ; 7.842.154.447 ; 3.598 ; 11.136.186.551 ; 6.873,0 ; 18.978.340.998 ; 356.889 ; 83.302.288.852 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 897 ; 1.975.891.474 ; 11.417 ; 4.900.261.126 ; 5.473 ; 26.497.653.432 ; 15.870 ; 22.234.864.992 ; 33.657 ; 55.608.671.025 ; 1.410 ; 12.511.316.411 ; 1.728 ; 12.954.639.292 ; 3.138,0 ; 25.465.955.703 ; 36.795 ; 81.074.626.728 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 270 ; 1.926.336.570 ; 139 ; 335.143.718 ; 1.830 ; 13.175.487.034 ; 2.921 ; 12.001.011.108 ; 5.160 ; 27.437.978.429 ; 696 ; 24.242.743.999 ; 880 ; 24.400.593.916 ; 1.576,0 ; 48.643.337.915 ; 6.736 ; 76.081.316.345 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.278 ; 4.032.446.088 ; 5.332 ; 2.858.584.239 ; 3.146 ; 7.456.138.502 ; 9.415 ; 9.111.589.652 ; 19.171 ; 23.458.758.481 ; 1.802 ; 16.769.660.716 ; 1.818 ; 16.108.332.676 ; 3.620,0 ; 32.877.993.392 ; 22.791 ; 56.336.751.873 ;
