Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em JUNHO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;33.479.023;BANCO CITIBANK S.A.; 1.578 ; 1.362.790.301 ; 7.093 ; 2.175.111.960 ; 9.425 ; 10.809.076.528 ; 15.895 ; 8.077.039.883 ; 33.991 ; 22.424.018.672 ; 318 ; 3.750.467.873 ; 364 ; 5.788.077.798 ; 682 ; 9.538.545.671 ; 34.673 ; 31.962.564.343 ;;;;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.139 ; 1.434.218.026 ; 16.081 ; 2.191.756.604 ; 16.582 ; 3.117.389.998 ; 25.854 ; 3.231.234.667 ; 61.656 ; 9.974.599.295 ; 571 ; 9.619.372.528 ; 514 ; 6.117.676.316 ; 1.085 ; 15.737.048.844 ; 62.741 ; 25.711.648.139 ;;;;
3;60.701.190;ITAÈ UNIBANCO S.A.; 6.450 ; 1.481.560.060 ; 18.640 ; 2.651.062.721 ; 55.821 ; 3.378.901.705 ; 30.798 ; 3.331.344.826 ; 111.709 ; 10.842.869.312 ; 267 ; 7.115.764.267 ; 270 ; 6.610.356.519 ; 537 ; 13.726.120.786 ; 112.246 ; 24.568.990.098 ;;;;
4;00.000.000;BANCO DO BRASIL S.A.; 8.946 ; 5.035.180.635 ; 20.501 ; 4.552.458.431 ; 22.450 ; 3.110.450.032 ; 25.924 ; 3.531.730.652 ; 77.821 ; 16.229.819.750 ; 362 ; 1.901.354.203 ; 330 ; 3.026.052.273 ; 692 ; 4.927.406.477 ; 78.513 ; 21.157.226.227 ;;;;
5;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.266 ; 1.107.403.111 ; 9.862 ; 1.670.946.463 ; 11.282 ; 3.298.745.884 ; 21.703 ; 4.179.630.986 ; 45.113 ; 10.256.726.444 ; 281 ; 5.214.082.079 ; 244 ; 3.880.284.313 ; 525 ; 9.094.366.392 ; 45.638 ; 19.351.092.837 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 151 ; 232.322.313 ; 1.962 ; 986.824.560 ; 893 ; 5.389.678.902 ; 2.930 ; 4.077.871.262 ; 5.936 ; 10.686.697.036 ; 219 ; 2.260.092.324 ; 283 ; 2.773.691.699 ; 502 ; 5.033.784.023 ; 6.438 ; 15.720.481.060 ;;;;
7;60.746.948;BANCO BRADESCO S.A.; 5.361 ; 2.807.231.917 ; 12.833 ; 2.136.917.750 ; 21.424 ; 1.602.511.189 ; 17.135 ; 1.521.501.480 ; 56.753 ; 8.068.162.336 ; 469 ; 898.317.420 ; 534 ; 1.746.118.163 ; 1.003 ; 2.644.435.583 ; 57.756 ; 10.712.597.919 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 17 ; 180.329.154 ; 30 ; 131.670.116 ; 310 ; 494.569.407 ; 450 ; 784.055.111 ; 807 ; 1.590.623.787 ; 121 ; 4.348.064.954 ; 130 ; 3.535.597.988 ; 251 ; 7.883.662.942 ; 1.058 ; 9.474.286.730 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 215 ; 487.987.287 ; 920 ; 474.551.193 ; 567 ; 1.744.211.265 ; 1.414 ; 1.706.786.901 ; 3.116 ; 4.413.536.645 ; 272 ; 1.751.550.571 ; 252 ; 1.937.133.559 ; 524 ; 3.688.684.130 ; 3.640 ; 8.102.220.775 ;;;;
10;59.588.111;BANCO VOTORANTIM S.A.; 90 ; 167.061.388 ; 747 ; 191.615.546 ; 172 ; 459.229.478 ; 684 ; 623.548.261 ; 1.693 ; 1.441.454.673 ; 134 ; 2.367.785.885 ; 461 ; 2.224.757.128 ; 595 ; 4.592.543.014 ; 2.288 ; 6.033.997.686 ;;;;
11;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 161 ; 547.409.847 ; 557 ; 409.160.080 ; 318 ; 406.990.442 ; 750 ; 1.294.760.587 ; 1.786 ; 2.658.320.956 ; 161 ; 1.346.165.570 ; 146 ; 1.367.458.218 ; 307 ; 2.713.623.787 ; 2.093 ; 5.371.944.743 ;;;;
12;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 356 ; 2.128.085.712 ; 359 ; 848.073.555 ; 715 ; 2.976.159.268 ; 34 ; 369.357.965 ; 85 ; 1.835.348.201 ; 119 ; 2.204.706.166 ; 834 ; 5.180.865.433 ;;;;
13;61.146.577;BANCO BARCLAYS S.A.;;; 11 ; 964.308 ; 158 ; 839.910.580 ; 174 ; 1.078.750.572 ; 343 ; 1.919.625.460 ; 130 ; 1.418.485.789 ; 178 ; 1.315.992.315 ; 308 ; 2.734.478.104 ; 651 ; 4.654.103.564 ;;;;
14;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 2 ; 37.000.000 ;;; 156 ; 605.980.376 ; 236 ; 391.936.647 ; 394 ; 1.034.917.022 ; 73 ; 1.170.095.621 ; 81 ; 1.768.489.455 ; 154 ; 2.938.585.077 ; 548 ; 3.973.502.099 ;;;;
15;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 21 ; 77.511.017 ; 18 ; 16.963.409 ; 200 ; 961.532.913 ; 145 ; 980.172.350 ; 384 ; 2.036.179.690 ; 60 ; 742.299.988 ; 29 ; 752.405.414 ; 89 ; 1.494.705.402 ; 473 ; 3.530.885.092 ;;;;
16;58.160.789;BANCO SAFRA S.A.; 178 ; 159.578.243 ; 1.198 ; 240.617.419 ; 1.105 ; 258.495.347 ; 3.007 ; 330.965.523 ; 5.488 ; 989.656.532 ; 103 ; 1.301.465.273 ; 97 ; 1.047.622.583 ; 200 ; 2.349.087.856 ; 5.688 ; 3.338.744.387 ;;;;
17;61.820.817;BANCO PAULISTA S.A.; 55 ; 12.006.018 ; 323 ; 28.171.456 ; 1.119 ; 89.879.595 ; 2.168 ; 206.771.710 ; 3.665 ; 336.828.779 ; 940 ; 1.514.340.125 ; 6.449 ; 1.425.052.155 ; 7.389 ; 2.939.392.280 ; 11.054 ; 3.276.221.059 ;;;;
18;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 18 ; 57.926.510 ; 92 ; 25.409.235 ; 121 ; 702.216.194 ; 216 ; 750.656.391 ; 447 ; 1.536.208.331 ; 83 ; 502.877.107 ; 87 ; 502.691.090 ; 170 ; 1.005.568.196 ; 617 ; 2.541.776.527 ;;;;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 148 ; 789.831.006 ; 213 ; 1.094.533.452 ; 361 ; 1.884.364.458 ; 8 ; 341.530.000 ; 4 ; 290.000.000 ; 12 ; 631.530.000 ; 373 ; 2.515.894.458 ;;;;
