Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Jul/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 24.925 ; 10.484.253.297 ; 118.695 ; 14.158.471.408 ; 107.037 ; 25.055.145.695 ; 190.312 ; 25.107.616.888 ; 440.969 ; 74.805.487.288 ; 3.890 ; 67.332.138.945 ; 3.627 ; 58.945.787.734 ; 7.517 ; 126.277.926.680 ; 448.486 ; 201.083.413.968 ;
2;33.479.023;BANCO CITIBANK S.A.; 12.434 ; 9.751.915.778 ; 50.529 ; 14.684.271.383 ; 61.438 ; 56.804.563.223 ; 119.293 ; 49.890.506.391 ; 243.694 ; 131.131.256.775 ; 2.217 ; 20.770.738.312 ; 2.320 ; 23.682.230.469 ; 4.537,0 ; 44.452.968.782 ; 248.231 ; 175.584.225.557 ;
3;60.701.190;ITAÈ UNIBANCO S.A.; 47.393 ; 10.008.250.742 ; 123.061 ; 13.575.232.685 ; 281.644 ; 18.644.858.061 ; 215.892 ; 29.076.412.810 ; 667.990 ; 71.304.754.298 ; 2.050 ; 55.276.781.958 ; 1.975 ; 48.222.833.412 ; 4.025,0 ; 103.499.615.370 ; 672.015 ; 174.804.369.668 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 16.829 ; 10.781.411.695 ; 77.368 ; 13.241.021.237 ; 79.441 ; 27.335.810.496 ; 158.891 ; 27.089.068.815 ; 332.529 ; 78.447.312.243 ; 2.489 ; 45.506.307.861 ; 2.362 ; 42.007.722.350 ; 4.851,0 ; 87.514.030.210 ; 337.380 ; 165.961.342.453 ;
5;00.000.000;BANCO DO BRASIL S.A.; 66.057 ; 38.522.631.271 ; 148.699 ; 30.948.217.653 ; 157.145 ; 16.798.150.147 ; 184.149 ; 20.323.371.248 ; 556.050 ; 106.592.370.319 ; 2.574 ; 16.109.196.745 ; 2.349 ; 22.373.775.500 ; 4.923,0 ; 38.482.972.245 ; 560.973 ; 145.075.342.563 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 1.064 ; 2.641.040.244 ; 13.647 ; 5.942.900.905 ; 6.370 ; 31.418.442.308 ; 18.867 ; 25.855.103.895 ; 39.948 ; 65.857.487.352 ; 1.674 ; 14.823.891.233 ; 2.105 ; 16.697.519.708 ; 3.779,0 ; 31.521.410.942 ; 43.727 ; 97.378.898.294 ;
7;60.746.948;BANCO BRADESCO S.A.; 40.032 ; 25.233.703.759 ; 94.764 ; 18.358.074.884 ; 153.553 ; 14.368.159.428 ; 126.168 ; 15.584.118.736 ; 414.517 ; 73.544.056.807 ; 3.779 ; 9.075.895.734 ; 4.169 ; 14.308.301.030 ; 7.948,0 ; 23.384.196.764 ; 422.465 ; 96.928.253.570 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 292 ; 2.260.902.351 ; 209 ; 371.186.586 ; 2.498 ; 13.745.043.704 ; 3.398 ; 12.738.566.646 ; 6.397 ; 29.115.699.287 ; 845 ; 29.665.448.025 ; 1.034 ; 29.300.717.583 ; 1.879,0 ; 58.966.165.608 ; 8.276 ; 88.081.864.894 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.540 ; 4.954.358.537 ; 6.578 ; 3.388.319.819 ; 3.743 ; 8.675.214.523 ; 11.220 ; 10.221.192.755 ; 23.081 ; 27.239.085.634 ; 2.122 ; 19.213.898.212 ; 2.123 ; 19.320.695.582 ; 4.245,0 ; 38.534.593.794 ; 27.326 ; 65.773.679.428 ;
