Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Ago/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 28.392 ; 11.896.006.929 ; 136.139 ; 16.339.768.769 ; 123.020 ; 28.743.319.227 ; 221.341 ; 29.176.705.016 ; 508.892 ; 86.155.799.941 ; 4.526 ; 74.887.308.305 ; 4.187 ; 65.519.746.315 ; 8.713 ; 140.407.054.620 ; 517.605 ; 226.562.854.561 ;
2;60.701.190;ITAÈ UNIBANCO S.A.; 54.318 ; 11.565.587.087 ; 143.253 ; 15.865.103.521 ; 324.045 ; 21.823.414.364 ; 249.762 ; 34.662.348.089 ; 771.378 ; 83.916.453.060 ; 2.281 ; 61.676.314.806 ; 2.225 ; 54.334.235.162 ; 4.506,0 ; 116.010.549.968 ; 775.884 ; 199.927.003.028 ;
3;33.479.023;BANCO CITIBANK S.A.; 14.211 ; 10.653.532.185 ; 57.270 ; 16.697.129.271 ; 70.291 ; 64.387.905.787 ; 137.820 ; 56.065.310.162 ; 279.592 ; 147.803.877.406 ; 2.571 ; 23.355.862.932 ; 2.687 ; 26.483.057.888 ; 5.258,0 ; 49.838.920.820 ; 284.850 ; 197.642.798.226 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 19.376 ; 11.920.875.674 ; 88.288 ; 14.731.788.235 ; 90.490 ; 31.973.856.420 ; 181.867 ; 31.119.557.411 ; 380.021 ; 89.746.077.740 ; 2.810 ; 49.262.549.937 ; 2.688 ; 46.124.031.054 ; 5.498,0 ; 95.386.580.991 ; 385.519 ; 185.132.658.731 ;
5;00.000.000;BANCO DO BRASIL S.A.; 75.312 ; 43.224.473.999 ; 169.673 ; 34.807.559.885 ; 178.582 ; 23.028.083.297 ; 213.384 ; 25.983.030.150 ; 636.951 ; 127.043.147.331 ; 2.961 ; 17.510.358.272 ; 2.709 ; 25.627.862.044 ; 5.670,0 ; 43.138.220.316 ; 642.621 ; 170.181.367.648 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 1.188 ; 2.893.402.618 ; 16.311 ; 6.880.980.777 ; 7.291 ; 36.215.562.400 ; 21.247 ; 29.843.641.863 ; 46.037 ; 75.833.587.657 ; 1.977 ; 19.013.933.059 ; 2.473 ; 21.052.513.891 ; 4.450,0 ; 40.066.446.949 ; 50.487 ; 115.900.034.607 ;
7;60.746.948;BANCO BRADESCO S.A.; 45.625 ; 27.800.674.993 ; 107.599 ; 20.382.200.398 ; 175.000 ; 15.397.312.481 ; 143.358 ; 16.651.221.409 ; 471.582 ; 80.231.409.281 ; 4.234 ; 10.120.005.039 ; 4.690 ; 15.917.993.061 ; 8.924,0 ; 26.037.998.101 ; 480.506 ; 106.269.407.382 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 302 ; 2.313.000.870 ; 270 ; 380.308.468 ; 2.893 ; 14.840.170.727 ; 4.070 ; 14.247.373.913 ; 7.535 ; 31.780.853.977 ; 960 ; 34.657.486.950 ; 1.188 ; 33.868.624.850 ; 2.148,0 ; 68.526.111.800 ; 9.683 ; 100.306.965.777 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.759 ; 5.516.368.274 ; 7.800 ; 4.164.093.396 ; 4.262 ; 9.900.464.598 ; 13.186 ; 11.535.388.360 ; 27.007 ; 31.116.314.628 ; 2.448 ; 23.095.642.489 ; 2.391 ; 22.631.713.826 ; 4.839,0 ; 45.727.356.315 ; 31.846 ; 76.843.670.943 ;
10;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.401 ; 5.457.545.913 ; 5.132 ; 3.057.036.343 ; 2.555 ; 5.070.851.263 ; 6.888 ; 7.000.478.250 ; 15.976 ; 20.585.911.769 ; 1.687 ; 21.539.743.094 ; 1.716 ; 21.485.829.457 ; 3.403,0 ; 43.025.572.551 ; 19.379 ; 63.611.484.320 ;
11;59.588.111;BANCO VOTORANTIM S.A.; 732 ; 2.219.615.287 ; 5.829 ; 2.078.666.493 ; 1.338 ; 2.311.078.301 ; 5.863 ; 3.987.772.461 ; 13.762 ; 10.597.132.542 ; 1.074 ; 21.805.531.923 ; 4.037 ; 20.033.891.204 ; 5.111,0 ; 41.839.423.127 ; 18.873 ; 52.436.555.669 ;
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 18 ; 171.041.195 ; 2 ; 1.560.000 ; 1.171 ; 6.107.116.322 ; 1.863 ; 7.820.164.206 ; 3.054 ; 14.099.881.722 ; 638 ; 18.151.395.937 ; 650 ; 16.407.997.785 ; 1.288,0 ; 34.559.393.722 ; 4.342 ; 48.659.275.444 ;
13;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 72.407 ;;; 3.571 ; 16.356.218.071 ; 3.540 ; 9.759.855.330 ; 7.112 ; 26.116.145.808 ; 183 ; 4.207.267.280 ; 478 ; 11.027.469.003 ; 661,0 ; 15.234.736.283 ; 7.773 ; 41.350.882.090 ;
14;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 221 ; 825.001.734 ; 177 ; 221.010.852 ; 1.362 ; 11.393.633.355 ; 1.498 ; 10.820.884.008 ; 3.258 ; 23.260.529.949 ; 537 ; 7.445.912.944 ; 273 ; 7.117.018.038 ; 810,0 ; 14.562.930.982 ; 4.068 ; 37.823.460.931 ;
15;61.820.817;BANCO PAULISTA S.A.; 598 ; 88.817.926 ; 3.137 ; 249.500.843 ; 9.998 ; 723.200.945 ; 19.077 ; 1.861.020.468 ; 32.810 ; 2.922.540.182 ; 10.364 ; 15.729.729.385 ; 67.950 ; 14.463.843.706 ; 78.314,0 ; 30.193.573.091 ; 111.124 ; 33.116.113.274 ;
16;61.146.577;BANCO BARCLAYS S.A.; 7 ; 72.708.597 ; 38 ; 56.722.920 ; 1.358 ; 7.693.637.338 ; 1.587 ; 6.902.279.797 ; 2.990 ; 14.725.348.652 ; 1.026 ; 8.373.161.065 ; 1.337 ; 9.229.905.518 ; 2.363,0 ; 17.603.066.583 ; 5.353 ; 32.328.415.236 ;
17;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 116 ; 410.484.305 ; 1.341 ; 177.812.452 ; 1.191 ; 5.484.878.194 ; 2.020 ; 5.142.627.151 ; 4.668 ; 11.215.802.101 ; 994 ; 6.183.002.942 ; 1.082 ; 7.257.580.454 ; 2.076,0 ; 13.440.583.396 ; 6.744 ; 24.656.385.497 ;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.218 ; 619.220.188 ; 4.158 ; 888.808.745 ; 3.838 ; 2.038.482.713 ; 3.667 ; 986.476.263 ; 12.881 ; 4.532.987.909 ; 2.647 ; 9.509.087.690 ; 3.141 ; 10.295.870.637 ; 5.788,0 ; 19.804.958.327 ; 18.669 ; 24.337.946.236 ;
