Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em AGOSTO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.465 ; 1.411.737.012 ; 17.449 ; 2.181.576.231 ; 15.991 ; 3.688.487.653 ; 31.036 ; 4.069.335.319 ; 67.941 ; 11.351.136.214 ; 636 ; 7.555.169.360 ; 560 ; 6.573.958.580 ; 1.196 ; 14.129.127.940 ; 69.137 ; 25.480.264.154 ;;;;
2;60.701.190;ITAÈ UNIBANCO S.A.; 6.926 ; 1.555.530.779 ; 20.198 ; 2.290.397.646 ; 42.400 ; 3.180.485.755 ; 33.860 ; 5.589.944.013 ; 103.384 ; 12.616.358.193 ; 231 ; 6.399.532.847 ; 250 ; 6.111.401.751 ; 481 ; 12.510.934.598 ; 103.865 ; 25.127.292.791 ;;;;
3;00.000.000;BANCO DO BRASIL S.A.; 9.259 ; 4.702.266.870 ; 20.977 ; 3.859.675.147 ; 21.442 ; 6.229.999.901 ; 29.246 ; 5.664.823.232 ; 80.924 ; 20.456.765.149 ; 387 ; 1.401.161.527 ; 360 ; 3.254.086.544 ; 747 ; 4.655.248.072 ; 81.671 ; 25.112.013.220 ;;;;
4;33.479.023;BANCO CITIBANK S.A.; 1.777 ; 901.618.169 ; 6.746 ; 2.013.118.368 ; 8.852 ; 7.583.352.883 ; 18.528 ; 6.174.804.151 ; 35.903 ; 16.672.893.571 ; 354 ; 2.585.124.620 ; 367 ; 2.800.827.419 ; 721 ; 5.385.952.039 ; 36.624 ; 22.058.845.610 ;;;;
5;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.548 ; 1.139.464.874 ; 10.925 ; 1.490.818.422 ; 11.049 ; 4.638.045.924 ; 22.976 ; 4.030.488.596 ; 47.498 ; 11.298.817.816 ; 321 ; 3.756.242.077 ; 326 ; 4.116.308.704 ; 647 ; 7.872.550.780 ; 48.145 ; 19.171.368.597 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 124 ; 252.362.374 ; 2.658 ; 937.895.368 ; 921 ; 4.797.120.092 ; 2.386 ; 3.988.722.471 ; 6.089 ; 9.976.100.305 ; 303 ; 4.190.041.825 ; 368 ; 4.354.994.182 ; 671 ; 8.545.036.008 ; 6.760 ; 18.521.136.313 ;;;;
7;30.306.294;BANCO BTG PACTUAL S.A.; 10 ; 52.098.518 ; 61 ; 9.121.882 ; 395 ; 1.095.127.024 ; 672 ; 1.508.807.267 ; 1.138 ; 2.665.154.691 ; 115 ; 4.992.038.925 ; 154 ; 4.567.907.267 ; 269 ; 9.559.946.192 ; 1.407 ; 12.225.100.883 ;;;;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 219 ; 562.009.737 ; 1.222 ; 775.773.577 ; 519 ; 1.225.250.075 ; 1.966 ; 1.314.195.605 ; 3.926 ; 3.877.228.994 ; 326 ; 3.881.744.278 ; 268 ; 3.311.018.244 ; 594 ; 7.192.762.521 ; 4.520 ; 11.069.991.516 ;;;;
9;60.746.948;BANCO BRADESCO S.A.; 5.595 ; 2.567.082.334 ; 12.835 ; 2.024.126.591 ; 21.447 ; 1.029.153.053 ; 17.187 ; 1.067.101.887 ; 57.064 ; 6.687.463.865 ; 455 ; 1.044.109.306 ; 521 ; 1.609.692.031 ; 976 ; 2.653.801.337 ; 58.040 ; 9.341.265.202 ;;;;
