Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Set/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 32.266 ; 13.828.489.371 ; 153.122 ; 18.435.388.616 ; 138.102 ; 32.607.490.873 ; 253.785 ; 32.531.638.136 ; 577.275 ; 97.403.006.996 ; 5.138 ; 85.351.135.121 ; 4.787 ; 75.727.858.376 ; 9.925 ; 161.078.993.497 ; 587.200 ; 258.482.000.493 ;
2;33.479.023;BANCO CITIBANK S.A.; 16.330 ; 12.248.913.898 ; 63.740 ; 18.864.259.988 ; 79.930 ; 74.111.059.331 ; 157.102 ; 64.457.856.982 ; 317.102 ; 169.682.090.198 ; 2.965 ; 26.289.720.250 ; 3.096 ; 30.479.696.777 ; 6.061,0 ; 56.769.417.027 ; 323.163 ; 226.451.507.225 ;
3;60.701.190;ITAÈ UNIBANCO S.A.; 62.232 ; 13.303.305.464 ; 162.739 ; 18.039.195.913 ; 365.666 ; 25.046.397.364 ; 285.467 ; 39.122.030.688 ; 876.104 ; 95.510.929.429 ; 2.521 ; 65.925.522.234 ; 2.483 ; 58.536.787.786 ; 5.004,0 ; 124.462.310.020 ; 881.108 ; 219.973.239.449 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 22.104 ; 13.763.858.411 ; 99.319 ; 16.426.572.834 ; 102.455 ; 36.697.060.113 ; 205.843 ; 34.595.059.928 ; 429.721 ; 101.482.551.286 ; 3.097 ; 51.554.549.478 ; 3.013 ; 49.687.102.328 ; 6.110,0 ; 101.241.651.806 ; 435.831 ; 202.724.203.092 ;
5;00.000.000;BANCO DO BRASIL S.A.; 86.244 ; 47.946.261.904 ; 190.132 ; 38.844.116.841 ; 202.118 ; 27.509.599.845 ; 244.877 ; 30.328.730.316 ; 723.371 ; 144.628.708.905 ; 3.369 ; 19.903.078.062 ; 3.056 ; 28.196.406.228 ; 6.425,0 ; 48.099.484.291 ; 729.796 ; 192.728.193.196 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 1.368 ; 3.232.348.273 ; 19.273 ; 7.789.793.554 ; 8.310 ; 41.946.416.632 ; 23.927 ; 33.792.156.504 ; 52.878 ; 86.760.714.963 ; 2.297 ; 21.823.287.481 ; 2.808 ; 23.650.577.087 ; 5.105,0 ; 45.473.864.568 ; 57.983 ; 132.234.579.531 ;
7;60.746.948;BANCO BRADESCO S.A.; 52.045 ; 31.289.867.585 ; 120.132 ; 22.640.892.669 ; 196.943 ; 16.671.459.885 ; 162.523 ; 17.909.533.336 ; 531.643 ; 88.511.753.476 ; 4.755 ; 11.857.715.035 ; 5.315 ; 18.698.825.559 ; 10.070,0 ; 30.556.540.594 ; 541.713 ; 119.068.294.070 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 345 ; 2.422.491.674 ; 337 ; 453.433.059 ; 3.253 ; 15.408.615.566 ; 4.522 ; 14.966.478.612 ; 8.457 ; 33.251.018.911 ; 1.092 ; 37.674.806.619 ; 1.359 ; 37.375.847.663 ; 2.451,0 ; 75.050.654.282 ; 10.908 ; 108.301.673.193 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.044 ; 6.201.139.458 ; 8.872 ; 4.867.436.556 ; 4.890 ; 11.489.084.734 ; 14.791 ; 12.517.304.399 ; 30.597 ; 35.074.965.147 ; 2.780 ; 24.821.601.689 ; 2.693 ; 24.879.733.521 ; 5.473,0 ; 49.701.335.209 ; 36.070 ; 84.776.300.356 ;
