Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em SETEMBRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.875 ; 1.934.778.978 ; 16.988 ; 2.099.484.285 ; 15.087 ; 3.864.197.349 ; 32.449 ; 3.355.017.016 ; 68.399 ; 11.253.477.628 ; 612 ; 10.463.826.816 ; 600 ; 10.208.112.061 ; 1.212 ; 20.671.938.877 ; 69.611 ; 31.925.416.506 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 2.119 ; 1.595.381.713 ; 6.471 ; 2.167.153.299 ; 9.639 ; 9.723.153.544 ; 19.280 ; 8.392.526.002 ; 37.509 ; 21.878.214.558 ; 394 ; 2.933.857.318 ; 409 ; 3.996.638.889 ; 803 ; 6.930.496.207 ; 38.312 ; 28.808.710.764 ;;;;
3;00.000.000;BANCO DO BRASIL S.A.; 10.933 ; 4.721.822.452 ; 20.462 ; 4.036.802.463 ; 23.538 ; 4.481.913.300 ; 31.496 ; 4.653.755.079 ; 86.429 ; 17.894.293.294 ; 408 ; 2.392.719.790 ; 347 ; 2.568.544.184 ; 755 ; 4.961.263.974 ; 87.184 ; 22.855.557.268 ;;;;
4;60.701.190;ITAÈ UNIBANCO S.A.; 7.924 ; 1.738.838.075 ; 19.489 ; 2.176.911.359 ; 41.619 ; 3.222.777.896 ; 35.707 ; 4.460.842.092 ; 104.739 ; 11.599.369.422 ; 240 ; 4.249.207.428 ; 258 ; 4.202.552.624 ; 498 ; 8.451.760.052 ; 105.237 ; 20.051.129.474 ;;;;
5;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.726 ; 1.840.548.960 ; 11.032 ; 1.694.788.948 ; 11.967 ; 4.725.638.506 ; 23.979 ; 3.475.502.917 ; 49.704 ; 11.736.479.331 ; 287 ; 2.291.999.541 ; 325 ; 3.563.071.274 ; 612 ; 5.855.070.815 ; 50.316 ; 17.591.550.146 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 180 ; 338.945.654 ; 2.962 ; 908.812.777 ; 1.019 ; 5.730.854.232 ; 2.680 ; 3.948.514.642 ; 6.841 ; 10.927.127.306 ; 320 ; 2.809.354.422 ; 335 ; 2.598.063.196 ; 655 ; 5.407.417.618 ; 7.496 ; 16.334.544.924 ;;;;
7;60.746.948;BANCO BRADESCO S.A.; 6.425 ; 3.489.395.533 ; 12.535 ; 2.259.364.534 ; 21.944 ; 1.274.159.902 ; 19.162 ; 1.258.310.018 ; 60.066 ; 8.281.229.987 ; 521 ; 1.737.709.996 ; 625 ; 2.780.832.498 ; 1.146 ; 4.518.542.494 ; 61.212 ; 12.799.772.480 ;;;;
8;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 211 ; 1.027.782.401 ; 693 ; 413.624.044 ; 358 ; 524.562.096 ; 709 ; 1.370.366.027 ; 1.971 ; 3.336.334.568 ; 191 ; 2.635.143.306 ; 190 ; 2.599.304.853 ; 381 ; 5.234.448.160 ; 2.352 ; 8.570.782.728 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 43 ; 109.490.804 ; 67 ; 73.124.591 ; 360 ; 568.444.839 ; 452 ; 719.104.699 ; 922 ; 1.470.164.933 ; 132 ; 3.017.319.668 ; 171 ; 3.507.222.814 ; 303 ; 6.524.542.482 ; 1.225 ; 7.994.707.415 ;;;;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 285 ; 684.771.184 ; 1.072 ; 703.343.160 ; 628 ; 1.588.620.136 ; 1.605 ; 981.916.039 ; 3.590 ; 3.958.650.519 ; 332 ; 1.725.959.199 ; 302 ; 2.248.019.695 ; 634 ; 3.973.978.894 ; 4.224 ; 7.932.629.413 ;;;;
11;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 17 ; 33.598.757 ; 95 ; 25.313.248 ; 179 ; 919.371.303 ; 250 ; 1.091.898.753 ; 541 ; 2.070.182.062 ; 137 ; 2.578.629.882 ; 143 ; 2.335.728.462 ; 280 ; 4.914.358.344 ; 821 ; 6.984.540.406 ;;;;
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 30 ; 39.341.905 ; 44 ; 35.937.568 ; 184 ; 2.445.999.389 ; 193 ; 1.851.953.393 ; 451 ; 4.373.232.254 ; 76 ; 789.922.485 ; 50 ; 1.318.682.137 ; 126 ; 2.108.604.621 ; 577 ; 6.481.836.875 ;;;;
13;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 1 ; 273.357 ;;; 179 ; 716.908.209 ; 223 ; 1.016.029.535 ; 403 ; 1.733.211.101 ; 66 ; 2.517.076.001 ; 53 ; 1.476.340.712 ; 119 ; 3.993.416.713 ; 522 ; 5.726.627.814 ;;;;
14;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 143 ; 66.203.262 ; 570 ; 117.190.728 ; 497 ; 594.865.877 ; 537 ; 523.387.836 ; 1.747 ; 1.301.647.703 ; 379 ; 2.101.408.071 ; 423 ; 2.114.785.432 ; 802 ; 4.216.193.502 ; 2.549 ; 5.517.841.205 ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 159 ; 349.927.861 ; 1.200 ; 368.162.608 ; 194 ; 232.257.899 ; 812 ; 417.753.628 ; 2.365 ; 1.368.101.995 ; 134 ; 1.870.178.140 ; 572 ; 1.634.671.278 ; 706 ; 3.504.849.418 ; 3.071 ; 4.872.951.413 ;;;;
16;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 489 ; 1.326.077.068 ; 323 ; 1.199.173.935 ; 812 ; 2.525.251.003 ; 22 ; 735.000.000 ; 31 ; 850.750.000 ; 53 ; 1.585.750.000 ; 865 ; 4.111.001.003 ;;;;
17;61.820.817;BANCO PAULISTA S.A.; 47 ; 21.842.311 ; 420 ; 36.026.429 ; 947 ; 136.802.328 ; 2.151 ; 199.071.108 ; 3.565 ; 393.742.175 ; 1.255 ; 1.755.019.095 ; 8.052 ; 1.634.677.254 ; 9.307 ; 3.389.696.350 ; 12.872 ; 3.783.438.525 ;;;;
18;58.160.789;BANCO SAFRA S.A.; 241 ; 159.903.611 ; 1.172 ; 144.676.812 ; 911 ; 96.050.564 ; 3.495 ; 839.081.303 ; 5.819 ; 1.239.712.290 ; 155 ; 1.325.748.756 ; 119 ; 582.475.153 ; 274 ; 1.908.223.909 ; 6.093 ; 3.147.936.199 ;;;;
19;61.146.577;BANCO BARCLAYS S.A.; 1 ; 10.000.000 ;;; 106 ; 343.955.049 ; 147 ; 767.467.027 ; 254 ; 1.121.422.076 ; 135 ; 1.165.086.669 ; 236 ; 635.858.975 ; 371 ; 1.800.945.644 ; 625 ; 2.922.367.720 ;;;;
20;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 178 ; 1.112.074.800 ; 164 ; 576.069.128 ; 342 ; 1.688.143.928 ; 6 ; 383.585.000 ; 12 ; 645.000.000 ; 18 ; 1.028.585.000 ; 360 ; 2.716.728.928 ;;;;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 23 ; 132.122.642 ; 46 ; 137.955.240 ; 29 ; 79.399.444 ; 83 ; 142.426.097 ; 181 ; 491.903.424 ; 109 ; 862.371.059 ; 159 ; 738.317.577 ; 268 ; 1.600.688.636 ; 449 ; 2.092.592.059 ;;;;
