Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Out/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 36.393 ; 16.127.869.755 ; 172.345 ; 20.813.443.917 ; 156.156 ; 37.581.424.329 ; 283.528 ; 36.256.650.652 ; 648.422 ; 110.779.388.653 ; 5.774 ; 95.119.497.337 ; 5.471 ; 85.499.595.411 ; 11.245 ; 180.619.092.748 ; 659.667 ; 291.398.481.401 ;
2;60.701.190;ITAÈ UNIBANCO S.A.; 69.899 ; 15.435.090.238 ; 182.478 ; 19.839.477.385 ; 410.001 ; 29.405.909.566 ; 319.632 ; 43.299.428.802 ; 982.010 ; 107.979.905.989 ; 2.751 ; 80.323.896.606 ; 2.718 ; 72.720.604.627 ; 5.469,0 ; 153.044.501.233 ; 987.479 ; 261.024.407.223 ;
3;33.479.023;BANCO CITIBANK S.A.; 18.277 ; 13.767.879.087 ; 70.274 ; 20.611.824.570 ; 89.609 ; 84.317.257.267 ; 174.451 ; 73.249.358.476 ; 352.611 ; 191.946.319.400 ; 3.331 ; 28.548.182.441 ; 3.489 ; 33.625.954.213 ; 6.820,0 ; 62.174.136.654 ; 359.431 ; 254.120.456.054 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 24.860 ; 14.973.785.067 ; 110.337 ; 17.932.676.593 ; 114.728 ; 40.988.398.845 ; 229.684 ; 38.389.334.171 ; 479.609 ; 112.284.194.676 ; 3.473 ; 56.703.108.949 ; 3.372 ; 54.258.251.429 ; 6.845,0 ; 110.961.360.378 ; 486.454 ; 223.245.555.054 ;
5;00.000.000;BANCO DO BRASIL S.A.; 97.178 ; 53.224.252.804 ; 211.595 ; 43.352.325.869 ; 227.536 ; 33.816.830.887 ; 272.851 ; 35.390.912.272 ; 809.160 ; 165.784.321.832 ; 3.739 ; 23.149.974.226 ; 3.380 ; 31.408.591.790 ; 7.119,0 ; 54.558.566.016 ; 816.279 ; 220.342.887.848 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 1.511 ; 3.845.563.626 ; 22.273 ; 8.542.075.259 ; 9.318 ; 47.305.541.140 ; 26.149 ; 38.805.424.737 ; 59.251 ; 98.498.604.761 ; 2.621 ; 26.247.858.907 ; 3.173 ; 27.034.390.941 ; 5.794,0 ; 53.282.249.847 ; 65.045 ; 151.780.854.609 ;
7;60.746.948;BANCO BRADESCO S.A.; 58.529 ; 34.105.587.497 ; 133.164 ; 24.713.477.978 ; 222.293 ; 17.641.745.645 ; 181.501 ; 19.284.632.634 ; 595.487 ; 95.745.443.754 ; 5.328 ; 13.743.015.856 ; 5.909 ; 20.645.625.148 ; 11.237,0 ; 34.388.641.005 ; 606.724 ; 130.134.084.759 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 375 ; 2.531.789.652 ; 400 ; 533.215.427 ; 3.716 ; 16.565.881.255 ; 5.095 ; 16.531.823.882 ; 9.586 ; 36.162.710.216 ; 1.232 ; 42.431.371.382 ; 1.505 ; 41.524.897.420 ; 2.737,0 ; 83.956.268.801 ; 12.323 ; 120.118.979.017 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.308 ; 6.798.846.380 ; 9.875 ; 5.426.350.787 ; 5.530 ; 13.168.864.425 ; 16.474 ; 14.483.069.062 ; 34.187 ; 39.877.130.654 ; 3.114 ; 27.429.117.630 ; 2.987 ; 27.237.384.027 ; 6.101,0 ; 54.666.501.657 ; 40.288 ; 94.543.632.311 ;
10;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.839 ; 7.160.299.593 ; 6.834 ; 4.144.367.949 ; 3.444 ; 6.920.729.812 ; 8.535 ; 9.586.187.458 ; 20.652 ; 27.811.584.813 ; 2.138 ; 27.179.730.904 ; 2.180 ; 27.040.866.125 ; 4.318,0 ; 54.220.597.029 ; 24.970 ; 82.032.181.841 ;
11;59.588.111;BANCO VOTORANTIM S.A.; 1.084 ; 3.109.703.583 ; 8.527 ; 3.039.750.047 ; 1.769 ; 2.799.696.975 ; 7.471 ; 4.883.810.269 ; 18.851 ; 13.832.960.875 ; 1.365 ; 26.013.172.277 ; 5.153 ; 23.787.464.859 ; 6.518,0 ; 49.800.637.136 ; 25.369 ; 63.633.598.011 ;
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 19 ; 171.314.552 ; 2 ; 1.560.000 ; 1.518 ; 7.853.059.721 ; 2.402 ; 9.715.903.212 ; 3.941 ; 17.741.837.486 ; 767 ; 22.606.519.799 ; 775 ; 19.981.823.207 ; 1.542,0 ; 42.588.343.006 ; 5.483 ; 60.330.180.491 ;
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 303 ; 976.840.792 ; 357 ; 312.870.506 ; 1.827 ; 17.105.482.531 ; 1.944 ; 14.850.016.931 ; 4.431 ; 33.245.210.759 ; 650 ; 9.487.232.323 ; 377 ; 10.477.332.068 ; 1.027,0 ; 19.964.564.391 ; 5.458 ; 53.209.775.150 ;
14;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 72.407 ;;; 4.661 ; 19.359.642.709 ; 4.318 ; 12.879.358.904 ; 8.980 ; 32.239.074.021 ; 253 ; 6.384.030.504 ; 542 ; 12.813.987.899 ; 795,0 ; 19.198.018.403 ; 9.775 ; 51.437.092.424 ;
15;61.820.817;BANCO PAULISTA S.A.; 704 ; 133.381.874 ; 4.017 ; 316.996.092 ; 11.786 ; 983.426.983 ; 23.605 ; 2.321.341.293 ; 40.112 ; 3.755.146.242 ; 12.937 ; 19.496.559.435 ; 83.687 ; 17.964.690.320 ; 96.624,0 ; 37.461.249.755 ; 136.736 ; 41.216.395.997 ;
16;61.146.577;BANCO BARCLAYS S.A.; 8 ; 82.708.597 ; 38 ; 56.722.920 ; 1.760 ; 8.891.475.897 ; 1.902 ; 8.589.136.327 ; 3.708 ; 17.620.043.742 ; 1.341 ; 10.631.639.780 ; 1.844 ; 10.852.557.074 ; 3.185,0 ; 21.484.196.854 ; 6.893 ; 39.104.240.596 ;
17;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 146 ; 487.676.190 ; 1.661 ; 217.312.042 ; 1.558 ; 8.005.697.419 ; 2.576 ; 7.532.231.755 ; 5.941 ; 16.242.917.405 ; 1.284 ; 9.716.839.098 ; 1.403 ; 11.216.827.613 ; 2.687,0 ; 20.933.666.711 ; 8.628 ; 37.176.584.115 ;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.531 ; 861.899.734 ; 5.357 ; 1.170.285.732 ; 4.871 ; 3.143.203.132 ; 4.753 ; 1.645.622.316 ; 16.512 ; 6.821.010.913 ; 3.432 ; 13.391.511.398 ; 4.037 ; 14.579.686.508 ; 7.469,0 ; 27.971.197.905 ; 23.981 ; 34.792.208.818 ;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 1.713 ; 8.214.775.494 ; 1.925 ; 8.378.593.509 ; 3.644 ; 16.624.353.613 ; 103 ; 4.083.164.318 ; 104 ; 4.390.139.838 ; 207,0 ; 8.473.304.155 ; 3.851 ; 25.097.657.769 ;
20;58.160.789;BANCO SAFRA S.A.; 2.138 ; 1.811.353.730 ; 11.687 ; 1.771.047.723 ; 8.752 ; 1.810.067.532 ; 31.328 ; 3.570.194.993 ; 53.905 ; 8.962.663.978 ; 1.232 ; 7.269.224.236 ; 1.104 ; 4.926.459.717 ; 2.336,0 ; 12.195.683.952 ; 56.241 ; 21.158.347.930 ;
21;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 245 ; 7.972.943 ; 3.697 ; 185.915.818 ; 1.548 ; 153.377.924 ; 6.892 ; 287.425.136 ; 12.382 ; 634.691.821 ; 12.261 ; 9.199.317.769 ; 102.679 ; 8.863.261.349 ; 114.940,0 ; 18.062.579.118 ; 127.322 ; 18.697.270.939 ;
22;17.298.092;BANCO ITAÈ BBA S.A.; 2.743 ; 1.395.551.654 ; 6.405 ; 1.402.526.639 ; 2.516 ; 1.731.398.284 ; 5.716 ; 1.921.567.881 ; 17.380 ; 6.451.044.458 ; 326 ; 4.486.715.129 ; 334 ; 4.645.267.412 ; 660,0 ; 9.131.982.541 ; 18.040 ; 15.583.026.999 ;
23;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 155 ; 926.463.879 ; 226 ; 683.057.392 ; 200 ; 147.773.731 ; 640 ; 613.745.951 ; 1.221 ; 2.371.040.952 ; 691 ; 5.149.471.444 ; 894 ; 4.935.262.717 ; 1.585,0 ; 10.084.734.161 ; 2.806 ; 12.455.775.113 ;
24;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 300 ; 487.332.183 ;;; 427 ; 4.230.696.373 ; 631 ; 1.756.812.244 ; 1.358 ; 6.474.840.799 ; 45 ; 1.414.151.857 ; 72 ; 4.464.757.150 ; 117,0 ; 5.878.909.007 ; 1.475 ; 12.353.749.806 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 443 ; 1.949.950.419 ; 295 ; 195.569.577 ; 601 ; 1.756.088.731 ; 2.964 ; 1.492.337.496 ; 4.303 ; 5.393.946.223 ; 223 ; 2.377.463.741 ; 280 ; 4.313.956.499 ; 503,0 ; 6.691.420.239 ; 4.806 ; 12.085.366.463 ;
26;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 91 ; 288.855.922 ;;; 91 ; 288.855.922 ; 18 ; 5.450.000.000 ; 18 ; 5.450.000.000 ; 36,0 ; 10.900.000.000 ; 127 ; 11.188.855.922 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 194 ; 9.445.414 ; 1.395 ; 85.500.829 ; 36.331 ; 535.296.622 ; 30.467 ; 1.850.161.785 ; 68.387 ; 2.480.404.650 ; 3.672 ; 4.563.173.203 ; 66.843 ; 3.109.492.201 ; 70.515,0 ; 7.672.665.404 ; 138.902 ; 10.153.070.054 ;
