Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em OUTUBRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;60.701.190;ITAÈ UNIBANCO S.A.; 7.668 ; 2.132.577.279 ; 19.744 ; 1.801.510.403 ; 44.336 ; 4.359.533.848 ; 34.164 ; 4.176.681.793 ; 105.912 ; 12.470.303.323 ; 230 ; 14.398.374.372 ; 235 ; 14.183.816.841 ; 465 ; 28.582.191.213 ; 106.377 ; 41.052.494.536 ;;;;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.130 ; 2.299.487.635 ; 19.227 ; 2.385.828.278 ; 18.056 ; 4.973.863.443 ; 29.745 ; 3.725.556.490 ; 71.158 ; 13.384.735.846 ; 636 ; 9.768.362.216 ; 684 ; 9.771.737.035 ; 1.320 ; 19.540.099.250 ; 72.478 ; 32.924.835.097 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.947 ; 1.519.791.850 ; 6.536 ; 1.759.416.541 ; 9.688 ; 10.206.575.647 ; 17.350 ; 8.791.503.088 ; 35.521 ; 22.277.287.127 ; 366 ; 2.258.462.191 ; 393 ; 3.146.257.436 ; 759 ; 5.404.719.627 ; 36.280 ; 27.682.006.754 ;;;;
4;00.000.000;BANCO DO BRASIL S.A.; 10.937 ; 5.278.201.635 ; 21.475 ; 4.509.023.981 ; 25.422 ; 6.307.266.849 ; 27.979 ; 5.091.156.600 ; 85.813 ; 21.185.649.065 ; 370 ; 3.246.896.164 ; 324 ; 3.212.185.562 ; 694 ; 6.459.081.726 ; 86.507 ; 27.644.730.791 ;;;;
5;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.756 ; 1.209.926.716 ; 11.016 ; 1.505.229.386 ; 12.272 ; 4.291.338.733 ; 23.847 ; 3.795.228.097 ; 49.891 ; 10.801.722.932 ; 376 ; 5.148.559.471 ; 359 ; 4.571.149.101 ; 735 ; 9.719.708.572 ; 50.626 ; 20.521.431.504 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 143 ; 613.215.353 ; 3.000 ; 752.281.705 ; 1.009 ; 5.359.132.876 ; 2.222 ; 5.013.268.232 ; 6.374 ; 11.737.898.167 ; 324 ; 4.424.571.425 ; 365 ; 3.383.813.854 ; 689 ; 7.808.385.280 ; 7.063 ; 19.546.283.446 ;;;;
7;30.306.294;BANCO BTG PACTUAL S.A.; 30 ; 109.297.978 ; 63 ; 79.782.368 ; 464 ; 1.186.888.669 ; 574 ; 1.594.964.425 ; 1.131 ; 2.970.933.440 ; 140 ; 4.756.564.763 ; 146 ; 4.149.049.757 ; 286 ; 8.905.614.520 ; 1.417 ; 11.876.547.960 ;;;;
8;60.746.948;BANCO BRADESCO S.A.; 6.484 ; 2.815.725.574 ; 13.038 ; 2.072.785.961 ; 25.352 ; 970.287.472 ; 18.972 ; 1.374.898.645 ; 63.846 ; 7.233.697.652 ; 573 ; 1.885.300.822 ; 594 ; 1.946.799.589 ; 1.167 ; 3.832.100.411 ; 65.013 ; 11.065.798.062 ;;;;
9;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 227 ; 674.971.279 ; 1.009 ; 673.707.562 ; 530 ; 1.325.316.454 ; 938 ; 1.215.343.415 ; 2.704 ; 3.889.338.710 ; 260 ; 3.004.844.504 ; 274 ; 2.955.731.814 ; 534 ; 5.960.576.318 ; 3.238 ; 9.849.915.028 ;;;;
