Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Dez/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 43.221 ; 19.955.175.829 ; 207.847 ; 25.156.581.403 ; 186.792 ; 45.974.376.649 ; 343.319 ; 47.907.378.994 ; 781.179 ; 138.993.512.876 ; 6.918 ; 125.217.512.604 ; 6.630 ; 114.797.291.935 ; 13.548 ; 240.014.804.540 ; 794.727 ; 379.008.317.415 ;
2;60.701.190;ITAÈ UNIBANCO S.A.; 83.269 ; 18.628.033.968 ; 217.912 ; 23.388.982.452 ; 496.718 ; 38.027.609.979 ; 385.809 ; 53.091.358.692 ; 1.183.708 ; 133.135.985.091 ; 3.186 ; 92.235.915.988 ; 3.176 ; 85.035.060.864 ; 6.362,0 ; 177.270.976.852 ; 1.190.070 ; 310.406.961.943 ;
3;33.479.023;BANCO CITIBANK S.A.; 21.645 ; 16.019.138.435 ; 82.646 ; 24.084.304.025 ; 107.734 ; 100.358.039.305 ; 207.975 ; 89.080.617.295 ; 420.000 ; 229.542.099.061 ; 3.987 ; 34.782.373.554 ; 4.156 ; 40.199.035.747 ; 8.143,0 ; 74.981.409.301 ; 428.143 ; 304.523.508.362 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 29.796 ; 17.464.478.322 ; 129.970 ; 21.100.544.415 ; 137.332 ; 48.647.663.592 ; 275.440 ; 48.744.651.771 ; 572.538 ; 135.957.338.101 ; 4.160 ; 67.941.901.856 ; 4.023 ; 64.704.840.961 ; 8.183,0 ; 132.646.742.817 ; 580.721 ; 268.604.080.918 ;
5;00.000.000;BANCO DO BRASIL S.A.; 116.095 ; 62.204.147.488 ; 248.248 ; 51.223.745.974 ; 273.278 ; 39.096.834.360 ; 328.490 ; 42.269.570.635 ; 966.111 ; 194.794.298.457 ; 4.288 ; 26.390.316.920 ; 3.892 ; 34.240.149.869 ; 8.180,0 ; 60.630.466.789 ; 974.291 ; 255.424.765.246 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 1.779 ; 4.800.625.183 ; 26.526 ; 9.758.762.327 ; 10.946 ; 53.197.343.006 ; 30.827 ; 49.571.470.297 ; 70.078 ; 117.328.200.813 ; 3.164 ; 31.518.099.350 ; 3.822 ; 31.944.937.126 ; 6.986,0 ; 63.463.036.476 ; 77.064 ; 180.791.237.289 ;
7;60.746.948;BANCO BRADESCO S.A.; 69.667 ; 38.987.675.460 ; 155.307 ; 28.412.522.225 ; 266.862 ; 20.094.541.506 ; 220.626 ; 21.658.771.266 ; 712.462 ; 109.153.510.458 ; 6.417 ; 18.245.864.288 ; 7.033 ; 25.712.836.781 ; 13.450,0 ; 43.958.701.069 ; 725.912 ; 153.112.211.527 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 427 ; 2.659.528.356 ; 469 ; 712.627.541 ; 4.462 ; 18.198.413.501 ; 5.959 ; 18.467.456.303 ; 11.317 ; 40.038.025.701 ; 1.497 ; 53.338.527.730 ; 1.854 ; 54.304.354.377 ; 3.351,0 ; 107.642.882.108 ; 14.668 ; 147.680.907.809 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.807 ; 7.829.366.993 ; 11.695 ; 6.268.360.975 ; 6.729 ; 16.802.669.253 ; 19.964 ; 18.420.130.855 ; 41.195 ; 49.320.528.077 ; 3.647 ; 32.867.734.231 ; 3.502 ; 33.638.059.672 ; 7.149,0 ; 66.505.793.903 ; 48.344 ; 115.826.321.980 ;
10;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 2.153 ; 8.024.224.845 ; 8.584 ; 5.034.323.657 ; 4.267 ; 9.011.431.727 ; 10.388 ; 12.116.633.794 ; 25.392 ; 34.186.614.024 ; 2.560 ; 32.781.394.439 ; 2.580 ; 32.673.758.262 ; 5.140,0 ; 65.455.152.701 ; 30.532 ; 99.641.766.725 ;
11;59.588.111;BANCO VOTORANTIM S.A.; 1.382 ; 3.705.722.487 ; 10.964 ; 3.900.206.164 ; 2.162 ; 3.110.214.793 ; 8.982 ; 5.636.198.335 ; 23.490 ; 16.352.341.779 ; 1.665 ; 27.906.795.280 ; 6.126 ; 25.012.462.332 ; 7.791,0 ; 52.919.257.612 ; 31.281 ; 69.271.599.391 ;
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 20 ; 176.832.934 ; 2 ; 1.560.000 ; 1.933 ; 9.391.821.129 ; 2.793 ; 11.323.162.573 ; 4.748 ; 20.893.376.635 ; 832 ; 24.255.109.864 ; 867 ; 21.943.986.797 ; 1.699,0 ; 46.199.096.661 ; 6.447 ; 67.092.473.296 ;
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 391 ; 1.149.396.537 ; 500 ; 381.478.987 ; 2.180 ; 20.074.109.678 ; 2.537 ; 17.883.471.847 ; 5.608 ; 39.488.457.049 ; 738 ; 11.148.677.943 ; 449 ; 12.897.879.016 ; 1.187,0 ; 24.046.556.960 ; 6.795 ; 63.535.014.009 ;
14;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 72.407 ;;; 5.586 ; 21.936.006.799 ; 5.233 ; 16.137.735.094 ; 10.820 ; 38.073.814.300 ; 327 ; 8.313.630.687 ; 625 ; 14.473.838.917 ; 952,0 ; 22.787.469.604 ; 11.772 ; 60.861.283.904 ;
15;61.820.817;BANCO PAULISTA S.A.; 801 ; 197.817.870 ; 4.956 ; 377.496.858 ; 13.126 ; 1.531.569.122 ; 27.067 ; 3.034.201.092 ; 45.950 ; 5.141.084.942 ; 15.206 ; 22.371.542.466 ; 98.039 ; 20.708.413.128 ; 113.245,0 ; 43.079.955.593 ; 159.195 ; 48.221.040.536 ;
16;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 174 ; 551.311.451 ; 1.862 ; 236.906.290 ; 1.857 ; 10.141.980.682 ; 3.137 ; 10.562.614.969 ; 7.030 ; 21.492.813.393 ; 1.541 ; 12.757.727.184 ; 1.630 ; 12.946.412.260 ; 3.171,0 ; 25.704.139.444 ; 10.201 ; 47.196.952.837 ;
17;61.146.577;BANCO BARCLAYS S.A.; 8 ; 82.708.597 ; 42 ; 82.238.751 ; 1.999 ; 9.858.627.966 ; 2.133 ; 9.756.474.850 ; 4.182 ; 19.780.050.163 ; 1.626 ; 11.760.428.949 ; 2.250 ; 11.822.667.302 ; 3.876,0 ; 23.583.096.251 ; 8.058 ; 43.363.146.414 ;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.797 ; 1.148.609.453 ; 6.496 ; 1.366.620.363 ; 5.770 ; 4.218.620.409 ; 5.702 ; 1.980.368.727 ; 19.765 ; 8.714.218.952 ; 4.139 ; 15.887.988.367 ; 4.843 ; 17.916.274.575 ; 8.982,0 ; 33.804.262.941 ; 28.747 ; 42.518.481.893 ;
19;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 111 ; 388.768.068 ;;; 111 ; 388.768.068 ; 67 ; 15.750.000.000 ; 67 ; 15.750.000.000 ; 134,0 ; 31.500.000.000 ; 245 ; 31.888.768.068 ;
20;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 2.040 ; 9.765.834.202 ; 2.190 ; 9.967.728.020 ; 4.236 ; 19.764.546.831 ; 126 ; 4.859.367.148 ; 128 ; 5.015.198.978 ; 254,0 ; 9.874.566.125 ; 4.490 ; 29.639.112.957 ;
21;58.160.789;BANCO SAFRA S.A.; 2.473 ; 1.981.773.676 ; 14.567 ; 2.116.276.812 ; 10.633 ; 2.766.356.710 ; 37.260 ; 4.379.998.653 ; 64.933 ; 11.244.405.851 ; 1.423 ; 8.044.174.007 ; 1.284 ; 5.677.377.591 ; 2.707,0 ; 13.721.551.598 ; 67.640 ; 24.965.957.449 ;
22;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 303 ; 10.589.479 ; 4.297 ; 219.987.521 ; 1.880 ; 180.484.986 ; 8.587 ; 351.041.068 ; 15.067 ; 762.103.053 ; 15.030 ; 10.798.548.948 ; 121.166 ; 10.393.982.528 ; 136.196,0 ; 21.192.531.476 ; 151.263 ; 21.954.634.530 ;
23;17.298.092;BANCO ITAÈ BBA S.A.; 2.743 ; 1.395.551.654 ; 6.405 ; 1.402.526.639 ; 2.516 ; 1.731.398.284 ; 5.719 ; 1.921.567.881 ; 17.383 ; 6.451.044.458 ; 326 ; 4.486.715.129 ; 334 ; 4.645.267.412 ; 660,0 ; 9.131.982.541 ; 18.043 ; 15.583.026.999 ;
24;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 173 ; 1.065.489.802 ; 289 ; 954.231.203 ; 237 ; 169.070.863 ; 749 ; 670.113.758 ; 1.448 ; 2.858.905.626 ; 890 ; 6.427.135.501 ; 1.175 ; 6.012.380.931 ; 2.065,0 ; 12.439.516.431 ; 3.513 ; 15.298.422.057 ;
