Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em DEZEMBRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.500 ; 2.147.326.066 ; 18.082 ; 2.138.407.951 ; 17.311 ; 4.321.124.171 ; 32.526 ; 6.501.315.031 ; 71.419 ; 15.108.173.220 ; 575 ; 23.460.440.049 ; 627 ; 23.498.189.686 ; 1.202 ; 46.958.629.735 ; 72.621 ; 62.066.802.955 ;;;;
2;60.701.190;ITAÈ UNIBANCO S.A.; 6.905 ; 1.731.229.952 ; 18.344 ; 2.022.171.244 ; 46.333 ; 5.615.511.687 ; 36.420 ; 6.678.037.010 ; 108.002 ; 16.046.949.893 ; 217 ; 6.514.378.748 ; 235 ; 7.060.572.250 ; 452 ; 13.574.950.998 ; 108.454 ; 29.621.900.891 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.681 ; 1.288.430.768 ; 6.133 ; 1.785.616.802 ; 9.805 ; 9.619.549.755 ; 18.822 ; 9.276.640.601 ; 36.441 ; 21.970.237.925 ; 363 ; 3.173.193.223 ; 378 ; 4.314.074.950 ; 741 ; 7.487.268.172 ; 37.182 ; 29.457.506.098 ;;;;
4;1.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.558 ; 1.365.532.978 ; 9.553 ; 1.662.205.485 ; 11.954 ; 4.102.007.773 ; 24.688 ; 6.600.040.196 ; 48.753 ; 13.729.786.431 ; 345 ; 8.228.802.162 ; 324 ; 7.268.408.080 ; 669 ; 15.497.210.242 ; 49.422 ; 29.226.996.673 ;;;;
5;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 11 ; 34.503.186 ;;; 11 ; 34.503.186 ; 49 ; 10.300.000.000 ; 49 ; 10.300.000.000 ; 98 ; 20.600.000.000 ; 109 ; 20.634.503.186 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 9.829 ; 4.650.365.168 ; 18.289 ; 4.100.688.870 ; 25.114 ; 2.529.202.797 ; 29.763 ; 4.019.333.287 ; 82.995 ; 15.299.590.122 ; 282 ; 2.017.841.068 ; 269 ; 1.495.578.777 ; 551 ; 3.513.419.845 ; 83.546 ; 18.813.009.967 ;;;;
7;30.306.294;BANCO BTG PACTUAL S.A.; 34 ; 89.511.215 ; 34 ; 144.249.572 ; 434 ; 966.759.544 ; 485 ; 1.377.466.398 ; 987 ; 2.577.986.729 ; 169 ; 7.165.094.365 ; 196 ; 8.160.681.052 ; 365 ; 15.325.775.417 ; 1.352 ; 17.903.762.147 ;;;;
8;33.172.537;BANCO J.P. MORGAN S.A.; 128 ; 550.660.499 ; 1.862 ; 602.198.593 ; 849 ; 2.807.050.365 ; 1.754 ; 6.536.549.646 ; 4.593 ; 10.496.459.103 ; 298 ; 3.678.303.858 ; 344 ; 3.253.439.640 ; 642 ; 6.931.743.498 ; 5.235 ; 17.428.202.601 ;;;;
9;60.746.948;BANCO BRADESCO S.A.; 5.717 ; 2.760.605.124 ; 10.971 ; 1.933.646.826 ; 24.388 ; 1.506.647.925 ; 22.570 ; 1.413.111.420 ; 63.646 ; 7.614.011.295 ; 536 ; 2.776.976.396 ; 594 ; 3.589.460.418 ; 1.130 ; 6.366.436.815 ; 64.776 ; 13.980.448.110 ;;;;
10;1.522.368;BANCO BNP PARIBAS BRASIL S.A.; 248 ; 560.023.339 ; 835 ; 321.021.138 ; 644 ; 1.876.735.797 ; 1.762 ; 2.399.733.730 ; 3.489 ; 5.157.514.005 ; 291 ; 3.776.377.458 ; 279 ; 4.381.050.351 ; 570 ; 8.157.427.809 ; 4.059 ; 13.314.941.814 ;;;;
11;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 170 ; 389.731.020 ; 959 ; 410.619.805 ; 434 ; 1.583.295.355 ; 1.124 ; 1.623.524.394 ; 2.687 ; 4.007.170.573 ; 226 ; 2.956.885.008 ; 206 ; 2.964.304.743 ; 432 ; 5.921.189.751 ; 3.119 ; 9.928.360.324 ;;;;
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 12 ; 48.714.380 ; 135 ; 12.417.713 ; 165 ; 1.322.064.451 ; 314 ; 1.849.065.394 ; 626 ; 3.232.261.939 ; 157 ; 2.327.455.891 ; 128 ; 1.118.609.142 ; 285 ; 3.446.065.033 ; 911 ; 6.678.326.971 ;;;;
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 56 ; 30.823.218 ; 72 ; 42.394.875 ; 185 ; 1.453.673.545 ; 323 ; 1.818.053.220 ; 636 ; 3.344.944.858 ; 50 ; 1.041.243.803 ; 42 ; 1.434.159.111 ; 92 ; 2.475.402.914 ; 728 ; 5.820.347.772 ;;;;
14;2.801.938;BANCO MORGAN STANLEY S.A.;;;;; 401 ; 854.254.437 ; 480 ; 2.164.527.577 ; 881 ; 3.018.782.015 ; 55 ; 1.515.600.184 ; 23 ; 540.351.018 ; 78 ; 2.055.951.201 ; 959 ; 5.074.733.216 ;;;;
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 148 ; 255.435.235 ; 648 ; 81.910.820 ; 445 ; 857.428.678 ; 547 ; 280.841.131 ; 1.788 ; 1.475.615.865 ; 356 ; 1.415.925.639 ; 427 ; 2.165.410.965 ; 783 ; 3.581.336.604 ; 2.571 ; 5.056.952.468 ;;;;
16;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 261 ; 1.060.347.854 ; 218 ; 1.244.558.191 ; 479 ; 2.304.906.044 ; 22 ; 885.481.603 ; 25 ; 986.006.606 ; 47 ; 1.871.488.209 ; 526 ; 4.176.394.254 ;;;;
17;61.820.817;BANCO PAULISTA S.A.; 59 ; 40.976.049 ; 443 ; 27.673.591 ; 696 ; 418.304.093 ; 1.849 ; 536.507.604 ; 3.047 ; 1.023.461.337 ; 1.256 ; 1.568.230.587 ; 7.646 ; 1.499.768.356 ; 8.902 ; 3.067.998.942 ; 11.949 ; 4.091.460.279 ;;;;
18;59.588.111;BANCO VOTORANTIM S.A.; 143 ; 296.671.907 ; 1.229 ; 536.251.422 ; 251 ; 161.926.128 ; 787 ; 413.927.851 ; 2.410 ; 1.408.777.308 ; 147 ; 924.035.177 ; 483 ; 559.033.086 ; 630 ; 1.483.068.263 ; 3.040 ; 2.891.845.571 ;;;;
19;4.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 140 ; 706.019.081 ; 170 ; 991.988.031 ; 310 ; 1.698.007.111 ; 10 ; 351.812.360 ; 12 ; 370.680.990 ; 22 ; 722.493.350 ; 332 ; 2.420.500.461 ;;;;
20;58.160.789;BANCO SAFRA S.A.; 169 ; 78.672.568 ; 1.453 ; 169.828.868 ; 991 ; 332.585.163 ; 3.290 ; 539.030.809 ; 5.903 ; 1.120.117.408 ; 90 ; 532.500.123 ; 77 ; 238.834.000 ; 167 ; 771.334.123 ; 6.070 ; 1.891.451.531 ;;;;
21;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 112 ; 22.968.798 ; 359 ; 108.572.357 ; 292 ; 573.204.288 ; 442 ; 100.944.943 ; 1.205 ; 805.690.386 ; 60 ; 323.004.402 ; 120 ; 704.643.343 ; 180 ; 1.027.647.745 ; 1.385 ; 1.833.338.131 ;;;;
22;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 29 ; 1.582.452 ; 285 ; 13.037.286 ; 183 ; 16.114.240 ; 885 ; 35.810.446 ; 1.382 ; 66.544.425 ; 1.538 ; 866.925.503 ; 10.069 ; 823.677.311 ; 11.607 ; 1.690.602.815 ; 12.989 ; 1.757.147.239 ;;;;
23;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 25.364.624 ; 128 ; 347.900.498 ; 103 ; 603.615.660 ; 232 ; 976.880.782 ; 105 ; 526.375.587 ; 169 ; 219.092.085 ; 274 ; 745.467.672 ; 506 ; 1.722.348.454 ;;;;
24;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 8 ; 94.759.315 ; 39 ; 173.661.452 ; 24 ; 14.024.388 ; 56 ; 41.699.709 ; 127 ; 324.144.864 ; 106 ; 669.684.681 ; 142 ; 557.552.837 ; 248 ; 1.227.237.519 ; 375 ; 1.551.382.383 ;;;;
25;28.195.667;BANCO ABC BRASIL S.A.; 87 ; 63.078.870 ; 120 ; 18.430.609 ; 48 ; 175.294.238 ; 305 ; 241.037.703 ; 560 ; 497.841.420 ; 20 ; 549.701.798 ; 23 ; 491.135.743 ; 43 ; 1.040.837.541 ; 603 ; 1.538.678.961 ;;;;
26;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 12 ; 36.505.000 ;;; 14 ; 144.280.718 ; 48 ; 166.775.141 ; 74 ; 347.560.860 ; 80 ; 513.650.104 ; 78 ; 532.497.806 ; 158 ; 1.046.147.910 ; 232 ; 1.393.708.770 ;;;;
27;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 40 ; 80.685.054 ;;; 54 ; 482.202.007 ; 78 ; 171.231.292 ; 172 ; 734.118.354 ; 5 ; 71.672.870 ; 11 ; 460.818.558 ; 16 ; 532.491.428 ; 188 ; 1.266.609.782 ;;;;
28;49.336.860;ING BANK N.V.; 22 ; 24.880.716 ; 4 ; 6.067.394 ; 12 ; 71.074.299 ; 102 ; 42.580.835 ; 140 ; 144.603.245 ; 17 ; 506.571.600 ; 18 ; 540.590.200 ; 35 ; 1.047.161.800 ; 175 ; 1.191.765.045 ;;;;
29;1.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 52 ; 94.361.994 ; 11 ; 6.095.133 ; 75 ; 248.772.486 ; 350 ; 254.067.046 ; 488 ; 603.296.659 ; 15 ; 313.600.282 ; 15 ; 257.669.206 ; 30 ; 571.269.488 ; 518 ; 1.174.566.147 ;;;;
30;00.360.305;CAIXA ECONOMICA FEDERAL; 214 ; 304.975.638 ; 206 ; 5.533.976 ; 6.232 ; 136.315.921 ; 2.668 ; 122.439.659 ; 9.320 ; 569.265.194 ; 108 ; 137.514.994 ; 123 ; 444.985.868 ; 231 ; 582.500.862 ; 9.551 ; 1.151.766.057 ;;;;
31;68.900.810;BANCO RENDIMENTO S.A.; 4 ; 250.770 ; 83 ; 9.633.947 ; 4.538 ; 84.307.839 ; 2.553 ; 195.527.593 ; 7.178 ; 289.720.149 ; 416 ; 330.929.900 ; 6.836 ; 236.370.849 ; 7.252 ; 567.300.749 ; 14.430 ; 857.020.898 ;;;;
32;62.232.889;BANCO DAYCOVAL S.A.; 209 ; 74.702.533 ; 385 ; 21.253.413 ; 514 ; 21.371.106 ; 3.028 ; 82.057.008 ; 4.136 ; 199.384.061 ; 305 ; 312.674.609 ; 1.167 ; 343.153.042 ; 1.472 ; 655.827.651 ; 5.608 ; 855.211.711 ;;;;
33;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 16 ; 34.943.904 ; 6 ; 359.480 ; 17 ; 98.241.839 ; 25 ; 3.054.485 ; 64 ; 136.599.708 ; 34 ; 244.536.497 ; 41 ; 371.129.057 ; 75 ; 615.665.553 ; 139 ; 752.265.261 ;;;;
34;78.632.767;BANCO OURINVEST S.A.;;; 24 ; 1.767.425 ; 190 ; 7.789.528 ; 543 ; 19.070.306 ; 757 ; 28.627.258 ; 296 ; 262.198.104 ; 4.709 ; 249.619.040 ; 5.005 ; 511.817.144 ; 5.762 ; 540.444.402 ;;;;
35;13.059.145;BEXS BANCO DE C∂MBIO S/A; 12 ; 45.118.680 ; 121 ; 4.073.692 ; 179 ; 51.966.584 ; 451 ; 59.009.113 ; 763 ; 160.168.068 ; 244 ; 151.155.702 ; 266 ; 184.496.237 ; 510 ; 335.651.939 ; 1.273 ; 495.820.007 ;;;;
36;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 201 ; 1.852.732 ; 2.870 ; 38.331.785 ; 3.071 ; 40.184.517 ; 652 ; 244.111.556 ; 135 ; 207.663.144 ; 787 ; 451.774.701 ; 3.858 ; 491.959.218 ;;;;
37;71.027.866;BANCO BONSUCESSO S.A.;;;;; 11 ; 39.532 ; 99 ; 1.876.035 ; 110 ; 1.915.567 ; 158 ; 237.507.224 ; 240 ; 235.628.252 ; 398 ; 473.135.476 ; 508 ; 475.051.043 ;;;;
38;62.144.175;BANCO PINE S.A.; 14 ; 22.391.820 ; 15 ; 16.064.699 ; 5 ; 1.704.362 ; 54 ; 14.729.399 ; 88 ; 54.890.279 ; 14 ; 267.050.578 ; 9 ; 100.490.224 ; 23 ; 367.540.801 ; 111 ; 422.431.080 ;;;;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 784 ; 83.498.267 ; 1.367 ; 81.530.526 ; 334 ; 69.031.804 ; 1.512 ; 16.748.219 ; 3.997 ; 250.808.815 ; 42 ; 54.486.524 ; 40 ; 107.232.008 ; 82 ; 161.718.532 ; 4.079 ; 412.527.348 ;;;;
