Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JANEIRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.424 ; 1.723.644.596 ; 20.060 ; 2.204.351.418 ; 14.406 ; 3.676.991.645 ; 31.155 ; 6.819.486.253 ; 69.045 ; 14.424.473.912 ; 667 ; 6.819.075.251 ; 506 ; 4.734.171.731 ; 1.173 ; 11.553.246.981 ; 70.218 ; 25.977.720.893 ;;;;
2;33.172.537;BANCO J.P. MORGAN S.A.; 117 ; 358.349.014 ; 3.174 ; 787.766.714 ; 870 ; 10.801.252.058 ; 1.498 ; 3.527.871.161 ; 5.659 ; 15.475.238.947 ; 276 ; 3.063.283.203 ; 372 ; 5.407.468.740 ; 648 ; 8.470.751.943 ; 6.307 ; 23.945.990.891 ;;;;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.285 ; 839.168.777 ; 10.237 ; 1.342.897.948 ; 10.518 ; 4.769.920.807 ; 25.065 ; 3.201.316.531 ; 48.105 ; 10.153.304.064 ; 421 ; 6.234.684.925 ; 457 ; 7.182.038.160 ; 878 ; 13.416.723.085 ; 48.983 ; 23.570.027.149 ;;;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 6.103 ; 1.401.333.786 ; 18.942 ; 1.893.080.105 ; 43.076 ; 2.688.249.293 ; 34.581 ; 4.952.481.712 ; 102.702 ; 10.935.144.896 ; 204 ; 6.790.495.119 ; 179 ; 5.341.187.760 ; 383 ; 12.131.682.879 ; 103.085 ; 23.066.827.774 ;;;;
5;33.479.023;BANCO CITIBANK S.A.; 1.439 ; 998.633.018 ; 6.417 ; 1.535.569.027 ; 8.620 ; 6.246.910.745 ; 16.747 ; 6.503.585.045 ; 33.223 ; 15.284.697.834 ; 314 ; 3.403.393.169 ; 286 ; 1.764.851.018 ; 600 ; 5.168.244.188 ; 33.823 ; 20.452.942.022 ;;;;
6;60.746.948;BANCO BRADESCO S.A.; 4.986 ; 2.439.862.440 ; 12.030 ; 1.543.977.387 ; 21.692 ; 4.438.047.474 ; 21.348 ; 4.581.968.437 ; 60.056 ; 13.003.855.738 ; 537 ; 1.184.526.068 ; 584 ; 2.096.839.010 ; 1.121 ; 3.281.365.078 ; 61.177 ; 16.285.220.817 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 7.889 ; 4.318.477.675 ; 18.896 ; 3.428.773.618 ; 20.855 ; 1.420.419.764 ; 27.271 ; 3.007.387.985 ; 74.911 ; 12.175.059.041 ; 304 ; 2.639.252.987 ; 273 ; 1.012.802.918 ; 577 ; 3.652.055.904 ; 75.488 ; 15.827.114.946 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 23 ; 192.019.514 ; 57 ; 8.891.858 ; 454 ; 910.332.830 ; 496 ; 1.433.065.547 ; 1.030 ; 2.544.309.749 ; 193 ; 6.295.828.314 ; 202 ; 5.360.417.701 ; 395 ; 11.656.246.015 ; 1.425 ; 14.200.555.764 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 209 ; 663.815.397 ; 1.001 ; 420.272.087 ; 622 ; 2.647.113.615 ; 1.510 ; 1.077.911.530 ; 3.342 ; 4.809.112.629 ; 274 ; 3.116.232.319 ; 278 ; 4.476.711.920 ; 552 ; 7.592.944.238 ; 3.894 ; 12.402.056.868 ;;;;
10;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 171 ; 654.047.769 ; 790 ; 549.326.437 ; 308 ; 1.039.972.994 ; 1.103 ; 1.490.887.200 ; 2.372 ; 3.734.234.400 ; 156 ; 3.470.063.078 ; 154 ; 3.109.703.145 ; 310 ; 6.579.766.223 ; 2.682 ; 10.314.000.623 ;;;;
11;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 545 ; 2.846.142.459 ; 501 ; 2.095.534.841 ; 1.046 ; 4.941.677.300 ; 35 ; 978.771.335 ; 78 ; 1.439.018.473 ; 113 ; 2.417.789.808 ; 1.159 ; 7.359.467.108 ;;;;
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 22 ; 251.604.291 ; 229 ; 14.748.681 ; 168 ; 1.128.317.513 ; 346 ; 814.742.666 ; 765 ; 2.209.413.151 ; 142 ; 990.745.524 ; 194 ; 2.751.198.724 ; 336 ; 3.741.944.248 ; 1.101 ; 5.951.357.399 ;;;;
