Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Fev/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.640 ; 2.937.213.710 ; 35.358 ; 3.756.057.982 ; 29.845 ; 6.547.165.443 ; 54.750 ; 10.252.528.802 ; 126.593 ; 23.492.965.937 ; 1.201 ; 12.843.868.262 ; 979 ; 10.643.610.271 ; 2.180 ; 23.487.478.533 ; 128.773 ; 46.980.444.470 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 12.505 ; 2.609.376.695 ; 33.640 ; 3.393.187.045 ; 86.080 ; 5.244.283.770 ; 62.507 ; 9.126.194.992 ; 194.732 ; 20.373.042.502 ; 407 ; 14.503.649.016 ; 361 ; 11.332.543.097 ; 768 ; 25.836.192.114 ; 195.500 ; 46.209.234.616 ;;;;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 4.434 ; 1.887.463.996 ; 18.706 ; 2.719.044.202 ; 21.079 ; 8.241.792.747 ; 44.934 ; 6.502.631.947 ; 89.153 ; 19.350.932.893 ; 861 ; 10.917.915.300 ; 872 ; 10.833.948.613 ; 1.733 ; 21.751.863.913 ; 90.886 ; 41.102.796.806 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 337 ; 1.104.815.367 ; 5.719 ; 1.570.178.523 ; 1.647 ; 16.156.252.732 ; 3.103 ; 8.537.361.916 ; 10.806 ; 27.368.608.538 ; 580 ; 5.273.306.194 ; 701 ; 7.987.484.880 ; 1.281 ; 13.260.791.074 ; 12.087 ; 40.629.399.612 ;;;;
5;33.479.023;BANCO CITIBANK S.A.; 2.846 ; 1.611.630.791 ; 11.148 ; 2.720.274.161 ; 16.648 ; 11.486.656.841 ; 28.887 ; 11.278.527.057 ; 59.529 ; 27.097.088.850 ; 589 ; 5.665.280.065 ; 567 ; 4.140.451.784 ; 1.156 ; 9.805.731.849 ; 60.685 ; 36.902.820.700 ;;;;
6;60.746.948;BANCO BRADESCO S.A.; 9.502 ; 3.990.622.518 ; 20.815 ; 2.605.821.221 ; 42.522 ; 8.864.159.217 ; 36.478 ; 9.153.412.571 ; 109.317 ; 24.614.015.527 ; 948 ; 1.920.377.092 ; 1.040 ; 3.238.921.588 ; 1.988 ; 5.159.298.681 ; 111.305 ; 29.773.314.208 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 15.876 ; 7.548.832.366 ; 31.854 ; 5.574.406.599 ; 37.881 ; 3.016.851.911 ; 47.920 ; 5.411.878.830 ; 133.531 ; 21.551.969.707 ; 487 ; 3.267.609.349 ; 460 ; 2.613.680.394 ; 947 ; 5.881.289.743 ; 134.478 ; 27.433.259.450 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 36 ; 301.846.032 ; 90 ; 49.448.212 ; 922 ; 2.039.618.588 ; 1.044 ; 3.127.362.670 ; 2.092 ; 5.518.275.503 ; 327 ; 10.899.215.192 ; 319 ; 9.301.430.752 ; 646 ; 20.200.645.944 ; 2.738 ; 25.718.921.447 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 477 ; 1.114.327.570 ; 1.969 ; 843.673.051 ; 1.150 ; 3.599.492.156 ; 2.654 ; 1.727.878.048 ; 6.250 ; 7.285.370.824 ; 502 ; 4.111.427.787 ; 488 ; 5.585.328.809 ; 990 ; 9.696.756.595 ; 7.240 ; 16.982.127.420 ;;;;
