Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em fevereiro / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;60.701.190;ITAÚ UNIBANCO S.A.; 6.412 ; 1.215.754.934 ; 14.700 ; 1.500.135.828 ; 42.995 ; 2.556.035.696 ; 27.924 ; 4.173.704.623 ; 92.031 ; 9.445.631.081 ; 203 ; 7.713.153.897 ; 182 ; 5.991.355.338 ; 385 ; 13.704.509.235 ; 92.416 ; 23.150.140.316 ;;;;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.216 ; 1.213.569.114 ; 15.302 ; 1.551.834.614 ; 15.453 ; 2.870.355.285 ; 23.605 ; 3.433.381.956 ; 57.576 ; 9.069.140.969 ; 534 ; 6.024.793.011 ; 473 ; 5.909.438.541 ; 1.007 ; 11.934.231.552 ; 58.583 ; 21.003.372.521 ;;;;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.149 ; 1.048.295.219 ; 8.471 ; 1.376.158.770 ; 10.563 ; 3.479.795.289 ; 19.871 ; 3.309.238.763 ; 41.054 ; 9.213.488.041 ; 440 ; 4.683.230.375 ; 415 ; 3.651.910.453 ; 855 ; 8.335.140.828 ; 41.909 ; 17.548.628.869 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 220 ; 746.466.353 ; 2.545 ; 782.492.307 ; 777 ; 5.355.002.160 ; 1.605 ; 5.009.490.755 ; 5.147 ; 11.893.451.575 ; 304 ; 2.210.022.991 ; 329 ; 2.580.016.140 ; 633 ; 4.790.039.131 ; 5.780 ; 16.683.490.706 ;;;;
5;33.479.023;BANCO CITIBANK S.A.; 1.407 ; 612.997.774 ; 4.732 ; 1.184.954.184 ; 8.033 ; 5.239.836.059 ; 12.143 ; 4.775.233.407 ; 26.315 ; 11.813.021.423 ; 275 ; 2.261.886.896 ; 281 ; 2.375.600.766 ; 556 ; 4.637.487.662 ; 26.871 ; 16.450.509.085 ;;;;
6;60.746.948;BANCO BRADESCO S.A.; 4.516 ; 1.550.760.078 ; 8.785 ; 1.061.843.834 ; 20.833 ; 4.426.304.106 ; 15.130 ; 4.571.444.134 ; 49.264 ; 11.610.352.151 ; 411 ; 735.851.024 ; 456 ; 1.142.082.578 ; 867 ; 1.877.933.602 ; 50.131 ; 13.488.285.753 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 7.987 ; 3.230.374.691 ; 12.960 ; 2.145.683.475 ; 17.027 ; 1.598.689.231 ; 20.650 ; 2.406.745.480 ; 58.624 ; 9.381.492.877 ; 183 ; 628.356.363 ; 187 ; 1.600.877.476 ; 370 ; 2.229.233.839 ; 58.994 ; 11.610.726.716 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 13 ; 109.826.519 ; 33 ; 40.556.354 ; 468 ; 1.129.285.758 ; 548 ; 1.694.297.124 ; 1.062 ; 2.973.965.755 ; 134 ; 4.603.386.877 ; 117 ; 3.941.013.052 ; 251 ; 8.544.399.929 ; 1.313 ; 11.518.365.684 ;;;;
9;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 228 ; 493.809.372 ; 735 ; 445.118.953 ; 327 ; 591.494.968 ; 891 ; 1.115.736.761 ; 2.181 ; 2.646.160.055 ; 86 ; 1.385.516.314 ; 82 ; 1.128.877.901 ; 168 ; 2.514.394.215 ; 2.349 ; 5.160.554.270 ;;;;
