Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Mar/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 10.495 ; 4.068.448.642 ; 54.367 ; 5.640.912.948 ; 46.557 ; 14.768.267.202 ; 84.999 ; 18.198.738.671 ; 196.418 ; 42.676.367.463 ; 1.916 ; 23.441.220.335 ; 1.601 ; 19.234.027.182 ; 3.517 ; 42.675.247.517 ; 199.935 ; 85.351.614.980 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 19.890 ; 4.198.353.731 ; 52.618 ; 5.396.628.535 ; 135.622 ; 12.077.367.680 ; 97.365 ; 14.319.144.561 ; 305.495 ; 35.991.494.506 ; 635 ; 20.491.019.049 ; 570 ; 16.355.969.833 ; 1.205 ; 36.846.988.883 ; 306.700 ; 72.838.483.389 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 4.416 ; 2.212.453.999 ; 17.259 ; 3.979.568.842 ; 26.295 ; 22.206.717.056 ; 44.278 ; 20.932.507.273 ; 92.248 ; 49.331.247.171 ; 970 ; 8.584.974.315 ; 970 ; 7.861.584.290 ; 1.940 ; 16.446.558.605 ; 94.188 ; 65.777.805.776 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 6.880 ; 2.937.156.121 ; 29.311 ; 4.093.928.621 ; 33.027 ; 12.240.549.971 ; 68.242 ; 9.882.581.755 ; 137.460 ; 29.154.216.468 ; 1.233 ; 16.443.111.441 ; 1.261 ; 16.897.392.091 ; 2.494 ; 33.340.503.531 ; 139.954 ; 62.494.719.999 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 495 ; 1.452.363.106 ; 8.220 ; 2.471.480.670 ; 2.551 ; 20.496.049.934 ; 4.957 ; 13.201.119.412 ; 16.223 ; 37.621.013.121 ; 786 ; 6.830.103.856 ; 977 ; 10.552.791.371 ; 1.763 ; 17.382.895.227 ; 17.986 ; 55.003.908.348 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 25.263 ; 11.433.054.945 ; 46.252 ; 8.042.407.778 ; 61.370 ; 10.359.129.830 ; 74.663 ; 13.486.644.148 ; 207.548 ; 43.321.236.701 ; 729 ; 4.111.536.989 ; 698 ; 4.088.236.017 ; 1.427 ; 8.199.773.006 ; 208.975 ; 51.521.009.707 ;;;;
7;60.746.948;BANCO BRADESCO S.A.; 15.132 ; 6.477.728.193 ; 31.661 ; 4.253.719.986 ; 65.963 ; 13.146.965.992 ; 54.209 ; 13.856.903.702 ; 166.965 ; 37.735.317.872 ; 1.474 ; 2.985.271.876 ; 1.619 ; 4.726.298.047 ; 3.093 ; 7.711.569.922 ; 170.058 ; 45.446.887.795 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 70 ; 552.588.313 ; 124 ; 189.277.631 ; 1.504 ; 3.131.647.742 ; 1.738 ; 4.424.962.368 ; 3.436 ; 8.298.476.055 ; 463 ; 15.040.747.797 ; 428 ; 12.409.457.681 ; 891 ; 27.450.205.478 ; 4.327 ; 35.748.681.533 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 783 ; 1.650.739.531 ; 3.135 ; 1.384.271.189 ; 1.864 ; 5.062.465.296 ; 4.063 ; 3.811.339.291 ; 9.845 ; 11.908.815.306 ; 755 ; 7.201.674.471 ; 758 ; 8.922.118.592 ; 1.513 ; 16.123.793.063 ; 11.358 ; 28.032.608.369 ;;;;
