Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em MARÇO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.855 ; 1.131.234.932 ; 19.010 ; 1.884.860.912 ; 16.722 ; 8.221.316.146 ; 30.258 ; 7.946.272.235 ; 69.845 ; 19.183.684.225 ; 715 ; 10.597.352.073 ; 622 ; 8.590.416.911 ; 1.337 ; 19.187.768.984 ; 71.182 ; 38.371.453.209 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.570 ; 600.823.208 ; 6.111 ; 1.259.294.684 ; 9.650 ; 10.720.950.718 ; 15.392 ; 9.654.165.843 ; 32.723 ; 22.235.234.453 ; 381 ; 2.919.694.250 ; 403 ; 3.721.132.506 ; 784 ; 6.640.826.756 ; 33.507 ; 28.876.061.209 ;;;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 7.386 ; 1.588.980.084 ; 18.980 ; 2.003.474.080 ; 49.542 ; 6.833.086.182 ; 34.854 ; 5.192.917.552 ; 110.762 ; 15.618.457.898 ; 228 ; 5.987.370.033 ; 209 ; 5.023.426.736 ; 437 ; 11.010.796.769 ; 111.199 ; 26.629.254.667 ;;;;
4;00.000.000;BANCO DO BRASIL S.A.; 9.389 ; 3.884.243.095 ; 14.403 ; 2.468.803.064 ; 23.496 ; 7.346.149.341 ; 26.753 ; 8.078.456.517 ; 74.041 ; 21.777.652.018 ; 242 ; 843.927.640 ; 238 ; 1.474.555.623 ; 480 ; 2.318.483.263 ; 74.521 ; 24.096.135.281 ;;;;
5;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.446 ; 1.049.692.125 ; 10.605 ; 1.374.946.029 ; 11.948 ; 3.998.757.224 ; 23.309 ; 3.379.950.898 ; 48.308 ; 9.803.346.275 ; 372 ; 5.525.196.140 ; 389 ; 6.063.443.478 ; 761 ; 11.588.639.618 ; 49.069 ; 21.391.985.893 ;;;;
6;60.746.948;BANCO BRADESCO S.A.; 5.629 ; 2.487.102.675 ; 10.848 ; 1.647.907.674 ; 23.439 ; 4.282.808.190 ; 17.729 ; 4.703.482.223 ; 57.645 ; 13.121.300.761 ; 526 ; 1.064.894.783 ; 579 ; 1.487.376.459 ; 1.105 ; 2.552.271.242 ; 58.750 ; 15.673.572.003 ;;;;
7;33.172.537;BANCO J.P. MORGAN S.A.; 158 ; 347.547.739 ; 2.501 ; 901.302.147 ; 904 ; 4.339.797.202 ; 1.854 ; 4.663.757.496 ; 5.417 ; 10.252.404.584 ; 206 ; 1.556.797.662 ; 276 ; 2.565.306.491 ; 482 ; 4.122.104.153 ; 5.899 ; 14.374.508.737 ;;;;
8;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 18 ; 54.141.201 ; 100 ; 11.952.940 ; 193 ; 1.324.041.296 ; 348 ; 1.213.745.458 ; 659 ; 2.603.880.895 ; 156 ; 5.920.743.479 ; 146 ; 5.040.045.682 ; 302 ; 10.960.789.161 ; 961 ; 13.564.670.056 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 306 ; 536.411.961 ; 1.166 ; 540.598.138 ; 714 ; 1.462.973.140 ; 1.410 ; 2.083.461.427 ; 3.596 ; 4.623.444.665 ; 253 ; 3.090.246.684 ; 270 ; 3.336.789.784 ; 523 ; 6.427.036.468 ; 4.119 ; 11.050.481.133 ;;;;
