Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Abr/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 13.928 ; 5.767.301.691 ; 74.131 ; 7.459.548.179 ; 63.624 ; 22.017.557.839 ; 117.610 ; 21.781.927.012 ; 269.293 ; 57.026.334.721 ; 2.610 ; 36.952.112.052 ; 2.261 ; 34.667.316.683 ; 4.871 ; 71.619.428.735 ; 274.164 ; 128.645.763.456 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 26.289 ; 5.586.409.213 ; 71.568 ; 6.998.675.776 ; 180.955 ; 15.063.498.775 ; 131.978 ; 17.248.363.840 ; 410.790 ; 44.896.947.605 ; 881 ; 28.232.096.970 ; 759 ; 21.826.467.435 ; 1.640 ; 50.058.564.404 ; 412.430 ; 94.955.512.009 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 5.852 ; 2.952.364.492 ; 23.867 ; 5.414.426.933 ; 34.786 ; 30.827.137.094 ; 61.554 ; 26.819.215.060 ; 126.059 ; 66.013.143.579 ; 1.243 ; 10.070.520.118 ; 1.261 ; 10.266.436.182 ; 2.504 ; 20.336.956.299 ; 128.563 ; 86.350.099.878 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 9.257 ; 3.977.561.070 ; 39.862 ; 5.427.942.068 ; 43.210 ; 16.599.835.502 ; 91.717 ; 14.088.329.370 ; 184.046 ; 40.093.668.010 ; 1.568 ; 22.481.203.351 ; 1.551 ; 20.532.488.678 ; 3.119 ; 43.013.692.028 ; 187.165 ; 83.107.360.038 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 817 ; 2.184.264.279 ; 11.280 ; 3.454.724.409 ; 3.466 ; 25.385.156.507 ; 6.847 ; 16.843.438.169 ; 22.410 ; 47.867.583.363 ; 1.033 ; 9.599.490.448 ; 1.278 ; 12.407.205.955 ; 2.311 ; 22.006.696.403 ; 24.721 ; 69.874.279.766 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 33.330 ; 15.722.484.750 ; 60.701 ; 10.640.100.340 ; 80.363 ; 12.423.892.361 ; 100.598 ; 16.377.425.548 ; 274.992 ; 55.163.902.998 ; 978 ; 4.874.181.351 ; 932 ; 5.873.127.994 ; 1.910 ; 10.747.309.345 ; 276.902 ; 65.911.212.343 ;;;;
7;60.746.948;BANCO BRADESCO S.A.; 20.082 ; 9.592.386.869 ; 43.230 ; 6.366.314.967 ; 89.027 ; 17.644.574.406 ; 73.402 ; 18.239.369.760 ; 225.741 ; 51.842.646.001 ; 1.984 ; 4.864.466.568 ; 2.163 ; 6.555.470.650 ; 4.147 ; 11.419.937.217 ; 229.888 ; 63.262.583.218 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 92 ; 836.797.178 ; 153 ; 206.057.689 ; 1.901 ; 4.393.021.859 ; 2.394 ; 5.675.890.284 ; 4.540 ; 11.111.767.010 ; 598 ; 18.623.862.029 ; 552 ; 15.192.923.318 ; 1.150 ; 33.816.785.347 ; 5.690 ; 44.928.552.357 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.047 ; 2.284.565.916 ; 4.078 ; 1.658.173.034 ; 2.467 ; 5.836.261.273 ; 5.769 ; 5.059.739.587 ; 13.361 ; 14.838.739.810 ; 1.011 ; 10.094.390.854 ; 1.001 ; 10.693.863.999 ; 2.012 ; 20.788.254.853 ; 15.373 ; 35.626.994.663 ;;;;
10;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 797 ; 2.077.824.624 ; 3.793 ; 2.365.975.621 ; 1.484 ; 4.234.246.270 ; 4.016 ; 5.232.125.512 ; 10.090 ; 13.910.172.026 ; 573 ; 10.058.301.689 ; 529 ; 8.151.754.268 ; 1.102 ; 18.210.055.957 ; 11.192 ; 32.120.227.983 ;;;;
11;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 68 ; 537.226.881 ; 642 ; 53.760.636 ; 704 ; 5.193.065.715 ; 1.185 ; 4.222.596.909 ; 2.599 ; 10.006.650.141 ; 544 ; 9.752.589.205 ; 621 ; 11.402.111.638 ; 1.165 ; 21.154.700.843 ; 3.764 ; 31.161.350.984 ;;;;
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 266 ; 1.127.173.378 ; 847 ; 221.520.351 ; 770 ; 8.162.746.185 ; 1.025 ; 4.909.557.878 ; 2.908 ; 14.420.997.792 ; 100 ; 2.672.724.313 ; 163 ; 6.623.953.382 ; 263 ; 9.296.677.695 ; 3.171 ; 23.717.675.487 ;;;;
13;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 2.210 ; 7.853.647.268 ; 2.105 ; 5.773.078.543 ; 4.315 ; 13.626.725.811 ; 107 ; 2.912.625.766 ; 207 ; 4.677.378.073 ; 314 ; 7.590.003.838 ; 4.629 ; 21.216.729.649 ;;;;
14;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 21 ; 15.472.067 ; 2 ; 1.432.560 ; 1.535 ; 3.261.898.843 ; 1.588 ; 2.882.400.615 ; 3.146 ; 6.161.204.085 ; 204 ; 5.839.338.479 ; 281 ; 6.394.945.216 ; 485 ; 12.234.283.696 ; 3.631 ; 18.395.487.781 ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 497 ; 931.587.302 ; 4.878 ; 1.251.430.943 ; 926 ; 1.756.329.951 ; 4.212 ; 2.426.887.034 ; 10.513 ; 6.366.235.230 ; 564 ; 3.938.292.688 ; 2.103 ; 2.822.862.097 ; 2.667 ; 6.761.154.785 ; 13.180 ; 13.127.390.014 ;;;;
16;61.146.577;BANCO BARCLAYS S.A.;;; 13 ; 432.379 ; 459 ; 2.810.150.227 ; 510 ; 2.289.548.643 ; 982 ; 5.100.131.249 ; 531 ; 3.530.858.497 ; 751 ; 4.020.071.071 ; 1.282 ; 7.550.929.568 ; 2.264 ; 12.651.060.817 ;;;;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 563 ; 261.101.376 ; 2.154 ; 425.927.220 ; 2.065 ; 1.931.795.912 ; 1.967 ; 727.983.736 ; 6.749 ; 3.346.808.244 ; 1.183 ; 3.435.585.228 ; 1.210 ; 4.481.205.541 ; 2.393 ; 7.916.790.770 ; 9.142 ; 11.263.599.014 ;;;;
