Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em ABRIL / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.433 ; 1.698.853.049 ; 19.770 ; 1.819.065.944 ; 17.298 ; 7.250.488.757 ; 32.615 ; 3.583.247.857 ; 73.116 ; 14.351.655.607 ; 694 ; 13.510.891.717 ; 660 ; 15.433.289.500 ; 1.354 ; 28.944.181.218 ; 74.470 ; 43.295.836.824 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 6.400 ; 1.388.124.955 ; 18.957 ; 1.604.434.043 ; 45.337 ; 2.986.326.324 ; 34.608 ; 2.929.184.331 ; 105.302 ; 8.908.069.653 ; 246 ; 7.741.077.921 ; 189 ; 5.470.497.601 ; 435 ; 13.211.575.522 ; 105.737 ; 22.119.645.175 ;;;;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.375 ; 1.040.048.549 ; 10.551 ; 1.334.013.448 ; 10.186 ; 4.479.641.930 ; 23.475 ; 4.205.748.457 ; 46.587 ; 11.059.452.383 ; 335 ; 6.038.091.910 ; 290 ; 3.635.096.587 ; 625 ; 9.673.188.497 ; 47.212 ; 20.732.640.880 ;;;;
4;33.479.023;BANCO CITIBANK S.A.; 1.436 ; 739.910.493 ; 6.608 ; 1.434.860.769 ; 8.491 ; 8.620.420.038 ; 17.276 ; 5.886.707.787 ; 33.811 ; 16.681.899.086 ; 273 ; 1.485.545.802 ; 291 ; 2.404.851.891 ; 564 ; 3.890.397.694 ; 34.375 ; 20.572.296.780 ;;;;
5;60.746.948;BANCO BRADESCO S.A.; 4.950 ; 3.114.658.676 ; 11.570 ; 2.112.416.608 ; 23.065 ; 4.497.608.756 ; 19.194 ; 4.382.646.495 ; 58.779 ; 14.107.330.534 ; 510 ; 1.879.194.692 ; 544 ; 1.829.172.603 ; 1.054 ; 3.708.367.295 ; 59.833 ; 17.815.697.829 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 322 ; 731.901.173 ; 3.060 ; 983.264.022 ; 915 ; 4.889.106.573 ; 1.890 ; 3.642.318.927 ; 6.187 ; 10.246.590.695 ; 247 ; 2.769.386.592 ; 301 ; 1.854.414.584 ; 548 ; 4.623.801.176 ; 6.735 ; 14.870.391.871 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 8.070 ; 4.289.451.223 ; 14.449 ; 2.597.692.561 ; 18.991 ; 2.063.949.592 ; 25.932 ; 2.890.685.093 ; 67.442 ; 11.841.778.469 ; 249 ; 762.644.362 ; 234 ; 1.784.891.977 ; 483 ; 2.547.536.339 ; 67.925 ; 14.389.314.808 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 22 ; 284.208.865 ; 29 ; 16.780.057 ; 396 ; 1.257.362.389 ; 655 ; 1.246.916.188 ; 1.102 ; 2.805.267.500 ; 135 ; 3.583.114.232 ; 124 ; 2.783.465.636 ; 259 ; 6.366.579.869 ; 1.361 ; 9.171.847.368 ;;;;
9;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 17 ; 154.530.259 ; 199 ; 18.114.827 ; 205 ; 1.967.704.715 ; 262 ; 1.449.538.531 ; 683 ; 3.589.888.333 ; 88 ; 1.829.862.054 ; 117 ; 2.513.801.649 ; 205 ; 4.343.663.702 ; 888 ; 7.933.552.035 ;;;;
10;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 167 ; 632.266.263 ; 1.038 ; 592.319.344 ; 390 ; 1.251.351.217 ; 839 ; 1.108.319.347 ; 2.434 ; 3.584.256.170 ; 135 ; 2.180.699.735 ; 126 ; 2.092.755.946 ; 261 ; 4.273.455.682 ; 2.695 ; 7.857.711.852 ;;;;
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 264 ; 633.826.385 ; 943 ; 273.901.845 ; 603 ; 773.795.977 ; 1.706 ; 1.248.400.296 ; 3.516 ; 2.929.924.504 ; 256 ; 2.892.716.383 ; 243 ; 1.771.745.407 ; 499 ; 4.664.461.790 ; 4.015 ; 7.594.386.294 ;;;;
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 80 ; 687.794.349 ; 161 ; 48.731.948 ; 224 ; 2.935.564.648 ; 227 ; 758.627.733 ; 692 ; 4.430.718.678 ; 9 ; 104.670.903 ; 50 ; 2.584.515.171 ; 59 ; 2.689.186.073 ; 751 ; 7.119.904.751 ;;;;
13;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 551 ; 1.709.953.701 ; 435 ; 1.434.003.095 ; 986 ; 3.143.956.796 ; 31 ; 806.635.759 ; 43 ; 1.030.408.699 ; 74 ; 1.837.044.458 ; 1.060 ; 4.981.001.253 ;;;;
14;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 3.122.479 ; 1 ; 14.400 ; 402 ; 536.815.261 ; 457 ; 399.776.290 ; 863 ; 939.728.430 ; 42 ; 1.188.293.273 ; 67 ; 1.437.291.596 ; 109 ; 2.625.584.869 ; 972 ; 3.565.313.299 ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 111 ; 225.352.319 ; 1.557 ; 382.935.938 ; 238 ; 470.730.078 ; 958 ; 575.083.369 ; 2.864 ; 1.654.101.703 ; 177 ; 1.030.709.362 ; 531 ; 668.406.218 ; 708 ; 1.699.115.580 ; 3.572 ; 3.353.217.283 ;;;;
