Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em MAIO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.831 ; 1.396.793.120 ; 16.811 ; 1.505.407.432 ; 14.390 ; 3.235.187.227 ; 27.066 ; 6.158.126.159 ; 62.098 ; 12.295.513.938 ; 718 ; 16.811.585.998 ; 629 ; 14.131.098.282 ; 1.347 ; 30.942.684.280 ; 63.445 ; 43.238.198.218 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.611 ; 668.361.716 ; 6.327 ; 1.789.562.357 ; 8.454 ; 5.740.624.802 ; 14.458 ; 6.064.184.792 ; 30.850 ; 14.262.733.666 ; 392 ; 3.853.059.442 ; 360 ; 2.335.094.157 ; 752 ; 6.188.153.599 ; 31.602 ; 20.450.887.265 ;;;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 7.113 ; 1.270.482.499 ; 16.641 ; 1.661.011.399 ; 44.799 ; 2.735.806.772 ; 30.584 ; 3.364.332.076 ; 99.137 ; 9.031.632.746 ; 229 ; 5.857.019.546 ; 190 ; 4.823.777.484 ; 419 ; 10.680.797.030 ; 99.556 ; 19.712.429.776 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.443 ; 1.094.843.781 ; 9.384 ; 1.413.271.186 ; 10.179 ; 4.164.787.057 ; 19.332 ; 5.429.960.011 ; 41.338 ; 12.102.862.035 ; 269 ; 3.946.922.725 ; 265 ; 3.576.220.990 ; 534 ; 7.523.143.715 ; 41.872 ; 19.626.005.750 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 155 ; 455.496.873 ; 2.428 ; 612.047.303 ; 850 ; 5.029.767.988 ; 1.599 ; 4.678.354.480 ; 5.032 ; 10.775.666.643 ; 189 ; 814.570.107 ; 285 ; 2.494.845.626 ; 474 ; 3.309.415.733 ; 5.506 ; 14.085.082.376 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 9.190 ; 4.529.614.935 ; 12.642 ; 2.303.641.374 ; 21.173 ; 1.381.211.081 ; 24.496 ; 2.032.676.653 ; 67.501 ; 10.247.144.044 ; 302 ; 738.415.667 ; 283 ; 2.244.220.607 ; 585 ; 2.982.636.274 ; 68.086 ; 13.229.780.318 ;;;;
7;60.746.948;BANCO BRADESCO S.A.; 5.539 ; 2.818.279.582 ; 9.899 ; 2.056.870.737 ; 21.291 ; 2.563.904.175 ; 15.973 ; 2.568.553.802 ; 52.702 ; 10.007.608.296 ; 566 ; 1.341.896.472 ; 535 ; 1.592.958.559 ; 1.101 ; 2.934.855.031 ; 53.803 ; 12.942.463.327 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 32 ; 301.673.948 ; 89 ; 45.254.682 ; 554 ; 1.918.425.162 ; 632 ; 1.413.255.652 ; 1.307 ; 3.678.609.443 ; 121 ; 4.055.914.242 ; 133 ; 4.775.952.208 ; 254 ; 8.831.866.449 ; 1.561 ; 12.510.475.893 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 297 ; 676.323.672 ; 962 ; 248.706.083 ; 614 ; 2.957.228.166 ; 1.505 ; 3.171.816.728 ; 3.378 ; 7.054.074.649 ; 270 ; 2.906.638.935 ; 254 ; 2.397.363.989 ; 524 ; 5.304.002.924 ; 3.902 ; 12.358.077.573 ;;;;
