Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Jun/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 21.785 ; 9.686.462.273 ; 110.025 ; 10.918.078.647 ; 95.418 ; 28.857.046.157 ; 175.519 ; 32.796.913.862 ; 402.747 ; 82.258.500.938 ; 3.876 ; 58.294.436.191 ; 3.386 ; 53.113.609.560 ; 7.262 ; 111.408.045.751 ; 410.009 ; 193.666.546.689 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 40.799 ; 8.064.542.398 ; 106.808 ; 10.361.050.355 ; 272.351 ; 21.502.801.854 ; 196.730 ; 25.943.542.643 ; 616.688 ; 65.871.937.249 ; 1.338 ; 39.757.010.070 ; 1.194 ; 32.569.708.172 ; 2.532 ; 72.326.718.242 ; 619.220 ; 138.198.655.492 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 9.060 ; 4.639.977.050 ; 36.819 ; 8.753.366.212 ; 52.163 ; 43.909.698.795 ; 92.631 ; 41.048.404.653 ; 190.673 ; 98.351.446.709 ; 2.022 ; 17.621.089.946 ; 1.986 ; 15.227.391.635 ; 4.008 ; 32.848.481.581 ; 194.681 ; 131.199.928.290 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 14.101 ; 6.083.223.551 ; 58.714 ; 8.055.840.509 ; 64.812 ; 25.534.002.729 ; 134.923 ; 23.974.117.953 ; 272.550 ; 63.647.184.743 ; 2.119 ; 31.529.097.162 ; 2.119 ; 29.711.416.340 ; 4.238 ; 61.240.513.502 ; 276.788 ; 124.887.698.245 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 51.458 ; 24.482.682.781 ; 88.049 ; 15.618.972.060 ; 122.967 ; 22.296.817.255 ; 151.379 ; 27.436.271.245 ; 413.853 ; 89.834.743.343 ; 1.622 ; 6.828.861.047 ; 1.547 ; 9.878.388.163 ; 3.169 ; 16.707.249.210 ; 417.022 ; 106.541.992.553 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 1.157 ; 3.030.555.522 ; 16.325 ; 4.846.483.397 ; 5.248 ; 34.653.346.641 ; 10.111 ; 25.836.619.216 ; 32.841 ; 68.367.004.776 ; 1.463 ; 12.520.602.568 ; 1.872 ; 17.499.725.259 ; 3.335 ; 30.020.327.827 ; 36.176 ; 98.387.332.603 ;;;;
7;60.746.948;BANCO BRADESCO S.A.; 30.777 ; 15.117.018.424 ; 63.571 ; 10.285.510.365 ; 133.315 ; 21.968.521.053 ; 108.092 ; 22.789.795.928 ; 335.755 ; 70.160.845.769 ; 3.297 ; 7.680.353.169 ; 3.461 ; 9.947.105.095 ; 6.758 ; 17.627.458.263 ; 342.513 ; 87.788.304.032 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 158 ; 1.297.718.803 ; 279 ; 309.503.487 ; 2.900 ; 7.189.263.105 ; 3.566 ; 8.053.799.979 ; 6.903 ; 16.850.285.374 ; 831 ; 26.654.228.057 ; 809 ; 24.380.454.536 ; 1.640 ; 51.034.682.593 ; 8.543 ; 67.884.967.967 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.641 ; 3.449.094.753 ; 6.103 ; 2.194.623.443 ; 3.702 ; 10.041.767.456 ; 8.724 ; 9.197.042.092 ; 20.170 ; 24.882.527.743 ; 1.536 ; 15.011.207.518 ; 1.514 ; 16.177.456.142 ; 3.050 ; 31.188.663.660 ; 23.220 ; 56.071.191.403 ;;;;
10;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 98 ; 675.233.035 ; 755 ; 69.901.740 ; 1.065 ; 6.195.916.027 ; 1.629 ; 5.188.738.748 ; 3.547 ; 12.129.789.549 ; 758 ; 19.895.023.568 ; 863 ; 21.714.650.494 ; 1.621 ; 41.609.674.061 ; 5.168 ; 53.739.463.611 ;;;;
11;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.167 ; 2.922.062.165 ; 5.842 ; 2.997.041.978 ; 2.251 ; 5.805.617.076 ; 6.876 ; 7.387.321.781 ; 16.136 ; 19.112.042.999 ; 895 ; 14.801.388.804 ; 824 ; 12.699.424.757 ; 1.719 ; 27.500.813.561 ; 17.855 ; 46.612.856.560 ;;;;
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 424 ; 2.361.364.157 ; 1.166 ; 347.021.399 ; 1.187 ; 11.484.419.235 ; 1.650 ; 9.206.941.859 ; 4.427 ; 23.399.746.650 ; 150 ; 4.705.653.441 ; 220 ; 8.671.364.821 ; 370 ; 13.377.018.261 ; 4.797 ; 36.776.764.911 ;;;;
13;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 26 ; 41.223.722 ; 2 ; 1.432.560 ; 2.157 ; 4.958.100.128 ; 2.314 ; 5.734.791.466 ; 4.499 ; 10.735.547.876 ; 617 ; 11.292.873.722 ; 707 ; 10.956.241.321 ; 1.324 ; 22.249.115.043 ; 5.823 ; 32.984.662.919 ;;;;
14;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 3.157 ; 10.494.522.102 ; 2.910 ; 7.976.435.510 ; 6.067 ; 18.470.957.612 ; 153 ; 4.260.230.383 ; 283 ; 6.604.232.816 ; 436 ; 10.864.463.199 ; 6.503 ; 29.335.420.811 ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 780 ; 2.090.609.319 ; 8.149 ; 2.043.309.703 ; 1.419 ; 2.796.916.938 ; 7.086 ; 4.251.649.235 ; 17.434 ; 11.182.485.195 ; 916 ; 6.323.021.193 ; 2.871 ; 4.880.703.852 ; 3.787 ; 11.203.725.045 ; 21.221 ; 22.386.210.240 ;;;;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 878 ; 388.357.456 ; 3.246 ; 610.131.224 ; 2.949 ; 2.779.777.982 ; 2.984 ; 1.135.353.273 ; 10.057 ; 4.913.619.935 ; 1.866 ; 5.191.728.310 ; 1.843 ; 6.622.851.865 ; 3.709 ; 11.814.580.175 ; 13.766 ; 16.728.200.109 ;;;;
17;61.146.577;BANCO BARCLAYS S.A.;;; 29 ; 14.722.126 ; 662 ; 3.366.907.243 ; 726 ; 3.291.584.404 ; 1.417 ; 6.673.213.773 ; 809 ; 4.728.979.367 ; 1.156 ; 4.810.771.399 ; 1.965 ; 9.539.750.766 ; 3.382 ; 16.212.964.539 ;;;;
18;61.820.817;BANCO PAULISTA S.A.; 373 ; 290.324.370 ; 2.201 ; 196.306.912 ; 3.801 ; 642.565.173 ; 10.691 ; 863.857.269 ; 17.066 ; 1.993.053.725 ; 6.541 ; 6.357.333.061 ; 46.245 ; 6.190.193.201 ; 52.786 ; 12.547.526.262 ; 69.852 ; 14.540.579.987 ;;;;
19;58.160.789;BANCO SAFRA S.A.; 1.190 ; 518.932.266 ; 7.784 ; 872.282.816 ; 4.778 ; 1.908.430.068 ; 14.733 ; 1.707.247.125 ; 28.485 ; 5.006.892.275 ; 671 ; 4.433.117.971 ; 611 ; 4.173.060.882 ; 1.282 ; 8.606.178.852 ; 29.767 ; 13.613.071.127 ;;;;
20;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.167 ; 4.107.331.660 ; 895 ; 3.793.348.343 ; 2.062 ; 7.900.680.003 ; 34 ; 1.281.122.130 ; 54 ; 1.701.755.884 ; 88 ; 2.982.878.014 ; 2.150 ; 10.883.558.017 ;;;;
21;00.360.305;CAIXA ECONOMICA FEDERAL; 1.282 ; 802.116.031 ; 1.111 ; 56.244.198 ; 28.771 ; 3.531.865.609 ; 12.656 ; 2.737.583.777 ; 43.820 ; 7.127.809.615 ; 583 ; 899.008.041 ; 677 ; 2.438.561.725 ; 1.260 ; 3.337.569.767 ; 45.080 ; 10.465.379.381 ;;;;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 105 ; 611.509.844 ; 191 ; 215.893.935 ; 163 ; 122.365.277 ; 277 ; 242.612.624 ; 736 ; 1.192.381.681 ; 669 ; 4.227.215.547 ; 937 ; 4.595.647.249 ; 1.606 ; 8.822.862.796 ; 2.342 ; 10.015.244.476 ;;;;
23;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 243 ; 56.554.551 ; 1.928 ; 113.565.104 ; 1.116 ; 307.696.520 ; 5.548 ; 420.823.820 ; 8.835 ; 898.639.995 ; 7.738 ; 4.018.856.397 ; 55.309 ; 3.869.192.647 ; 63.047 ; 7.888.049.044 ; 71.882 ; 8.786.689.039 ;;;;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 318 ; 1.306.224.551 ; 90 ; 104.381.565 ; 385 ; 931.687.944 ; 1.156 ; 1.149.133.941 ; 1.949 ; 3.491.428.001 ; 73 ; 846.938.510 ; 106 ; 1.788.788.242 ; 179 ; 2.635.726.751 ; 2.128 ; 6.127.154.752 ;;;;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 707 ; 359.543.642 ; 2.490 ; 724.790.932 ; 1.946 ; 1.486.705.053 ; 2.763 ; 623.771.507 ; 7.906 ; 3.194.811.134 ; 356 ; 1.108.999.990 ; 457 ; 1.606.220.290 ; 813 ; 2.715.220.280 ; 8.719 ; 5.910.031.413 ;;;;
26;62.232.889;BANCO DAYCOVAL S.A.; 1.276 ; 276.045.255 ; 2.370 ; 183.773.765 ; 2.803 ; 254.218.132 ; 13.610 ; 768.678.121 ; 20.059 ; 1.482.715.273 ; 1.961 ; 2.072.648.304 ; 8.075 ; 1.628.744.244 ; 10.036 ; 3.701.392.548 ; 30.095 ; 5.184.107.821 ;;;;
27;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 55 ; 166.105.740 ;;; 55 ; 166.105.740 ; 7 ; 2.500.000.000 ; 7 ; 2.500.000.000 ; 14 ; 5.000.000.000 ; 69 ; 5.166.105.740 ;;;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 66 ; 354.464.149 ; 12 ; 4.377.998 ; 86 ; 177.496.526 ; 282 ; 67.673.669 ; 446 ; 604.012.342 ; 487 ; 1.737.224.441 ; 512 ; 2.121.020.483 ; 999 ; 3.858.244.924 ; 1.445 ; 4.462.257.266 ;;;;
29;68.900.810;BANCO RENDIMENTO S.A.; 44 ; 3.873.166 ; 340 ; 22.481.634 ; 32.147 ; 328.846.689 ; 10.466 ; 722.087.713 ; 42.997 ; 1.077.289.202 ; 2.089 ; 1.683.048.584 ; 40.368 ; 1.266.179.761 ; 42.457 ; 2.949.228.345 ; 85.454 ; 4.026.517.547 ;;;;
30;49.336.860;ING BANK N.V.; 140 ; 1.085.154.044 ; 74 ; 170.093.372 ; 50 ; 499.224.664 ; 412 ; 304.670.003 ; 676 ; 2.059.142.083 ; 45 ; 522.092.445 ; 78 ; 1.410.424.035 ; 123 ; 1.932.516.480 ; 799 ; 3.991.658.563 ;;;;
