Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JUNHO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;00.000.000;BANCO DO BRASIL S.A.; 8.965 ; 4.231.710.462 ; 14.715 ; 2.676.806.384 ; 21.413 ; 8.496.503.303 ; 26.281 ; 9.340.392.972 ; 71.374 ; 24.745.413.122 ; 342 ; 1.216.264.030 ; 332 ; 1.761.039.562 ; 674 ; 2.977.303.592 ; 72.048 ; 27.722.716.714 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.598 ; 1.019.253.333 ; 6.633 ; 1.549.735.122 ; 8.937 ; 7.353.698.518 ; 16.629 ; 8.167.218.985 ; 33.797 ; 18.089.905.958 ; 387 ; 3.697.510.387 ; 365 ; 2.625.861.296 ; 752 ; 6.323.371.683 ; 34.549 ; 24.413.277.641 ;;;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 7.406 ; 1.213.866.467 ; 18.622 ; 1.719.388.890 ; 46.618 ; 3.697.471.631 ; 34.141 ; 5.313.237.903 ; 106.787 ; 11.943.964.890 ; 228 ; 5.667.893.554 ; 245 ; 5.919.463.254 ; 473 ; 11.587.356.808 ; 107.260 ; 23.531.321.698 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.400 ; 1.010.048.829 ; 9.475 ; 1.214.864.825 ; 11.425 ; 4.770.367.080 ; 23.884 ; 4.456.778.382 ; 47.184 ; 11.452.059.116 ; 282 ; 5.100.971.086 ; 303 ; 5.602.706.672 ; 585 ; 10.703.677.758 ; 47.769 ; 22.155.736.874 ;;;;
5;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.025 ; 2.522.373.896 ; 19.091 ; 1.954.285.946 ; 17.428 ; 3.609.353.965 ; 30.845 ; 4.856.742.586 ; 71.389 ; 12.942.756.393 ; 548 ; 4.530.738.141 ; 496 ; 4.315.194.595 ; 1.044 ; 8.845.932.736 ; 72.433 ; 21.788.689.129 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 185 ; 390.794.370 ; 2.621 ; 779.861.959 ; 932 ; 4.238.422.147 ; 1.665 ; 4.315.549.175 ; 5.403 ; 9.724.627.652 ; 241 ; 2.106.542.013 ; 309 ; 2.597.673.678 ; 550 ; 4.704.215.690 ; 5.953 ; 14.428.843.342 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 22 ; 131.819.552 ; 44 ; 6.144.301 ; 163 ; 325.598.132 ; 237 ; 488.094.917 ; 466 ; 951.656.903 ; 120 ; 6.233.029.926 ; 116 ; 5.714.085.644 ; 236 ; 11.947.115.570 ; 702 ; 12.898.772.473 ;;;;
8;60.746.948;BANCO BRADESCO S.A.; 5.157 ; 2.706.419.973 ; 10.442 ; 1.862.333.630 ; 23.006 ; 1.760.583.468 ; 18.715 ; 1.981.866.327 ; 57.320 ; 8.311.203.398 ; 747 ; 1.473.990.129 ; 763 ; 1.798.675.886 ; 1.510 ; 3.272.666.015 ; 58.830 ; 11.583.869.413 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 34 ; 159.247.677 ; 37 ; 58.191.117 ; 445 ; 877.816.084 ; 540 ; 964.654.043 ; 1.056 ; 2.059.908.921 ; 112 ; 3.974.451.786 ; 124 ; 4.411.579.011 ; 236 ; 8.386.030.797 ; 1.292 ; 10.445.939.717 ;;;;
