Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Jul/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 26.265 ; 11.491.593.525 ; 129.350 ; 12.769.018.247 ; 111.700 ; 33.466.188.764 ; 206.757 ; 38.488.469.633 ; 474.072 ; 96.215.270.168 ; 4.580 ; 66.149.278.998 ; 4.050 ; 60.086.562.090 ; 8.630 ; 126.235.841.088 ; 482.702 ; 222.451.111.256 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 48.965 ; 9.426.702.241 ; 123.973 ; 11.797.938.990 ; 323.342 ; 24.941.551.424 ; 230.295 ; 32.138.115.156 ; 726.575 ; 78.304.307.811 ; 1.560 ; 44.177.644.726 ; 1.434 ; 37.575.259.650 ; 2.994 ; 81.752.904.376 ; 729.569 ; 160.057.212.187 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 10.987 ; 5.871.701.936 ; 43.592 ; 10.181.460.086 ; 61.480 ; 49.596.083.402 ; 109.916 ; 47.013.445.376 ; 225.975 ; 112.662.690.799 ; 2.340 ; 19.861.041.182 ; 2.285 ; 16.969.419.250 ; 4.625 ; 36.830.460.432 ; 230.600 ; 149.493.151.231 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 16.910 ; 6.923.360.170 ; 68.050 ; 9.058.956.498 ; 76.391 ; 29.231.786.997 ; 156.926 ; 27.749.649.247 ; 318.277 ; 72.963.752.912 ; 2.471 ; 35.635.141.180 ; 2.454 ; 32.902.999.950 ; 4.925 ; 68.538.141.130 ; 323.202 ; 141.501.894.042 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 61.798 ; 28.853.077.402 ; 100.823 ; 17.857.188.993 ; 146.018 ; 23.868.821.722 ; 177.418 ; 29.667.026.939 ; 486.057 ; 100.246.115.056 ; 1.922 ; 7.810.338.354 ; 1.848 ; 12.865.903.314 ; 3.770 ; 20.676.241.668 ; 489.827 ; 120.922.356.724 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 1.414 ; 3.702.549.000 ; 19.063 ; 6.067.973.518 ; 6.005 ; 37.780.884.028 ; 11.759 ; 31.357.919.320 ; 38.241 ; 78.909.325.865 ; 1.749 ; 14.380.303.137 ; 2.125 ; 18.002.172.093 ; 3.874 ; 32.382.475.230 ; 42.115 ; 111.291.801.095 ;;;;
7;60.746.948;BANCO BRADESCO S.A.; 36.919 ; 18.388.192.617 ; 73.306 ; 11.973.138.650 ; 157.629 ; 24.101.048.329 ; 126.644 ; 25.225.017.747 ; 394.498 ; 79.687.397.343 ; 4.136 ; 9.739.676.412 ; 4.431 ; 12.867.798.443 ; 8.567 ; 22.607.474.856 ; 403.065 ; 102.294.872.199 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 217 ; 1.552.342.343 ; 319 ; 398.304.410 ; 3.477 ; 8.271.579.376 ; 4.078 ; 8.930.595.602 ; 8.091 ; 19.152.821.732 ; 977 ; 30.350.290.189 ; 942 ; 28.272.776.119 ; 1.919 ; 58.623.066.308 ; 10.010 ; 77.775.888.040 ;;;;
9;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 113 ; 681.018.007 ; 890 ; 75.407.619 ; 1.232 ; 6.655.899.831 ; 1.880 ; 5.627.478.601 ; 4.115 ; 13.039.804.057 ; 885 ; 25.064.337.958 ; 997 ; 26.871.219.669 ; 1.882 ; 51.935.557.627 ; 5.997 ; 64.975.361.684 ;;;;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.937 ; 3.940.868.066 ; 7.020 ; 2.778.160.807 ; 4.311 ; 10.897.413.499 ; 10.091 ; 9.813.546.751 ; 23.359 ; 27.429.989.124 ; 1.809 ; 16.496.527.107 ; 1.780 ; 17.646.600.413 ; 3.589 ; 34.143.127.521 ; 26.948 ; 61.573.116.644 ;;;;
