Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JULHO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.480 ; 1.805.131.252 ; 19.333 ; 1.874.298.838 ; 16.289 ; 4.609.151.674 ; 31.247 ; 5.692.402.601 ; 71.349 ; 13.980.984.366 ; 704 ; 7.854.842.807 ; 664 ; 6.972.952.530 ; 1.368 ; 14.827.795.337 ; 72.717 ; 28.808.779.703 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 8.169 ; 1.363.087.861 ; 17.174 ; 1.442.337.923 ; 50.990 ; 3.438.739.024 ; 33.559 ; 6.189.267.193 ; 109.892 ; 12.433.432.001 ; 222 ; 4.420.634.656 ; 240 ; 5.005.551.478 ; 462 ; 9.426.186.134 ; 110.354 ; 21.859.618.135 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.929 ; 1.231.856.328 ; 6.776 ; 1.428.210.076 ; 9.321 ; 5.686.420.188 ; 17.291 ; 5.965.477.051 ; 35.317 ; 14.311.963.643 ; 318 ; 2.239.951.235 ; 299 ; 1.742.027.616 ; 617 ; 3.981.978.851 ; 35.934 ; 18.293.942.494 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.809 ; 840.136.618 ; 9.337 ; 1.003.116.448 ; 11.579 ; 3.697.784.267 ; 22.003 ; 3.775.531.294 ; 45.728 ; 9.316.568.628 ; 352 ; 4.106.044.018 ; 335 ; 3.191.583.610 ; 687 ; 7.297.627.628 ; 46.415 ; 16.614.196.255 ;;;;
5;60.746.948;BANCO BRADESCO S.A.; 6.144 ; 3.271.282.519 ; 9.737 ; 1.687.640.725 ; 24.315 ; 2.132.527.380 ; 18.547 ; 2.435.210.380 ; 58.743 ; 9.526.661.004 ; 839 ; 2.059.323.243 ; 970 ; 2.920.693.349 ; 1.809 ; 4.980.016.592 ; 60.552 ; 14.506.677.596 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 10.358 ; 4.370.766.719 ; 12.777 ; 2.238.272.154 ; 23.052 ; 1.574.252.482 ; 26.050 ; 2.233.155.032 ; 72.237 ; 10.416.446.387 ; 300 ; 981.477.306 ; 301 ; 2.987.515.151 ; 601 ; 3.968.992.458 ; 72.838 ; 14.385.438.845 ;;;;
7;33.172.537;BANCO J.P. MORGAN S.A.; 257 ; 671.993.478 ; 2.738 ; 1.221.490.121 ; 758 ; 3.127.589.159 ; 1.648 ; 5.521.300.104 ; 5.401 ; 10.542.372.862 ; 286 ; 1.859.700.569 ; 253 ; 502.446.835 ; 539 ; 2.362.147.403 ; 5.940 ; 12.904.520.265 ;;;;
8;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 15 ; 5.784.972 ; 135 ; 5.505.878 ; 167 ; 459.983.804 ; 251 ; 438.739.853 ; 568 ; 910.014.507 ; 127 ; 5.169.314.390 ; 134 ; 5.156.569.175 ; 261 ; 10.325.883.565 ; 829 ; 11.235.898.073 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 59 ; 254.623.540 ; 40 ; 88.800.923 ; 577 ; 1.082.316.271 ; 512 ; 876.795.623 ; 1.188 ; 2.302.536.358 ; 146 ; 3.696.062.133 ; 133 ; 3.892.321.583 ; 279 ; 7.588.383.715 ; 1.467 ; 9.890.920.073 ;;;;
