Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Ago/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 30.326 ; 12.828.813.211 ; 147.869 ; 14.486.143.935 ; 129.544 ; 38.248.939.177 ; 235.185 ; 41.058.946.939 ; 542.924 ; 106.622.843.262 ; 5.346 ; 72.914.925.884 ; 4.747 ; 67.375.780.558 ; 10.093 ; 140.290.706.443 ; 553.017 ; 246.913.549.705 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 56.105 ; 10.561.863.518 ; 140.633 ; 13.050.750.979 ; 370.841 ; 27.403.454.096 ; 261.618 ; 34.891.738.989 ; 829.197 ; 85.907.807.582 ; 1.747 ; 48.286.692.003 ; 1.618 ; 41.185.445.182 ; 3.365 ; 89.472.137.185 ; 832.562 ; 175.379.944.768 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 12.706 ; 6.856.718.232 ; 50.699 ; 11.362.260.966 ; 70.647 ; 55.690.747.809 ; 125.696 ; 55.583.521.842 ; 259.748 ; 129.493.248.850 ; 2.671 ; 23.434.792.954 ; 2.556 ; 18.111.646.730 ; 5.227 ; 41.546.439.684 ; 264.975 ; 171.039.688.534 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 19.301 ; 7.471.034.961 ; 76.773 ; 10.163.527.251 ; 86.928 ; 31.322.450.196 ; 177.210 ; 30.864.395.336 ; 360.212 ; 79.821.407.744 ; 2.791 ; 41.567.026.223 ; 2.755 ; 37.677.460.902 ; 5.546 ; 79.244.487.125 ; 365.758 ; 159.065.894.869 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 70.666 ; 32.308.363.462 ; 112.981 ; 19.988.187.646 ; 166.989 ; 25.252.754.631 ; 201.536 ; 31.165.988.861 ; 552.172 ; 108.715.294.601 ; 2.438 ; 9.399.402.435 ; 2.529 ; 14.414.887.219 ; 4.967 ; 23.814.289.654 ; 557.139 ; 132.529.584.255 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 1.612 ; 4.122.939.028 ; 21.411 ; 6.656.585.994 ; 6.824 ; 42.281.148.452 ; 13.418 ; 35.243.138.939 ; 43.265 ; 88.303.812.413 ; 1.994 ; 15.807.685.676 ; 2.415 ; 19.323.648.950 ; 4.409 ; 35.131.334.626 ; 47.674 ; 123.435.147.039 ;;;;
7;60.746.948;BANCO BRADESCO S.A.; 42.150 ; 20.538.565.592 ; 82.650 ; 13.402.683.633 ; 182.062 ; 26.034.646.373 ; 142.087 ; 27.034.984.745 ; 448.949 ; 87.010.880.342 ; 5.051 ; 12.253.609.452 ; 5.323 ; 15.401.555.634 ; 10.374 ; 27.655.165.086 ; 459.323 ; 114.666.045.428 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 270 ; 1.662.638.557 ; 338 ; 401.721.534 ; 3.848 ; 8.875.648.493 ; 4.827 ; 9.732.555.458 ; 9.283 ; 20.672.564.042 ; 1.085 ; 33.139.542.180 ; 1.045 ; 30.852.341.243 ; 2.130 ; 63.991.883.423 ; 11.413 ; 84.664.447.465 ;;;;
9;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 129 ; 689.598.055 ; 1.019 ; 97.417.683 ; 1.408 ; 7.398.695.301 ; 2.139 ; 6.211.566.666 ; 4.695 ; 14.397.277.705 ; 1.030 ; 27.266.110.456 ; 1.155 ; 29.425.889.006 ; 2.185 ; 56.691.999.462 ; 6.880 ; 71.089.277.167 ;;;;
