Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em SETEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.281 ; 1.439.535.201 ; 19.092 ; 2.110.377.414 ; 15.964 ; 3.986.108.113 ; 30.030 ; 3.438.098.296 ; 69.367 ; 10.974.119.023 ; 579 ; 10.417.024.097 ; 629 ; 15.177.636.582 ; 1.208 ; 25.594.660.679 ; 70.575 ; 36.568.779.701 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 7.297 ; 1.274.077.714 ; 16.528 ; 1.379.524.127 ; 50.313 ; 7.107.385.435 ; 31.773 ; 3.813.595.622 ; 105.911 ; 13.574.582.898 ; 224 ; 5.764.388.567 ; 263 ; 6.326.545.293 ; 487 ; 12.090.933.860 ; 106.398 ; 25.665.516.758 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.934 ; 870.185.053 ; 6.838 ; 1.431.639.380 ; 8.694 ; 5.437.090.192 ; 16.052 ; 7.568.721.349 ; 33.518 ; 15.307.635.973 ; 362 ; 3.987.410.552 ; 302 ; 1.350.122.152 ; 664 ; 5.337.532.704 ; 34.182 ; 20.645.168.677 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.752 ; 764.754.613 ; 8.775 ; 976.716.588 ; 10.513 ; 2.182.234.165 ; 18.366 ; 2.329.938.564 ; 40.406 ; 6.253.643.930 ; 287 ; 7.036.948.353 ; 266 ; 6.286.215.454 ; 553 ; 13.323.163.807 ; 40.959 ; 19.576.807.737 ;;;;
5;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 7 ; 13.663.897 ;;; 7 ; 13.663.897 ; 33 ; 7.330.000.000 ; 33 ; 7.330.000.000 ; 66 ; 14.660.000.000 ; 73 ; 14.673.663.897 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 9.280 ; 3.677.675.046 ; 12.121 ; 2.227.530.033 ; 21.324 ; 1.646.862.362 ; 23.441 ; 2.398.700.186 ; 66.166 ; 9.950.767.627 ; 444 ; 1.104.359.162 ; 775 ; 2.628.653.275 ; 1.219 ; 3.733.012.438 ; 67.385 ; 13.683.780.065 ;;;;
7;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 300 ; 340.502.067 ; 813 ; 334.761.481 ; 603 ; 3.409.939.219 ; 1.369 ; 2.912.244.915 ; 3.085 ; 6.997.447.682 ; 289 ; 2.039.837.741 ; 309 ; 3.157.139.710 ; 598 ; 5.196.977.452 ; 3.683 ; 12.194.425.134 ;;;;
8;33.172.537;BANCO J.P. MORGAN S.A.; 198 ; 362.996.303 ; 2.249 ; 544.704.729 ; 816 ; 2.648.410.234 ; 1.807 ; 3.554.729.716 ; 5.070 ; 7.110.840.981 ; 222 ; 3.468.595.296 ; 218 ; 708.551.910 ; 440 ; 4.177.147.206 ; 5.510 ; 11.287.988.188 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 57 ; 105.665.107 ; 21 ; 37.355.001 ; 366 ; 1.313.760.372 ; 569 ; 1.225.503.149 ; 1.013 ; 2.682.283.628 ; 116 ; 4.215.155.253 ; 111 ; 4.063.409.312 ; 227 ; 8.278.564.565 ; 1.240 ; 10.960.848.193 ;;;;
10;60.746.948;BANCO BRADESCO S.A.; 5.607 ; 1.864.304.601 ; 9.647 ; 1.627.758.717 ; 23.690 ; 1.393.931.751 ; 15.682 ; 1.409.623.497 ; 54.626 ; 6.295.618.566 ; 758 ; 2.089.199.857 ; 715 ; 1.855.407.028 ; 1.473 ; 3.944.606.885 ; 56.099 ; 10.240.225.451 ;;;;
11;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 9 ; 15.295.802 ;;; 277 ; 657.434.015 ; 342 ; 488.355.210 ; 628 ; 1.161.085.028 ; 675 ; 4.250.517.483 ; 436 ; 4.293.404.325 ; 1.111 ; 8.543.921.807 ; 1.739 ; 9.705.006.835 ;;;;
