Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Out/2015;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 38.877 ; 15.684.153.603 ; 183.871 ; 18.602.910.184 ; 162.247 ; 46.508.393.519 ; 290.263 ; 49.559.274.903 ; 675.258 ; 130.354.732.208 ; 6.682 ; 92.521.185.716 ; 6.093 ; 92.071.719.805 ; 12.775 ; 184.592.905.521 ; 688.033 ; 314.947.637.729 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 70.247 ; 13.170.653.983 ; 173.087 ; 15.784.252.365 ; 465.991 ; 37.240.242.176 ; 323.420 ; 41.605.831.193 ; 1.032.745 ; 107.800.979.716 ; 2.178 ; 60.524.177.642 ; 2.073 ; 52.931.840.150 ; 4.251 ; 113.456.017.792 ; 1.036.996 ; 221.256.997.507 ;
3;33.479.023;BANCO CITIBANK S.A.; 16.306 ; 8.397.055.435 ; 64.647 ; 14.096.541.822 ; 88.414 ; 67.164.385.146 ; 156.051 ; 69.401.821.423 ; 325.418 ; 159.059.803.827 ; 3.283 ; 29.911.307.200 ; 3.090 ; 21.211.104.079 ; 6.373 ; 51.122.411.279 ; 331.791 ; 210.182.215.105 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 24.616 ; 8.827.266.573 ; 95.181 ; 12.217.517.236 ; 107.120 ; 35.543.232.943 ; 214.337 ; 36.058.716.116 ; 441.254 ; 92.646.732.869 ; 3.365 ; 56.322.694.393 ; 3.288 ; 50.629.148.482 ; 6.653 ; 106.951.842.875 ; 447.907 ; 199.598.575.744 ;
5;00.000.000;BANCO DO BRASIL S.A.; 88.695 ; 38.806.506.883 ; 137.683 ; 24.510.082.580 ; 206.334 ; 28.993.004.148 ; 244.356 ; 37.417.764.352 ; 677.068 ; 129.727.357.963 ; 3.343 ; 12.411.222.797 ; 3.656 ; 17.870.058.123 ; 6.999 ; 30.281.280.920 ; 684.067 ; 160.008.638.883 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 2.003 ; 4.806.861.830 ; 25.778 ; 7.895.214.001 ; 8.498 ; 48.697.183.528 ; 16.975 ; 42.665.387.249 ; 53.254 ; 104.064.646.608 ; 2.404 ; 20.137.953.888 ; 2.879 ; 22.035.965.421 ; 5.283 ; 42.173.919.308 ; 58.537 ; 146.238.565.916 ;
7;60.746.948;BANCO BRADESCO S.A.; 52.814 ; 24.099.924.946 ; 99.980 ; 16.189.566.364 ; 230.864 ; 28.979.753.577 ; 170.179 ; 30.230.673.812 ; 553.837 ; 99.499.918.700 ; 6.479 ; 16.616.947.134 ; 6.682 ; 19.327.175.099 ; 13.161 ; 35.944.122.234 ; 566.998 ; 135.444.040.933 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 392 ; 1.834.538.016 ; 368 ; 439.565.092 ; 4.725 ; 10.928.040.410 ; 5.987 ; 12.010.700.810 ; 11.472 ; 25.212.844.329 ; 1.329 ; 40.647.499.018 ; 1.270 ; 38.470.896.399 ; 2.599 ; 79.118.395.416 ; 14.071 ; 104.331.239.745 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.808 ; 5.004.698.908 ; 9.375 ; 3.458.970.134 ; 6.146 ; 17.897.018.360 ; 14.151 ; 14.477.362.371 ; 32.480 ; 40.838.049.773 ; 2.682 ; 23.844.199.523 ; 2.699 ; 28.474.285.330 ; 5.381 ; 52.318.484.853 ; 37.861 ; 93.156.534.626 ;
