Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em OUTUBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.272 ; 1.415.941.585 ; 16.926 ; 2.007.681.918 ; 16.747 ; 4.273.870.316 ; 25.052 ; 5.062.252.400 ; 62.997 ; 12.759.746.218 ; 757 ; 9.189.235.735 ; 717 ; 9.518.302.665 ; 1.474 ; 18.707.538.400 ; 64.471 ; 31.467.284.618 ;;;;
2;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.563 ; 591.482.207 ; 9.643 ; 1.078.025.905 ; 9.679 ; 2.038.548.582 ; 18.764 ; 2.864.502.631 ; 40.649 ; 6.572.559.325 ; 287 ; 7.718.719.817 ; 267 ; 6.665.472.126 ; 554 ; 14.384.191.943 ; 41.203 ; 20.956.751.268 ;;;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 6.857 ; 1.336.069.466 ; 15.961 ; 1.371.775.037 ; 44.828 ; 2.729.565.935 ; 30.011 ; 2.885.759.818 ; 97.657 ; 8.323.170.256 ; 207 ; 6.473.097.072 ; 192 ; 5.419.849.675 ; 399 ; 11.892.946.746 ; 98.056 ; 20.216.117.003 ;;;;
4;33.479.023;BANCO CITIBANK S.A.; 1.666 ; 670.152.150 ; 7.112 ; 1.302.748.693 ; 9.076 ; 6.036.790.831 ; 14.307 ; 6.259.777.660 ; 32.161 ; 14.269.469.335 ; 250 ; 2.489.103.694 ; 232 ; 1.749.335.197 ; 482 ; 4.238.438.891 ; 32.643 ; 18.507.908.225 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 8.755 ; 2.821.574.513 ; 12.591 ; 2.296.329.187 ; 18.018 ; 2.093.393.371 ; 19.381 ; 3.853.098.745 ; 58.745 ; 11.064.395.816 ; 461 ; 1.907.461.200 ; 352 ; 826.517.629 ; 813 ; 2.733.978.829 ; 59.558 ; 13.798.374.644 ;;;;
6;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 271 ; 366.893.510 ; 759 ; 172.002.503 ; 602 ; 2.084.233.333 ; 1.346 ; 776.039.283 ; 2.978 ; 3.399.168.629 ; 295 ; 3.835.594.174 ; 320 ; 5.511.241.527 ; 615 ; 9.346.835.700 ; 3.593 ; 12.746.004.329 ;;;;
7;33.172.537;BANCO J.P. MORGAN S.A.; 193 ; 320.926.499 ; 2.118 ; 693.923.278 ; 857 ; 3.747.624.842 ; 1.749 ; 3.847.518.594 ; 4.917 ; 8.609.993.214 ; 188 ; 861.672.915 ; 246 ; 2.003.764.561 ; 434 ; 2.865.437.476 ; 5.351 ; 11.475.430.689 ;;;;
8;60.746.948;BANCO BRADESCO S.A.; 5.065 ; 1.697.896.223 ; 7.687 ; 1.159.263.519 ; 25.119 ; 1.551.743.250 ; 12.409 ; 1.785.932.550 ; 50.280 ; 6.194.835.541 ; 670 ; 2.274.137.825 ; 644 ; 2.070.212.438 ; 1.314 ; 4.344.350.262 ; 51.594 ; 10.539.185.803 ;;;;
9;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 175 ; 352.294.848 ; 873 ; 466.881.423 ; 378 ; 2.037.329.944 ; 1.160 ; 964.445.329 ; 2.586 ; 3.820.951.544 ; 95 ; 2.452.218.392 ; 125 ; 3.708.882.438 ; 220 ; 6.161.100.830 ; 2.806 ; 9.982.052.374 ;;;;
