Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Nov/2015;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 42.814 ; 17.067.925.828 ; 200.647 ; 20.129.127.917 ; 177.627 ; 52.225.586.065 ; 317.147 ; 53.804.290.018 ; 738.235 ; 143.226.929.827 ; 7.368 ; 98.209.180.703 ; 6.705 ; 97.499.419.396 ; 14.073 ; 195.708.600.099 ; 752.308 ; 338.935.529.927 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 77.254 ; 14.247.538.844 ; 188.202 ; 16.999.990.872 ; 513.749 ; 42.025.822.034 ; 353.386 ; 44.144.945.517 ; 1.132.591 ; 117.418.297.268 ; 2.385 ; 65.876.678.828 ; 2.302 ; 58.582.560.746 ; 4.687 ; 124.459.239.575 ; 1.137.278 ; 241.877.536.843 ;
3;33.479.023;BANCO CITIBANK S.A.; 17.904 ; 9.264.452.990 ; 71.535 ; 15.594.680.268 ; 97.006 ; 74.274.677.223 ; 168.528 ; 73.923.844.603 ; 354.973 ; 173.057.655.084 ; 3.501 ; 30.869.361.478 ; 3.359 ; 24.695.451.615 ; 6.860 ; 55.564.813.093 ; 361.833 ; 228.622.468.177 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 26.995 ; 9.384.198.255 ; 102.754 ; 13.026.225.006 ; 116.302 ; 37.946.526.033 ; 231.875 ; 38.783.891.225 ; 477.926 ; 99.140.840.520 ; 3.635 ; 60.707.139.861 ; 3.536 ; 54.139.300.855 ; 7.171 ; 114.846.440.717 ; 485.097 ; 213.987.281.236 ;
5;00.000.000;BANCO DO BRASIL S.A.; 97.698 ; 41.680.585.568 ; 149.477 ; 26.194.111.537 ; 226.249 ; 33.748.619.136 ; 268.890 ; 43.515.619.980 ; 742.314 ; 145.138.936.221 ; 3.778 ; 13.686.847.477 ; 4.006 ; 18.849.277.525 ; 7.784 ; 32.536.125.002 ; 750.098 ; 177.675.061.223 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 2.176 ; 5.234.462.750 ; 27.923 ; 8.565.530.202 ; 9.229 ; 53.921.647.507 ; 18.411 ; 48.454.673.573 ; 57.739 ; 116.176.314.032 ; 2.577 ; 20.891.973.323 ; 3.113 ; 24.492.773.610 ; 5.690 ; 45.384.746.934 ; 63.429 ; 161.561.060.966 ;
7;60.746.948;BANCO BRADESCO S.A.; 58.048 ; 26.040.241.774 ; 109.052 ; 17.563.617.301 ; 253.995 ; 29.957.621.273 ; 184.252 ; 31.236.296.835 ; 605.347 ; 104.797.777.183 ; 7.163 ; 19.545.122.465 ; 7.447 ; 21.096.217.254 ; 14.610 ; 40.641.339.719 ; 619.957 ; 145.439.116.903 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 419 ; 1.873.501.589 ; 382 ; 441.061.250 ; 5.089 ; 11.602.221.382 ; 6.527 ; 12.590.977.358 ; 12.417 ; 26.507.761.579 ; 1.431 ; 43.573.509.879 ; 1.399 ; 41.393.288.303 ; 2.830 ; 84.966.798.182 ; 15.247 ; 111.474.559.760 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 3.034 ; 5.300.666.911 ; 10.051 ; 3.652.505.604 ; 6.627 ; 18.361.210.415 ; 15.341 ; 15.252.817.152 ; 35.053 ; 42.567.200.082 ; 2.923 ; 28.030.288.079 ; 2.934 ; 32.202.592.234 ; 5.857 ; 60.232.880.313 ; 40.910 ; 102.800.080.394 ;
10;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 185 ; 1.066.382.091 ; 1.400 ; 150.898.632 ; 1.931 ; 9.275.371.361 ; 3.000 ; 8.112.179.241 ; 6.516 ; 18.604.831.324 ; 1.479 ; 38.092.196.448 ; 1.629 ; 40.483.510.698 ; 3.108 ; 78.575.707.147 ; 9.624 ; 97.180.538.471 ;
11;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 2.355 ; 5.242.316.573 ; 10.478 ; 4.793.887.343 ; 4.285 ; 11.217.014.702 ; 13.606 ; 13.942.122.434 ; 30.724 ; 35.195.341.052 ; 1.513 ; 24.747.851.826 ; 1.423 ; 22.216.139.509 ; 2.936 ; 46.963.991.335 ; 33.660 ; 82.159.332.387 ;
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 77 ; 122.061.279 ; 2 ; 1.432.560 ; 3.546 ; 8.391.600.128 ; 3.961 ; 9.241.234.681 ; 7.586 ; 17.756.328.648 ; 3.241 ; 28.648.375.377 ; 3.083 ; 28.120.928.352 ; 6.324 ; 56.769.303.729 ; 13.910 ; 74.525.632.377 ;
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 956 ; 4.038.920.288 ; 2.479 ; 803.795.436 ; 2.458 ; 19.911.103.327 ; 3.900 ; 18.293.719.813 ; 9.793 ; 43.047.538.864 ; 358 ; 9.978.329.592 ; 429 ; 14.759.088.918 ; 787 ; 24.737.418.509 ; 10.580 ; 67.784.957.373 ;
14;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 56.000.000 ;;; 5.115 ; 16.083.712.493 ; 5.236 ; 14.052.840.507 ; 10.352 ; 30.192.553.000 ; 331 ; 8.808.653.868 ; 446 ; 10.659.668.669 ; 777 ; 19.468.322.536 ; 11.129 ; 49.660.875.536 ;
15;59.588.111;BANCO VOTORANTIM S.A.; 1.715 ; 3.612.658.054 ; 15.299 ; 3.656.042.031 ; 2.990 ; 5.220.071.816 ; 12.207 ; 7.775.821.913 ; 32.211 ; 20.264.593.813 ; 2.014 ; 11.636.178.941 ; 5.607 ; 9.056.392.892 ; 7.621 ; 20.692.571.834 ; 39.832 ; 40.957.165.647 ;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.667 ; 1.110.409.454 ; 5.719 ; 1.046.533.982 ; 5.512 ; 5.252.108.436 ; 5.515 ; 2.857.446.731 ; 18.413 ; 10.266.498.603 ; 3.491 ; 9.049.001.340 ; 3.453 ; 11.496.442.794 ; 6.944 ; 20.545.444.134 ; 25.357 ; 30.811.942.737 ;
17;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 96 ; 242.952.459 ;;; 96 ; 242.952.459 ; 62 ; 15.275.000.000 ; 62 ; 15.275.000.000 ; 124 ; 30.550.000.000 ; 220 ; 30.792.952.459 ;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.998 ; 9.743.300.671 ; 1.954 ; 8.936.817.918 ; 3.952 ; 18.680.118.589 ; 108 ; 5.331.215.794 ; 134 ; 5.889.102.191 ; 242 ; 11.220.317.985 ; 4.194 ; 29.900.436.574 ;
19;61.146.577;BANCO BARCLAYS S.A.;;; 29 ; 14.722.126 ; 1.168 ; 5.656.170.560 ; 1.351 ; 5.178.245.134 ; 2.548 ; 10.849.137.821 ; 1.496 ; 7.118.693.401 ; 2.074 ; 7.574.346.098 ; 3.570 ; 14.693.039.499 ; 6.118 ; 25.542.177.321 ;
20;58.160.789;BANCO SAFRA S.A.; 2.152 ; 797.861.172 ; 11.932 ; 1.299.698.657 ; 8.874 ; 2.742.551.718 ; 25.388 ; 4.366.346.051 ; 48.346 ; 9.206.457.598 ; 1.251 ; 7.720.097.730 ; 1.116 ; 5.764.685.867 ; 2.367 ; 13.484.783.597 ; 50.713 ; 22.691.241.195 ;
21;61.820.817;BANCO PAULISTA S.A.; 849 ; 653.374.439 ; 3.962 ; 314.203.440 ; 7.191 ; 1.214.996.342 ; 17.897 ; 1.382.326.109 ; 29.899 ; 3.564.900.330 ; 12.023 ; 9.097.083.697 ; 83.358 ; 9.241.923.409 ; 95.381 ; 18.339.007.105 ; 125.280 ; 21.903.907.435 ;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 2.620 ; 1.346.165.810 ; 2.030 ; 118.959.975 ; 52.737 ; 6.221.901.395 ; 20.198 ; 3.826.374.677 ; 77.585 ; 11.513.401.857 ; 1.097 ; 2.075.184.832 ; 1.294 ; 5.687.947.673 ; 2.391 ; 7.763.132.505 ; 79.976 ; 19.276.534.361 ;
