Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em NOVEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.937 ; 1.383.792.402 ; 16.795 ; 1.529.328.931 ; 15.395 ; 5.717.722.235 ; 26.884 ; 4.244.945.185 ; 63.011 ; 12.875.788.753 ; 686 ; 5.687.994.987 ; 612 ; 5.427.699.591 ; 1.298 ; 11.115.694.578 ; 64.309 ; 23.991.483.331 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 7.010 ; 1.079.114.144 ; 15.131 ; 1.218.438.273 ; 47.756 ; 4.784.173.603 ; 29.960 ; 2.536.757.943 ; 99.857 ; 9.618.483.963 ; 207 ; 5.352.501.187 ; 229 ; 5.650.720.597 ; 436 ; 11.003.221.783 ; 100.293 ; 20.621.705.746 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.598 ; 867.425.394 ; 6.889 ; 1.498.363.139 ; 8.592 ; 7.110.292.078 ; 12.478 ; 4.522.042.389 ; 29.557 ; 13.998.123.000 ; 218 ; 958.054.278 ; 269 ; 3.484.347.536 ; 487 ; 4.442.401.814 ; 30.044 ; 18.440.524.814 ;;;;
4;00.000.000;BANCO DO BRASIL S.A.; 9.008 ; 2.874.713.263 ; 11.799 ; 1.684.173.308 ; 19.914 ; 4.755.612.119 ; 24.540 ; 6.097.995.149 ; 65.261 ; 15.412.493.839 ; 435 ; 1.275.624.680 ; 350 ; 979.219.402 ; 785 ; 2.254.844.082 ; 66.046 ; 17.667.337.921 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 173 ; 427.600.920 ; 2.146 ; 670.342.014 ; 731 ; 5.224.463.979 ; 1.436 ; 5.789.286.324 ; 4.486 ; 12.111.693.238 ; 173 ; 754.019.436 ; 234 ; 2.456.808.190 ; 407 ; 3.210.827.626 ; 4.893 ; 15.322.520.863 ;;;;
6;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.379 ; 557.009.882 ; 7.573 ; 808.707.770 ; 9.182 ; 2.403.293.090 ; 17.538 ; 2.725.175.109 ; 36.672 ; 6.494.185.851 ; 270 ; 4.384.445.468 ; 248 ; 3.510.152.373 ; 518 ; 7.894.597.841 ; 37.190 ; 14.388.783.692 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 16 ; 31.709.725 ; 169 ; 28.844.507 ; 185 ; 501.579.350 ; 276 ; 505.964.685 ; 646 ; 1.068.098.267 ; 118 ; 4.849.613.010 ; 127 ; 4.946.202.820 ; 245 ; 9.795.815.830 ; 891 ; 10.863.914.097 ;;;;
8;60.746.948;BANCO BRADESCO S.A.; 5.239 ; 1.940.768.617 ; 9.074 ; 1.374.062.270 ; 23.131 ; 977.737.172 ; 14.077 ; 1.005.639.148 ; 51.521 ; 5.298.207.206 ; 684 ; 2.928.175.331 ; 765 ; 1.769.042.155 ; 1.449 ; 4.697.217.486 ; 52.970 ; 9.995.424.691 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 226 ; 295.968.003 ; 676 ; 193.535.469 ; 481 ; 464.192.055 ; 1.191 ; 775.466.131 ; 2.574 ; 1.729.161.659 ; 241 ; 4.186.088.556 ; 235 ; 3.728.306.904 ; 476 ; 7.914.395.459 ; 3.050 ; 9.643.557.118 ;;;;
10;30.306.294;BANCO BTG PACTUAL S.A.; 27 ; 38.963.572 ; 14 ; 1.496.158 ; 364 ; 674.180.972 ; 540 ; 580.276.547 ; 945 ; 1.294.917.250 ; 102 ; 2.926.010.862 ; 129 ; 2.922.391.904 ; 231 ; 5.848.402.765 ; 1.176 ; 7.143.320.015 ;;;;
11;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 8 ; 10.250.371 ;;; 8 ; 10.250.371 ; 19 ; 3.045.000.000 ; 19 ; 3.045.000.000 ; 38 ; 6.090.000.000 ; 46 ; 6.100.250.371 ;;;;
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 8 ; 1.598.717 ;;; 268 ; 298.836.268 ; 303 ; 398.473.744 ; 579 ; 698.908.730 ; 355 ; 2.423.731.913 ; 334 ; 2.230.098.661 ; 689 ; 4.653.830.574 ; 1.268 ; 5.352.739.304 ;;;;
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 105 ; 332.383.490 ; 163 ; 91.760.414 ; 218 ; 1.295.813.529 ; 628 ; 1.363.192.648 ; 1.114 ; 3.083.150.081 ; 19 ; 791.954.495 ; 38 ; 1.358.805.334 ; 57 ; 2.150.759.829 ; 1.171 ; 5.233.909.910 ;;;;
14;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 231 ; 307.276.649 ; 720 ; 263.925.511 ; 377 ; 737.828.685 ; 1.165 ; 943.909.074 ; 2.493 ; 2.252.939.919 ; 125 ; 1.369.498.502 ; 102 ; 1.166.011.815 ; 227 ; 2.535.510.317 ; 2.720 ; 4.788.450.236 ;;;;
15;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 52 ; 61.694.037 ;;; 66 ; 60.072.954 ; 56 ; 685.620.592 ; 174 ; 807.387.583 ; 37 ; 2.009.854.377 ; 10 ; 420.000.000 ; 47 ; 2.429.854.377 ; 221 ; 3.237.241.959 ;;;;
16;59.588.111;BANCO VOTORANTIM S.A.; 214 ; 468.563.744 ; 1.319 ; 284.010.664 ; 250 ; 347.280.480 ; 1.122 ; 465.863.198 ; 2.905 ; 1.565.718.086 ; 185 ; 574.319.048 ; 483 ; 709.452.636 ; 668 ; 1.283.771.684 ; 3.573 ; 2.849.489.770 ;;;;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 135 ; 964.850.637 ; 156 ; 674.714.801 ; 291 ; 1.639.565.438 ; 7 ; 280.264.475 ; 16 ; 680.529.850 ; 23 ; 960.794.325 ; 314 ; 2.600.359.763 ;;;;
18;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 531 ; 956.393.856 ; 311 ; 538.565.012 ; 842 ; 1.494.958.868 ; 20 ; 377.112.098 ; 34 ; 682.862.413 ; 54 ; 1.059.974.511 ; 896 ; 2.554.933.379 ;;;;
19;00.360.305;CAIXA ECONOMICA FEDERAL; 229 ; 71.995.676 ; 187 ; 8.909.568 ; 4.715 ; 45.906.553 ; 1.285 ; 596.946.370 ; 6.416 ; 723.758.167 ; 63 ; 612.129.322 ; 66 ; 123.005.954 ; 129 ; 735.135.277 ; 6.545 ; 1.458.893.443 ;;;;
20;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 116 ; 43.957.718 ; 499 ; 110.784.082 ; 479 ; 150.765.977 ; 509 ; 79.419.300 ; 1.603 ; 384.927.078 ; 253 ; 512.496.778 ; 233 ; 515.966.858 ; 486 ; 1.028.463.635 ; 2.089 ; 1.413.390.713 ;;;;
21;61.820.817;BANCO PAULISTA S.A.; 118 ; 31.963.591 ; 337 ; 20.830.424 ; 658 ; 86.387.283 ; 1.150 ; 91.976.172 ; 2.263 ; 231.157.471 ; 1.011 ; 460.243.159 ; 6.930 ; 476.499.444 ; 7.941 ; 936.742.603 ; 10.204 ; 1.167.900.074 ;;;;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO;;; 62 ; 18.598.083 ; 18 ; 11.926.873 ; 40 ; 7.411.554 ; 120 ; 37.936.510 ; 131 ; 550.724.801 ; 129 ; 514.933.478 ; 260 ; 1.065.658.279 ; 380 ; 1.103.594.789 ;;;;
23;58.160.789;BANCO SAFRA S.A.; 163 ; 36.913.397 ; 685 ; 86.098.853 ; 731 ; 81.153.054 ; 1.990 ; 286.498.894 ; 3.569 ; 490.664.198 ; 114 ; 455.336.811 ; 93 ; 138.453.311 ; 207 ; 593.790.122 ; 3.776 ; 1.084.454.320 ;;;;
24;61.146.577;BANCO BARCLAYS S.A.;;;;; 64 ; 271.998.549 ; 113 ; 155.419.379 ; 177 ; 427.417.927 ; 123 ; 254.838.590 ; 160 ; 343.870.142 ; 283 ; 598.708.732 ; 460 ; 1.026.126.659 ;;;;
25;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 12 ; 51.227.194 ;;; 14 ; 36.432.503 ; 47 ; 11.399.448 ; 73 ; 99.059.144 ; 98 ; 417.418.419 ; 105 ; 501.853.368 ; 203 ; 919.271.787 ; 276 ; 1.018.330.932 ;;;;
