Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Dez/2015;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 47.350 ; 20.285.310.690 ; 217.165 ; 21.698.974.701 ; 198.069 ; 61.115.861.825 ; 346.107 ; 63.290.715.724 ; 808.691 ; 166.390.862.940 ; 7.984 ; 107.207.381.044 ; 7.377 ; 108.837.586.226 ; 15.361 ; 216.044.967.270 ; 824.052 ; 382.435.830.209 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 84.914 ; 15.724.474.854 ; 202.315 ; 18.932.028.926 ; 569.892 ; 47.333.087.557 ; 386.581 ; 48.873.404.293 ; 1.243.702 ; 130.862.995.629 ; 2.599 ; 69.407.273.784 ; 2.533 ; 61.883.161.056 ; 5.132 ; 131.290.434.841 ; 1.248.834 ; 262.153.430.470 ;
3;33.479.023;BANCO CITIBANK S.A.; 19.673 ; 10.661.589.153 ; 77.857 ; 17.147.876.884 ; 106.908 ; 83.853.513.173 ; 183.367 ; 82.596.892.573 ; 387.805 ; 194.259.871.783 ; 3.792 ; 34.255.903.111 ; 3.677 ; 29.498.347.626 ; 7.469 ; 63.754.250.737 ; 395.274 ; 258.014.122.520 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 29.495 ; 10.925.210.442 ; 109.724 ; 13.717.562.643 ; 124.993 ; 40.304.778.939 ; 246.315 ; 43.442.181.904 ; 510.527 ; 108.389.733.928 ; 3.936 ; 66.157.077.320 ; 3.785 ; 58.092.565.034 ; 7.721 ; 124.249.642.354 ; 518.248 ; 232.639.376.283 ;
5;00.000.000;BANCO DO BRASIL S.A.; 107.774 ; 45.331.052.622 ; 161.330 ; 28.026.889.730 ; 250.070 ; 40.440.357.656 ; 293.665 ; 52.986.774.225 ; 812.839 ; 166.785.074.233 ; 4.133 ; 15.977.022.276 ; 4.308 ; 20.206.873.393 ; 8.441 ; 36.183.895.670 ; 821.280 ; 202.968.969.903 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 2.378 ; 6.118.176.548 ; 29.467 ; 9.185.669.001 ; 10.066 ; 57.809.036.116 ; 20.456 ; 53.910.169.908 ; 62.367 ; 127.023.051.573 ; 2.821 ; 24.772.078.282 ; 3.363 ; 26.776.015.874 ; 6.184 ; 51.548.094.156 ; 68.551 ; 178.571.145.729 ;
7;60.746.948;BANCO BRADESCO S.A.; 63.648 ; 28.223.639.134 ; 117.013 ; 18.972.990.008 ; 281.627 ; 31.830.442.805 ; 199.820 ; 33.146.454.669 ; 662.108 ; 112.173.526.616 ; 7.729 ; 21.181.528.359 ; 8.157 ; 23.775.277.494 ; 15.886 ; 44.956.805.852 ; 677.994 ; 157.130.332.468 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 443 ; 1.893.698.261 ; 405 ; 443.288.034 ; 5.558 ; 12.437.923.403 ; 7.005 ; 13.787.165.793 ; 13.411 ; 28.562.075.492 ; 1.527 ; 47.459.770.029 ; 1.487 ; 44.735.530.825 ; 3.014 ; 92.195.300.855 ; 16.425 ; 120.757.376.347 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 3.266 ; 5.663.028.148 ; 10.663 ; 3.802.051.906 ; 7.272 ; 19.864.501.691 ; 16.671 ; 16.535.937.261 ; 37.872 ; 45.865.519.005 ; 3.227 ; 31.271.677.954 ; 3.242 ; 35.986.448.602 ; 6.469 ; 67.258.126.556 ; 44.341 ; 113.123.645.562 ;
