Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.834 ; 1.151.243.377 ; 16.063 ; 1.375.751.388 ; 14.880 ; 2.882.978.662 ; 20.818 ; 3.477.132.945 ; 55.595 ; 8.887.106.373 ; 671 ; 6.480.291.911 ; 587 ; 5.554.743.561 ; 1.258 ; 12.035.035.472 ; 56.853 ; 20.922.141.844 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.654 ; 1.129.559.968 ; 5.923 ; 1.517.131.877 ; 9.029 ; 4.594.769.065 ; 10.859 ; 4.414.111.657 ; 27.465 ; 11.655.572.568 ; 236 ; 2.230.071.754 ; 227 ; 1.589.523.490 ; 463 ; 3.819.595.244 ; 27.928 ; 15.475.167.812 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 4.887 ; 1.919.395.330 ; 8.420 ; 1.051.874.308 ; 23.642 ; 3.385.773.177 ; 11.689 ; 4.281.287.351 ; 48.638 ; 10.638.330.166 ; 592 ; 2.672.698.041 ; 534 ; 1.212.106.861 ; 1.126 ; 3.884.804.903 ; 49.764 ; 14.523.135.068 ;;;;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.129 ; 372.119.128 ; 7.374 ; 569.677.003 ; 7.753 ; 1.408.389.197 ; 11.823 ; 1.530.288.942 ; 29.079 ; 3.880.474.269 ; 257 ; 4.749.981.781 ; 246 ; 4.763.304.707 ; 503 ; 9.513.286.488 ; 29.582 ; 13.393.760.758 ;;;;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 16 ; 124.974.454 ; 232 ; 21.448.955 ; 156 ; 649.764.399 ; 314 ; 469.373.339 ; 718 ; 1.265.561.148 ; 85 ; 4.987.998.238 ; 128 ; 5.946.964.996 ; 213 ; 10.934.963.234 ; 931 ; 12.200.524.382 ;;;;
6;60.701.190;ITAÚ UNIBANCO S.A.; 6.509 ; 1.071.010.501 ; 13.859 ; 998.505.826 ; 50.305 ; 3.136.997.428 ; 22.335 ; 2.304.692.097 ; 93.008 ; 7.511.205.851 ; 182 ; 2.204.935.335 ; 187 ; 2.099.103.699 ; 369 ; 4.304.039.034 ; 93.377 ; 11.815.244.885 ;;;;
7;33.172.537;BANCO J.P. MORGAN S.A.; 243 ; 1.170.513.076 ; 2.043 ; 681.109.605 ; 717 ; 3.203.819.699 ; 1.409 ; 2.228.553.000 ; 4.412 ; 7.283.995.379 ; 175 ; 1.143.762.824 ; 250 ; 3.325.245.975 ; 425 ; 4.469.008.799 ; 4.837 ; 11.753.004.178 ;;;;
8;00.000.000;BANCO DO BRASIL S.A.; 8.176 ; 3.266.783.074 ; 10.987 ; 1.965.780.631 ; 18.184 ; 1.587.206.454 ; 20.865 ; 2.136.027.616 ; 58.212 ; 8.955.797.774 ; 290 ; 1.020.987.545 ; 295 ; 1.712.394.280 ; 585 ; 2.733.381.825 ; 58.797 ; 11.689.179.599 ;;;;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 118 ; 703.018.441 ; 302 ; 136.113.050 ; 242 ; 710.102.510 ; 981 ; 1.785.718.072 ; 1.643 ; 3.334.952.073 ; 35 ; 1.853.215.075 ; 18 ; 1.503.657.931 ; 53 ; 3.356.873.005 ; 1.696 ; 6.691.825.079 ;;;;
