Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Fev/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 7.791 ; 2.239.181.791 ; 31.331 ; 2.628.860.473 ; 31.893 ; 5.699.896.737 ; 43.984 ; 7.306.387.615 ; 114.999 ; 17.874.326.616 ; 1.326 ; 15.989.201.476 ; 1.198 ; 15.719.375.416 ; 2.524 ; 31.708.576.893 ; 117.523 ; 49.582.903.508 ;
2;33.479.023;BANCO CITIBANK S.A.; 3.231 ; 1.864.060.290 ; 11.638 ; 2.686.180.149 ; 17.163 ; 8.962.195.337 ; 22.669 ; 10.164.330.814 ; 54.701 ; 23.676.766.590 ; 535 ; 5.098.422.079 ; 528 ; 3.737.242.208 ; 1.063 ; 8.835.664.288 ; 55.764 ; 32.512.430.878 ;
3;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 4.292 ; 987.592.332 ; 14.761 ; 1.368.525.872 ; 15.141 ; 3.203.737.478 ; 25.240 ; 4.350.817.773 ; 59.434 ; 9.910.673.455 ; 561 ; 9.870.646.545 ; 535 ; 9.348.469.817 ; 1.096 ; 19.219.116.362 ; 60.530 ; 29.129.789.817 ;
4;60.746.948;BANCO BRADESCO S.A.; 9.169 ; 3.679.298.479 ; 16.866 ; 2.107.773.239 ; 47.474 ; 7.654.575.480 ; 23.027 ; 9.106.052.818 ; 96.536 ; 22.547.700.016 ; 1.133 ; 3.424.356.802 ; 1.104 ; 3.102.827.780 ; 2.237 ; 6.527.184.581 ; 98.773 ; 29.074.884.598 ;
5;60.701.190;ITAÚ UNIBANCO S.A.; 12.861 ; 1.972.006.110 ; 27.539 ; 2.079.554.410 ; 102.215 ; 5.777.319.356 ; 46.877 ; 6.117.409.646 ; 189.492 ; 15.946.289.522 ; 398 ; 5.360.154.073 ; 362 ; 3.498.416.400 ; 760 ; 8.858.570.473 ; 190.252 ; 24.804.859.995 ;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 40 ; 147.920.188 ; 519 ; 52.875.781 ; 316 ; 1.479.338.440 ; 672 ; 1.523.755.964 ; 1.547 ; 3.203.890.373 ; 207 ; 10.104.315.099 ; 247 ; 11.312.988.174 ; 454 ; 21.417.303.273 ; 2.001 ; 24.621.193.646 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 428 ; 1.844.421.860 ; 3.701 ; 1.243.453.126 ; 1.405 ; 5.802.571.071 ; 2.949 ; 6.239.823.980 ; 8.483 ; 15.130.270.037 ; 378 ; 2.285.190.871 ; 478 ; 4.948.687.215 ; 856 ; 7.233.878.086 ; 9.339 ; 22.364.148.123 ;
8;00.000.000;BANCO DO BRASIL S.A.; 15.740 ; 6.059.298.643 ; 21.107 ; 3.649.125.439 ; 35.692 ; 2.666.794.290 ; 52.566 ; 4.560.046.855 ; 125.105 ; 16.935.265.227 ; 522 ; 2.208.698.536 ; 528 ; 3.192.251.948 ; 1.050 ; 5.400.950.484 ; 126.155 ; 22.336.215.711 ;
9;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 8 ; 5.295.555 ;;; 539 ; 1.968.244.739 ; 739 ; 1.712.976.221 ; 1.286 ; 3.686.516.516 ; 307 ; 4.238.136.778 ; 379 ; 4.850.833.496 ; 686 ; 9.088.970.273 ; 1.972 ; 12.775.486.789 ;
10;30.306.294;BANCO BTG PACTUAL S.A.; 42 ; 95.194.136 ; 28 ; 11.248.071 ; 701 ; 1.280.567.388 ; 808 ; 1.062.660.855 ; 1.579 ; 2.449.670.450 ; 152 ; 4.478.900.836 ; 190 ; 4.452.076.334 ; 342 ; 8.930.977.171 ; 1.921 ; 11.380.647.621 ;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 213 ; 1.066.562.257 ; 695 ; 217.412.314 ; 473 ; 1.943.402.357 ; 1.738 ; 3.590.393.442 ; 3.119 ; 6.817.770.371 ; 51 ; 2.131.651.659 ; 42 ; 2.049.046.516 ; 93 ; 4.180.698.175 ; 3.212 ; 10.998.468.546 ;
12;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 363 ; 796.854.285 ; 1.738 ; 594.514.746 ; 670 ; 931.554.801 ; 1.849 ; 1.119.995.515 ; 4.620 ; 3.442.919.346 ; 139 ; 2.709.129.386 ; 147 ; 2.780.389.763 ; 286 ; 5.489.519.149 ; 4.906 ; 8.932.438.495 ;
13;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 401 ; 665.315.413 ; 1.235 ; 205.265.929 ; 1.067 ; 1.583.236.633 ; 2.243 ; 1.251.823.566 ; 4.946 ; 3.705.641.541 ; 493 ; 1.967.969.134 ; 501 ; 3.082.645.329 ; 994 ; 5.050.614.463 ; 5.940 ; 8.756.256.003 ;
