Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Mar/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 11.763 ; 3.736.422.273 ; 50.827 ; 4.182.224.266 ; 47.724 ; 9.128.316.742 ; 80.372 ; 11.224.034.420 ; 190.686 ; 28.270.997.702 ; 2.077 ; 23.679.240.212 ; 1.840 ; 22.837.563.429 ; 3.917 ; 46.516.803.641 ; 194.603 ; 74.787.801.343 ;
2;33.479.023;BANCO CITIBANK S.A.; 4.793 ; 2.886.338.559 ; 18.862 ; 4.229.160.434 ; 26.184 ; 17.675.965.133 ; 39.901 ; 18.729.557.998 ; 89.740 ; 43.521.022.124 ; 885 ; 8.127.085.544 ; 887 ; 5.998.570.314 ; 1.772 ; 14.125.655.858 ; 91.512 ; 57.646.677.982 ;
3;60.746.948;BANCO BRADESCO S.A.; 14.228 ; 6.081.403.719 ; 27.501 ; 3.454.330.712 ; 72.763 ; 12.057.696.922 ; 40.032 ; 14.547.132.154 ; 154.524 ; 36.140.563.506 ; 1.721 ; 6.673.190.517 ; 1.811 ; 9.153.670.073 ; 3.532 ; 15.826.860.590 ; 158.056 ; 51.967.424.096 ;
4;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 6.766 ; 1.552.071.742 ; 24.112 ; 2.413.892.134 ; 23.333 ; 6.832.182.400 ; 43.251 ; 7.443.159.506 ; 97.462 ; 18.241.305.782 ; 936 ; 15.831.215.505 ; 919 ; 15.267.246.555 ; 1.855 ; 31.098.462.060 ; 99.317 ; 49.339.767.842 ;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 81 ; 191.967.023 ; 856 ; 89.432.373 ; 521 ; 2.941.571.012 ; 1.053 ; 2.593.333.194 ; 2.511 ; 5.816.303.602 ; 374 ; 19.341.211.104 ; 436 ; 20.858.268.790 ; 810 ; 40.199.479.895 ; 3.321 ; 46.015.783.497 ;
6;60.701.190;ITAÚ UNIBANCO S.A.; 19.587 ; 3.088.478.911 ; 45.189 ; 3.358.949.938 ; 152.311 ; 9.906.141.711 ; 81.419 ; 12.092.540.407 ; 298.506 ; 28.446.110.966 ; 688 ; 9.118.309.746 ; 602 ; 5.450.004.444 ; 1.290 ; 14.568.314.190 ; 299.796 ; 43.014.425.156 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 624 ; 2.214.258.801 ; 5.466 ; 1.694.957.577 ; 2.350 ; 11.668.013.059 ; 4.677 ; 12.301.578.523 ; 13.117 ; 27.878.807.960 ; 595 ; 5.701.596.968 ; 656 ; 7.310.003.955 ; 1.251 ; 13.011.600.923 ; 14.368 ; 40.890.408.883 ;
8;00.000.000;BANCO DO BRASIL S.A.; 24.257 ; 9.384.025.157 ; 33.605 ; 5.818.621.751 ; 55.719 ; 5.653.275.053 ; 107.964 ; 9.100.350.948 ; 221.545 ; 29.956.272.910 ; 834 ; 4.234.111.516 ; 837 ; 6.344.757.404 ; 1.671 ; 10.578.868.920 ; 223.216 ; 40.535.141.830 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 323 ; 1.402.760.407 ; 1.047 ; 497.283.993 ; 858 ; 6.169.630.164 ; 2.886 ; 7.987.870.084 ; 5.114 ; 16.057.544.647 ; 95 ; 4.057.841.947 ; 93 ; 3.891.540.046 ; 188 ; 7.949.381.993 ; 5.302 ; 24.006.926.640 ;
