Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.976 ; 1.497.694.213 ; 19.499 ; 1.553.423.144 ; 15.831 ; 3.428.421.489 ; 36.387 ; 3.917.642.907 ; 75.693 ; 10.397.181.753 ; 751 ; 7.690.038.736 ; 642 ; 7.118.188.013 ; 1.393 ; 14.808.226.749 ; 77.086 ; 25.205.408.502 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.562 ; 1.022.278.270 ; 7.224 ; 1.542.980.284 ; 9.022 ; 8.713.849.796 ; 17.233 ; 8.565.327.184 ; 35.041 ; 19.844.435.534 ; 350 ; 3.028.663.465 ; 359 ; 2.261.328.105 ; 709 ; 5.289.991.571 ; 35.750 ; 25.134.427.105 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 5.059 ; 2.402.105.240 ; 10.635 ; 1.346.557.472 ; 25.287 ; 4.403.121.118 ; 17.006 ; 5.441.080.086 ; 57.987 ; 13.592.863.915 ; 588 ; 3.248.833.715 ; 707 ; 6.050.842.294 ; 1.295 ; 9.299.676.009 ; 59.282 ; 22.892.539.924 ;;;;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 41 ; 44.046.835 ; 337 ; 36.556.593 ; 205 ; 1.462.232.572 ; 381 ; 1.069.577.230 ; 964 ; 2.612.413.230 ; 167 ; 9.236.896.005 ; 189 ; 9.545.280.616 ; 356 ; 18.782.176.622 ; 1.320 ; 21.394.589.851 ;;;;
5;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.474 ; 564.479.411 ; 9.351 ; 1.045.366.262 ; 8.192 ; 3.628.444.923 ; 18.011 ; 3.092.341.733 ; 38.028 ; 8.330.632.328 ; 375 ; 5.960.568.960 ; 384 ; 5.918.776.737 ; 759 ; 11.879.345.698 ; 38.787 ; 20.209.978.026 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 196 ; 369.836.941 ; 1.765 ; 451.504.451 ; 945 ; 5.865.441.988 ; 1.728 ; 6.061.754.543 ; 4.634 ; 12.748.537.923 ; 217 ; 3.416.406.097 ; 178 ; 2.361.316.740 ; 395 ; 5.777.722.837 ; 5.029 ; 18.526.260.760 ;;;;
7;60.701.190;ITAÚ UNIBANCO S.A.; 6.719 ; 1.116.471.529 ; 17.661 ; 1.282.945.881 ; 50.096 ; 4.128.823.627 ; 34.533 ; 5.972.144.729 ; 109.009 ; 12.500.385.766 ; 290 ; 3.758.155.673 ; 240 ; 1.951.588.044 ; 530 ; 5.709.743.717 ; 109.539 ; 18.210.129.482 ;;;;
8;00.000.000;BANCO DO BRASIL S.A.; 8.520 ; 3.325.182.449 ; 12.498 ; 2.169.496.312 ; 20.030 ; 2.986.486.672 ; 55.400 ; 4.540.341.692 ; 96.448 ; 13.021.507.124 ; 312 ; 2.025.412.980 ; 309 ; 3.152.505.457 ; 621 ; 5.177.918.437 ; 97.069 ; 18.199.425.561 ;;;;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 110 ; 336.198.150 ; 352 ; 279.871.678 ; 385 ; 4.226.227.807 ; 1.148 ; 4.397.476.641 ; 1.995 ; 9.239.774.276 ; 44 ; 1.926.190.288 ; 51 ; 1.842.493.529 ; 95 ; 3.768.683.818 ; 2.090 ; 13.008.458.094 ;;;;
10;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 5 ; 2.770.293 ;;; 331 ; 1.965.489.484 ; 379 ; 750.989.727 ; 715 ; 2.719.249.505 ; 130 ; 3.189.306.576 ; 150 ; 4.173.109.426 ; 280 ; 7.362.416.002 ; 995 ; 10.081.665.507 ;;;;
11;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 9 ; 11.292.416 ;;; 9 ; 11.292.416 ; 19 ; 5.000.000.000 ; 19 ; 5.000.000.000 ; 38 ; 10.000.000.000 ; 47 ; 10.011.292.416 ;;;;
12;30.306.294;BANCO BTG PACTUAL S.A.; 32 ; 149.251.419 ; 43 ; 2.896.595 ; 218 ; 407.851.506 ; 680 ; 503.626.787 ; 973 ; 1.063.626.306 ; 145 ; 4.039.888.814 ; 164 ; 4.721.544.837 ; 309 ; 8.761.433.651 ; 1.282 ; 9.825.059.957 ;;;;
13;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 197 ; 198.659.334 ; 644 ; 167.593.448 ; 617 ; 2.082.028.212 ; 1.303 ; 1.284.264.689 ; 2.761 ; 3.732.545.683 ; 256 ; 2.091.824.492 ; 261 ; 2.376.450.978 ; 517 ; 4.468.275.469 ; 3.278 ; 8.200.821.152 ;;;;
14;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 739 ; 1.897.224.201 ; 452 ; 1.873.316.772 ; 1.191 ; 3.770.540.973 ; 61 ; 1.567.321.039 ; 49 ; 1.529.339.951 ; 110 ; 3.096.660.990 ; 1.301 ; 6.867.201.963 ;;;;
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 153 ; 29.069.864 ; 536 ; 88.490.380 ; 537 ; 446.500.409 ; 624 ; 492.357.768 ; 1.850 ; 1.056.418.421 ; 382 ; 2.177.424.940 ; 386 ; 2.069.044.988 ; 768 ; 4.246.469.928 ; 2.618 ; 5.302.888.349 ;;;;
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 298 ; 1.294.698.276 ; 183 ; 888.496.975 ; 481 ; 2.183.195.251 ; 13 ; 392.815.544 ; 55 ; 1.386.689.492 ; 68 ; 1.779.505.037 ; 549 ; 3.962.700.287 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 136 ; 247.943.055 ; 1.155 ; 159.615.834 ; 318 ; 463.095.029 ; 1.165 ; 694.229.870 ; 2.774 ; 1.564.883.788 ; 301 ; 1.213.155.273 ; 796 ; 939.112.782 ; 1.097 ; 2.152.268.055 ; 3.871 ; 3.717.151.844 ;;;;
18;00.360.305;CAIXA ECONOMICA FEDERAL; 259 ; 61.755.706 ; 207 ; 5.870.078 ; 4.878 ; 109.655.783 ; 1.599 ; 1.457.225.072 ; 6.943 ; 1.634.506.639 ; 75 ; 1.419.754.905 ; 69 ; 128.672.725 ; 144 ; 1.548.427.630 ; 7.087 ; 3.182.934.268 ;;;;
