Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Abr/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 16.063 ; 5.898.941.135 ; 68.261 ; 5.976.047.809 ; 66.739 ; 14.919.966.244 ; 108.983 ; 15.405.989.515 ; 260.046 ; 42.200.944.703 ; 2.776 ; 31.694.508.577 ; 2.561 ; 31.241.399.369 ; 5.337 ; 62.935.907.946 ; 265.383 ; 105.136.852.648 ;
2;33.479.023;BANCO CITIBANK S.A.; 6.460 ; 3.865.488.392 ; 25.020 ; 5.595.970.431 ; 34.995 ; 23.604.297.829 ; 53.746 ; 25.372.313.690 ; 120.221 ; 58.438.070.343 ; 1.220 ; 11.989.679.080 ; 1.191 ; 8.208.388.498 ; 2.411 ; 20.198.067.579 ; 122.632 ; 78.636.137.922 ;
3;60.746.948;BANCO BRADESCO S.A.; 19.583 ; 8.614.312.318 ; 37.785 ; 4.819.770.635 ; 99.113 ; 16.699.794.370 ; 53.934 ; 19.599.577.721 ; 210.415 ; 49.733.455.044 ; 2.350 ; 10.126.149.740 ; 2.409 ; 11.973.688.140 ; 4.759 ; 22.099.837.880 ; 215.174 ; 71.833.292.923 ;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 114 ; 224.274.667 ; 1.021 ; 108.945.157 ; 705 ; 3.606.787.943 ; 1.347 ; 3.264.425.899 ; 3.187 ; 7.204.433.666 ; 536 ; 27.143.653.812 ; 589 ; 28.606.065.057 ; 1.125 ; 55.749.718.869 ; 4.312 ; 62.954.152.535 ;
5;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 9.055 ; 2.063.993.479 ; 32.141 ; 3.092.568.558 ; 31.229 ; 9.029.462.183 ; 57.102 ; 9.984.933.240 ; 129.527 ; 24.170.957.460 ; 1.136 ; 19.631.699.001 ; 1.094 ; 17.857.795.298 ; 2.230 ; 37.489.494.299 ; 131.757 ; 61.660.451.759 ;
6;60.701.190;ITAÚ UNIBANCO S.A.; 26.524 ; 4.205.974.551 ; 59.650 ; 4.437.102.194 ; 196.423 ; 13.213.922.730 ; 109.384 ; 16.213.280.639 ; 391.981 ; 38.070.280.115 ; 948 ; 11.153.891.189 ; 865 ; 7.181.832.349 ; 1.813 ; 18.335.723.538 ; 393.794 ; 56.406.003.653 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 770 ; 2.645.413.583 ; 7.319 ; 2.278.539.524 ; 3.267 ; 17.363.172.389 ; 6.246 ; 15.194.385.045 ; 17.602 ; 37.481.510.541 ; 773 ; 7.462.168.292 ; 891 ; 10.662.881.962 ; 1.664 ; 18.125.050.254 ; 19.266 ; 55.606.560.795 ;
8;00.000.000;BANCO DO BRASIL S.A.; 32.701 ; 13.067.489.783 ; 42.736 ; 7.083.756.501 ; 74.246 ; 7.024.261.579 ; 149.637 ; 11.500.782.351 ; 299.320 ; 38.676.290.214 ; 1.117 ; 4.880.026.990 ; 1.131 ; 8.330.838.058 ; 2.248 ; 13.210.865.048 ; 301.568 ; 51.887.155.262 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 476 ; 2.193.711.869 ; 1.309 ; 638.242.982 ; 1.159 ; 8.521.676.374 ; 3.553 ; 9.889.196.868 ; 6.497 ; 21.242.828.093 ; 111 ; 4.307.449.947 ; 137 ; 5.085.199.588 ; 248 ; 9.392.649.535 ; 6.745 ; 30.635.477.629 ;
