Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.300 ; 2.162.518.862 ; 17.442 ; 1.795.664.486 ; 19.024 ; 5.791.778.425 ; 28.616 ; 4.182.151.557 ; 69.382 ; 13.932.113.329 ; 699 ; 8.015.268.365 ; 721 ; 8.403.835.940 ; 1.420 ; 16.419.104.304 ; 70.802 ; 30.351.217.633 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.667 ; 979.149.833 ; 6.159 ; 1.366.860.588 ; 8.815 ; 5.928.423.872 ; 13.850 ; 6.642.943.893 ; 30.491 ; 14.917.378.187 ; 335 ; 3.862.593.536 ; 304 ; 2.209.818.184 ; 639 ; 6.072.411.720 ; 31.130 ; 20.989.789.907 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 5.354 ; 2.532.888.799 ; 10.286 ; 1.365.460.044 ; 26.352 ; 4.642.117.257 ; 13.903 ; 5.052.451.580 ; 55.895 ; 13.592.917.678 ; 629 ; 3.452.959.223 ; 598 ; 2.820.018.067 ; 1.227 ; 6.272.977.290 ; 57.122 ; 19.865.894.968 ;;;;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 33 ; 32.307.644 ; 165 ; 19.512.784 ; 184 ; 665.216.931 ; 294 ; 671.092.705 ; 676 ; 1.388.130.064 ; 162 ; 7.802.442.708 ; 153 ; 7.747.796.267 ; 315 ; 15.550.238.975 ; 991 ; 16.938.369.038 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 146 ; 431.154.781 ; 1.853 ; 583.581.947 ; 917 ; 5.695.159.330 ; 1.569 ; 2.892.806.522 ; 4.485 ; 9.602.702.581 ; 178 ; 1.760.571.324 ; 235 ; 3.352.878.006 ; 413 ; 5.113.449.331 ; 4.898 ; 14.716.151.912 ;;;;
6;60.701.190;ITAÚ UNIBANCO S.A.; 6.939 ; 1.117.638.913 ; 14.463 ; 1.078.676.829 ; 44.115 ; 3.307.815.881 ; 27.964 ; 4.120.218.645 ; 93.481 ; 9.624.350.268 ; 260 ; 2.035.581.443 ; 263 ; 1.731.827.905 ; 523 ; 3.767.409.348 ; 94.004 ; 13.391.759.616 ;;;;
7;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.289 ; 511.921.737 ; 8.033 ; 678.995.628 ; 7.896 ; 2.197.279.783 ; 13.851 ; 2.541.773.734 ; 32.069 ; 5.929.970.882 ; 200 ; 3.800.483.496 ; 175 ; 2.590.548.744 ; 375 ; 6.391.032.239 ; 32.444 ; 12.321.003.122 ;;;;
8;00.000.000;BANCO DO BRASIL S.A.; 8.444 ; 3.683.465.210 ; 9.135 ; 1.265.266.714 ; 18.527 ; 1.372.986.484 ; 41.674 ; 2.402.435.786 ; 77.780 ; 8.724.154.193 ; 283 ; 645.915.474 ; 294 ; 1.986.080.654 ; 577 ; 2.631.996.128 ; 78.357 ; 11.356.150.321 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 201 ; 259.681.998 ; 629 ; 130.455.480 ; 778 ; 1.444.421.848 ; 1.343 ; 1.599.317.359 ; 2.951 ; 3.433.876.685 ; 302 ; 1.626.171.066 ; 323 ; 1.897.331.386 ; 625 ; 3.523.502.452 ; 3.576 ; 6.957.379.137 ;;;;
