Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Mai/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 21.151 ; 8.616.404.107 ; 86.148 ; 7.585.048.488 ; 83.365 ; 18.276.204.702 ; 135.124 ; 19.698.879.687 ; 325.788 ; 54.176.536.983 ; 3.397 ; 39.331.931.675 ; 3.152 ; 38.110.189.915 ; 6.549 ; 77.442.121.590 ; 332.337 ; 131.618.658.573 ;
2;33.479.023;BANCO CITIBANK S.A.; 8.050 ; 4.932.107.287 ; 30.939 ; 6.899.926.612 ; 43.990 ; 28.872.221.721 ; 67.154 ; 32.099.143.995 ; 150.133 ; 72.803.399.616 ; 1.461 ; 14.746.272.493 ; 1.407 ; 9.608.569.907 ; 2.868 ; 24.354.842.400 ; 153.001 ; 97.158.242.016 ;
3;60.746.948;BANCO BRADESCO S.A.; 25.575 ; 12.201.571.990 ; 48.363 ; 6.569.316.472 ; 124.372 ; 17.902.850.351 ; 67.638 ; 21.475.174.191 ; 265.948 ; 58.148.913.004 ; 2.973 ; 12.061.703.017 ; 3.034 ; 15.121.968.628 ; 6.007 ; 27.183.671.645 ; 271.955 ; 85.332.584.649 ;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 144 ; 267.566.653 ; 1.273 ; 139.481.867 ; 813 ; 4.074.528.959 ; 1.620 ; 3.860.618.560 ; 3.850 ; 8.342.196.039 ; 656 ; 33.559.883.100 ; 701 ; 34.875.527.086 ; 1.357 ; 68.435.410.186 ; 5.207 ; 76.777.606.225 ;
5;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 11.542 ; 2.750.992.245 ; 39.720 ; 3.711.226.261 ; 39.452 ; 10.421.628.504 ; 70.328 ; 12.619.327.063 ; 161.042 ; 29.503.174.073 ; 1.373 ; 22.974.106.868 ; 1.313 ; 20.396.912.163 ; 2.686 ; 43.371.019.031 ; 163.728 ; 72.874.193.104 ;
6;60.701.190;ITAÚ UNIBANCO S.A.; 34.428 ; 5.445.731.322 ; 74.080 ; 5.530.787.962 ; 245.049 ; 16.751.151.303 ; 138.260 ; 23.145.311.059 ; 491.817 ; 50.872.981.647 ; 1.184 ; 13.163.812.432 ; 1.097 ; 8.352.722.676 ; 2.281 ; 21.516.535.107 ; 494.098 ; 72.389.516.754 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 969 ; 3.134.805.661 ; 9.118 ; 2.723.931.563 ; 4.023 ; 19.977.986.750 ; 7.794 ; 19.481.445.919 ; 21.904 ; 45.318.169.893 ; 955 ; 9.770.039.685 ; 1.057 ; 12.017.588.874 ; 2.012 ; 21.787.628.560 ; 23.916 ; 67.105.798.452 ;
8;00.000.000;BANCO DO BRASIL S.A.; 42.532 ; 17.419.892.995 ; 52.658 ; 8.556.471.989 ; 93.489 ; 8.667.068.524 ; 188.285 ; 13.205.398.329 ; 376.964 ; 47.848.831.838 ; 1.403 ; 5.510.905.990 ; 1.455 ; 12.099.322.235 ; 2.858 ; 17.610.228.224 ; 379.822 ; 65.459.060.062 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 660 ; 2.912.670.289 ; 1.660 ; 807.520.012 ; 1.567 ; 9.779.687.048 ; 4.675 ; 11.490.381.692 ; 8.562 ; 24.990.259.041 ; 156 ; 5.336.173.955 ; 164 ; 5.675.466.998 ; 320 ; 11.011.640.954 ; 8.882 ; 36.001.899.995 ;
10;30.306.294;BANCO BTG PACTUAL S.A.; 121 ; 641.644.226 ; 119 ; 16.566.933 ; 1.556 ; 2.240.521.048 ; 2.199 ; 2.065.034.910 ; 3.995 ; 4.963.767.118 ; 477 ; 14.522.659.941 ; 514 ; 14.869.136.427 ; 991 ; 29.391.796.367 ; 4.986 ; 34.355.563.485 ;
11;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 18 ; 12.304.461 ;;; 1.354 ; 5.133.049.003 ; 1.566 ; 3.214.949.463 ; 2.938 ; 8.360.302.928 ; 689 ; 10.795.280.622 ; 895 ; 12.931.778.320 ; 1.584 ; 23.727.058.942 ; 4.522 ; 32.087.361.870 ;
