Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Jun/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 25.821 ; 11.357.940.483 ; 107.601 ; 9.610.667.111 ; 102.459 ; 22.087.418.068 ; 169.320 ; 24.812.108.635 ; 405.201 ; 67.868.134.297 ; 4.201 ; 48.097.494.522 ; 3.886 ; 46.524.863.052 ; 8.087 ; 94.622.357.573 ; 413.288 ; 162.490.491.870 ;
2;33.479.023;BANCO CITIBANK S.A.; 9.720 ; 5.779.964.897 ; 38.125 ; 8.351.371.248 ; 52.745 ; 36.477.321.564 ; 82.718 ; 40.670.208.501 ; 183.308 ; 91.278.866.211 ; 1.720 ; 17.391.579.725 ; 1.698 ; 12.083.287.214 ; 3.418 ; 29.474.866.939 ; 186.726 ; 120.753.733.150 ;
3;60.746.948;BANCO BRADESCO S.A.; 31.027 ; 14.969.349.585 ; 61.173 ; 8.353.443.294 ; 150.382 ; 19.201.307.604 ; 85.719 ; 28.337.923.590 ; 328.301 ; 70.862.024.072 ; 3.689 ; 17.042.328.044 ; 3.706 ; 18.085.684.307 ; 7.395 ; 35.128.012.351 ; 335.696 ; 105.990.036.424 ;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 179 ; 303.877.576 ; 1.407 ; 152.657.333 ; 974 ; 5.139.971.844 ; 1.893 ; 4.806.412.324 ; 4.453 ; 10.402.919.078 ; 784 ; 40.061.224.075 ; 828 ; 41.512.550.927 ; 1.612 ; 81.573.775.002 ; 6.065 ; 91.976.694.080 ;
5;60.701.190;ITAÚ UNIBANCO S.A.; 41.346 ; 6.959.372.113 ; 93.236 ; 6.954.629.343 ; 291.097 ; 20.128.393.371 ; 172.427 ; 27.023.252.300 ; 598.106 ; 61.065.647.127 ; 1.470 ; 16.781.316.773 ; 1.360 ; 10.894.094.033 ; 2.830 ; 27.675.410.806 ; 600.936 ; 88.741.057.934 ;
6;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 13.897 ; 3.198.432.595 ; 48.239 ; 4.448.445.914 ; 47.214 ; 13.568.550.124 ; 85.776 ; 14.760.564.619 ; 195.126 ; 35.975.993.252 ; 1.689 ; 27.115.907.267 ; 1.636 ; 24.213.679.435 ; 3.325 ; 51.329.586.702 ; 198.451 ; 87.305.579.954 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 1.189 ; 3.425.050.186 ; 11.673 ; 3.285.697.427 ; 4.875 ; 24.013.044.035 ; 9.529 ; 24.610.924.117 ; 27.266 ; 55.334.715.765 ; 1.205 ; 13.811.843.066 ; 1.271 ; 14.808.357.796 ; 2.476 ; 28.620.200.862 ; 29.742 ; 83.954.916.627 ;
8;00.000.000;BANCO DO BRASIL S.A.; 50.854 ; 20.581.933.535 ; 63.676 ; 10.220.684.639 ; 113.371 ; 9.955.865.274 ; 240.093 ; 16.886.536.153 ; 467.994 ; 57.645.019.601 ; 1.807 ; 8.505.122.577 ; 1.840 ; 14.085.142.104 ; 3.647 ; 22.590.264.681 ; 471.641 ; 80.235.284.282 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 787 ; 3.333.321.859 ; 1.998 ; 971.825.572 ; 1.931 ; 12.197.910.483 ; 6.324 ; 13.818.166.850 ; 11.040 ; 30.321.224.765 ; 221 ; 7.185.531.076 ; 237 ; 7.361.312.918 ; 458 ; 14.546.843.993 ; 11.498 ; 44.868.068.758 ;
