Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Jul/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 30.588 ; 13.586.741.167 ; 126.167 ; 11.162.616.938 ; 117.969 ; 25.544.479.951 ; 198.678 ; 29.038.408.760 ; 473.402 ; 79.332.246.816 ; 4.793 ; 56.217.037.874 ; 4.461 ; 54.019.009.708 ; 9.254 ; 110.236.047.582 ; 482.656 ; 189.568.294.398 ;
2;33.479.023;BANCO CITIBANK S.A.; 11.184 ; 6.750.657.867 ; 44.416 ; 9.858.652.797 ; 61.536 ; 42.269.358.562 ; 96.033 ; 46.340.459.927 ; 213.169 ; 105.219.129.152 ; 2.001 ; 22.069.796.822 ; 1.944 ; 14.346.882.919 ; 3.945 ; 36.416.679.741 ; 217.114 ; 141.635.808.894 ;
3;60.746.948;BANCO BRADESCO S.A.; 36.718 ; 17.648.778.865 ; 72.784 ; 10.010.181.604 ; 177.200 ; 20.028.310.604 ; 101.931 ; 29.938.430.388 ; 388.633 ; 77.625.701.462 ; 4.445 ; 21.928.244.306 ; 4.471 ; 23.824.856.775 ; 8.916 ; 45.753.101.081 ; 397.549 ; 123.378.802.543 ;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 198 ; 323.382.731 ; 1.717 ; 179.196.112 ; 1.093 ; 5.665.464.167 ; 2.207 ; 5.338.177.769 ; 5.215 ; 11.506.220.779 ; 954 ; 46.975.911.515 ; 983 ; 47.912.667.626 ; 1.937 ; 94.888.579.141 ; 7.152 ; 106.394.799.919 ;
5;60.701.190;ITAÚ UNIBANCO S.A.; 48.750 ; 8.245.287.368 ; 109.347 ; 8.234.154.899 ; 344.832 ; 22.968.809.904 ; 201.534 ; 29.967.856.422 ; 704.463 ; 69.416.108.594 ; 1.662 ; 18.631.341.052 ; 1.580 ; 13.961.097.760 ; 3.242 ; 32.592.438.812 ; 707.705 ; 102.008.547.406 ;
6;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 16.196 ; 3.546.684.631 ; 55.946 ; 5.083.173.014 ; 54.694 ; 14.953.149.871 ; 97.855 ; 16.880.653.227 ; 224.691 ; 40.463.660.743 ; 1.926 ; 31.233.013.955 ; 1.867 ; 27.128.568.984 ; 3.793 ; 58.361.582.939 ; 228.484 ; 98.825.243.682 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 1.380 ; 3.971.818.602 ; 13.495 ; 3.631.061.422 ; 5.745 ; 27.749.464.692 ; 11.150 ; 27.370.323.675 ; 31.770 ; 62.722.668.390 ; 1.398 ; 15.158.194.475 ; 1.500 ; 17.235.722.239 ; 2.898 ; 32.393.916.713 ; 34.668 ; 95.116.585.103 ;
8;00.000.000;BANCO DO BRASIL S.A.; 59.396 ; 23.527.395.896 ; 73.070 ; 11.688.480.859 ; 132.410 ; 12.714.313.086 ; 281.098 ; 19.171.907.206 ; 545.974 ; 67.102.097.047 ; 2.129 ; 9.361.473.366 ; 2.173 ; 16.886.209.422 ; 4.302 ; 26.247.682.788 ; 550.276 ; 93.349.779.835 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 922 ; 3.984.205.219 ; 2.273 ; 1.049.246.397 ; 2.219 ; 13.718.772.750 ; 7.258 ; 15.478.129.228 ; 12.672 ; 34.230.353.594 ; 239 ; 7.585.773.126 ; 274 ; 8.578.286.718 ; 513 ; 16.164.059.843 ; 13.185 ; 50.394.413.437 ;
