Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Ago/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 35.917 ; 15.868.891.829 ; 147.157 ; 13.295.125.722 ; 136.807 ; 29.647.461.566 ; 227.639 ; 34.278.357.201 ; 547.520 ; 93.089.836.318 ; 5.393 ; 63.094.159.869 ; 5.039 ; 61.051.598.346 ; 10.432 ; 124.145.758.215 ; 557.952 ; 217.235.594.533 ;
2;33.479.023;BANCO CITIBANK S.A.; 12.726 ; 7.480.495.349 ; 51.612 ; 11.372.741.744 ; 71.287 ; 48.188.156.297 ; 111.376 ; 53.439.568.760 ; 247.001 ; 120.480.962.149 ; 2.234 ; 24.435.494.149 ; 2.182 ; 15.935.809.724 ; 4.416 ; 40.371.303.873 ; 251.417 ; 160.852.266.022 ;
3;60.746.948;BANCO BRADESCO S.A.; 43.232 ; 19.732.586.637 ; 84.793 ; 11.596.581.598 ; 217.292 ; 22.721.792.921 ; 117.857 ; 32.458.023.116 ; 463.174 ; 86.508.984.272 ; 5.113 ; 23.771.119.770 ; 5.116 ; 26.056.367.967 ; 10.229 ; 49.827.487.737 ; 473.403 ; 136.336.472.009 ;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 218 ; 379.182.220 ; 2.018 ; 216.077.561 ; 1.222 ; 6.325.420.073 ; 2.538 ; 6.095.586.764 ; 5.996 ; 13.016.266.618 ; 1.112 ; 50.899.857.805 ; 1.134 ; 51.677.148.602 ; 2.246 ; 102.577.006.407 ; 8.242 ; 115.593.273.024 ;
5;60.701.190;ITAÚ UNIBANCO S.A.; 56.997 ; 9.579.161.482 ; 126.466 ; 9.584.907.323 ; 402.865 ; 26.292.731.881 ; 231.502 ; 33.129.357.521 ; 817.830 ; 78.586.158.209 ; 1.862 ; 19.770.692.911 ; 1.806 ; 16.046.079.126 ; 3.668 ; 35.816.772.037 ; 821.498 ; 114.402.930.245 ;
6;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 18.724 ; 3.936.684.758 ; 64.557 ; 5.735.318.486 ; 62.595 ; 15.788.907.010 ; 110.271 ; 20.021.880.851 ; 256.147 ; 45.482.791.105 ; 2.261 ; 35.053.897.250 ; 2.136 ; 28.803.255.485 ; 4.397 ; 63.857.152.735 ; 260.544 ; 109.339.943.840 ;
7;33.172.537;BANCO J.P. MORGAN S.A.; 1.555 ; 4.606.925.507 ; 15.491 ; 4.269.162.225 ; 6.705 ; 33.171.937.316 ; 12.885 ; 30.612.010.943 ; 36.636 ; 72.660.035.990 ; 1.620 ; 17.007.315.367 ; 1.732 ; 19.209.940.579 ; 3.352 ; 36.217.255.946 ; 39.988 ; 108.877.291.936 ;
8;00.000.000;BANCO DO BRASIL S.A.; 68.965 ; 26.370.026.126 ; 82.415 ; 13.025.205.455 ; 156.376 ; 13.856.649.120 ; 319.517 ; 21.933.171.883 ; 627.273 ; 75.185.052.584 ; 2.431 ; 9.961.746.674 ; 2.491 ; 19.078.841.639 ; 4.922 ; 29.040.588.313 ; 632.195 ; 104.225.640.898 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.080 ; 4.330.463.731 ; 2.610 ; 1.192.288.389 ; 2.549 ; 15.808.706.408 ; 9.001 ; 17.744.214.295 ; 15.240 ; 39.075.672.822 ; 296 ; 9.294.323.163 ; 334 ; 10.314.662.680 ; 630 ; 19.608.985.842 ; 15.870 ; 58.684.658.665 ;
10;30.306.294;BANCO BTG PACTUAL S.A.; 228 ; 979.078.423 ; 170 ; 21.273.408 ; 2.487 ; 3.144.823.053 ; 3.438 ; 3.352.582.616 ; 6.323 ; 7.497.757.501 ; 747 ; 22.951.435.223 ; 823 ; 24.344.861.598 ; 1.570 ; 47.296.296.821 ; 7.893 ; 54.794.054.322 ;
11;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 19 ; 46.304.461 ;;; 2.003 ; 8.551.910.262 ; 2.110 ; 5.464.473.194 ; 4.132 ; 14.062.687.917 ; 1.213 ; 17.922.920.635 ; 1.574 ; 21.297.713.465 ; 2.787 ; 39.220.634.100 ; 6.919 ; 53.283.322.017 ;
12;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.643 ; 2.267.428.083 ; 4.875 ; 1.095.072.763 ; 5.425 ; 12.997.840.586 ; 10.135 ; 10.883.727.230 ; 22.078 ; 27.244.068.662 ; 2.327 ; 10.251.511.538 ; 2.421 ; 13.256.345.926 ; 4.748 ; 23.507.857.463 ; 26.826 ; 50.751.926.125 ;
13;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 65 ; 125.786.789 ;;; 65 ; 125.786.789 ; 60 ; 22.370.000.000 ; 60 ; 22.370.000.000 ; 120 ; 44.740.000.000 ; 185 ; 44.865.786.789 ;
14;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.194 ; 451.016.274 ; 3.485 ; 600.917.996 ; 4.134 ; 3.785.120.389 ; 4.077 ; 2.029.539.640 ; 12.890 ; 6.866.594.299 ; 3.459 ; 13.082.885.463 ; 3.264 ; 14.698.848.367 ; 6.723 ; 27.781.733.830 ; 19.613 ; 34.648.328.128 ;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.356 ; 2.943.898.093 ; 6.310 ; 1.701.406.726 ; 2.740 ; 5.699.793.681 ; 8.201 ; 5.607.659.833 ; 18.607 ; 15.952.758.332 ; 515 ; 8.610.054.085 ; 550 ; 9.847.912.334 ; 1.065 ; 18.457.966.420 ; 19.672 ; 34.410.724.752 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 4.291 ; 7.176.843.877 ; 3.509 ; 9.514.316.048 ; 7.801 ; 16.730.159.925 ; 312 ; 7.398.317.324 ; 236 ; 5.025.116.357 ; 548 ; 12.423.433.681 ; 8.349 ; 29.153.593.606 ;
