Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Set/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 40.802 ; 17.905.391.578 ; 166.532 ; 15.306.674.819 ; 151.945 ; 36.077.471.287 ; 251.605 ; 39.270.128.206 ; 610.884 ; 108.559.665.890 ; 5.980 ; 72.876.656.753 ; 5.722 ; 73.717.019.892 ; 11.702 ; 146.593.676.645 ; 622.586 ; 255.153.342.535 ;
2;33.479.023;BANCO CITIBANK S.A.; 14.347 ; 8.471.494.386 ; 58.593 ; 12.869.719.539 ; 80.303 ; 54.347.906.368 ; 125.309 ; 59.755.109.380 ; 278.552 ; 135.444.229.672 ; 2.481 ; 27.093.408.257 ; 2.409 ; 17.976.499.398 ; 4.890 ; 45.069.907.655 ; 283.442 ; 180.514.137.327 ;
3;60.746.948;BANCO BRADESCO S.A.; 48.491 ; 21.395.262.024 ; 94.367 ; 12.830.352.581 ; 243.887 ; 25.057.932.738 ; 130.463 ; 35.062.097.581 ; 517.208 ; 94.345.644.925 ; 5.635 ; 26.539.671.784 ; 5.682 ; 28.742.027.750 ; 11.317 ; 55.281.699.534 ; 528.525 ; 149.627.344.459 ;
4;60.701.190;ITAÚ UNIBANCO S.A.; 64.678 ; 10.888.220.039 ; 143.980 ; 11.013.350.353 ; 443.641 ; 30.297.041.189 ; 259.407 ; 37.446.487.423 ; 911.706 ; 89.645.099.004 ; 2.113 ; 21.305.827.346 ; 2.053 ; 17.237.301.795 ; 4.166 ; 38.543.129.141 ; 915.872 ; 128.188.228.145 ;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 250 ; 421.154.608 ; 2.207 ; 245.220.586 ; 1.350 ; 7.137.692.299 ; 2.802 ; 6.893.357.788 ; 6.609 ; 14.697.425.281 ; 1.261 ; 55.073.613.201 ; 1.296 ; 56.490.707.871 ; 2.557 ; 111.564.321.073 ; 9.166 ; 126.261.746.354 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 1.706 ; 4.897.139.626 ; 17.384 ; 4.804.912.478 ; 7.543 ; 38.301.291.379 ; 14.487 ; 38.017.852.610 ; 41.120 ; 86.021.196.093 ; 1.856 ; 19.509.512.929 ; 1.937 ; 20.703.003.146 ; 3.793 ; 40.212.516.075 ; 44.913 ; 126.233.712.168 ;
7;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 20.996 ; 4.307.949.915 ; 72.237 ; 6.379.010.996 ; 69.788 ; 17.056.815.764 ; 121.808 ; 22.885.507.137 ; 284.829 ; 50.629.283.812 ; 2.525 ; 38.851.727.801 ; 2.337 ; 30.892.578.186 ; 4.862 ; 69.744.305.987 ; 289.691 ; 120.373.589.799 ;
8;00.000.000;BANCO DO BRASIL S.A.; 77.381 ; 29.015.119.495 ; 91.508 ; 14.814.148.059 ; 173.318 ; 15.010.910.166 ; 347.819 ; 23.544.827.553 ; 690.026 ; 82.385.005.272 ; 2.693 ; 11.156.806.353 ; 2.758 ; 20.877.059.547 ; 5.451 ; 32.033.865.900 ; 695.477 ; 114.418.871.172 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.242 ; 4.903.386.382 ; 3.011 ; 1.327.952.830 ; 2.850 ; 17.254.975.569 ; 10.223 ; 19.332.418.934 ; 17.326 ; 42.818.733.715 ; 323 ; 10.270.427.474 ; 377 ; 11.687.667.508 ; 700 ; 21.958.094.982 ; 18.026 ; 64.776.828.697 ;
10;30.306.294;BANCO BTG PACTUAL S.A.; 287 ; 1.098.340.364 ; 186 ; 42.765.615 ; 2.742 ; 3.517.255.652 ; 3.780 ; 3.504.954.507 ; 6.995 ; 8.163.316.138 ; 840 ; 26.357.551.179 ; 924 ; 27.853.075.518 ; 1.764 ; 54.210.626.697 ; 8.759 ; 62.373.942.835 ;
11;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 20 ; 47.097.206 ;;; 2.147 ; 8.872.598.068 ; 2.283 ; 6.285.027.020 ; 4.450 ; 15.204.722.294 ; 1.481 ; 21.256.877.056 ; 1.788 ; 24.151.912.273 ; 3.269 ; 45.408.789.329 ; 7.719 ; 60.613.511.623 ;
12;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.883 ; 2.533.802.483 ; 5.623 ; 1.283.676.934 ; 6.122 ; 14.422.277.561 ; 11.254 ; 12.213.814.389 ; 24.882 ; 30.453.571.368 ; 2.649 ; 11.534.621.721 ; 2.753 ; 14.815.790.323 ; 5.402 ; 26.350.412.044 ; 30.284 ; 56.803.983.412 ;
13;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 73 ; 142.322.416 ;;; 73 ; 142.322.416 ; 71 ; 25.275.000.000 ; 71 ; 25.275.000.000 ; 142 ; 50.550.000.000 ; 215 ; 50.692.322.416 ;
14;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.485 ; 3.244.495.057 ; 6.980 ; 1.933.465.865 ; 3.061 ; 6.026.314.832 ; 9.361 ; 6.254.460.624 ; 20.887 ; 17.458.736.379 ; 606 ; 10.639.659.578 ; 667 ; 11.945.319.427 ; 1.273 ; 22.584.979.004 ; 22.160 ; 40.043.715.384 ;
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.329 ; 486.238.633 ; 3.962 ; 683.001.514 ; 4.572 ; 4.146.332.689 ; 4.548 ; 2.464.073.189 ; 14.411 ; 7.779.646.026 ; 3.950 ; 14.740.515.151 ; 3.716 ; 16.486.520.490 ; 7.666 ; 31.227.035.641 ; 22.077 ; 39.006.681.666 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 4.801 ; 9.055.563.995 ; 4.025 ; 12.362.337.435 ; 8.827 ; 21.456.901.430 ; 358 ; 8.750.409.571 ; 293 ; 6.149.053.574 ; 651 ; 14.899.463.146 ; 9.478 ; 36.356.364.575 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.992 ; 7.137.380.423 ; 1.720 ; 8.354.145.287 ; 3.712 ; 15.491.525.710 ; 216 ; 7.781.270.521 ; 225 ; 6.961.573.069 ; 441 ; 14.742.843.590 ; 4.153 ; 30.234.369.300 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.303 ; 2.684.794.518 ; 10.367 ; 1.618.365.152 ; 2.640 ; 3.765.109.621 ; 9.963 ; 6.387.053.838 ; 24.273 ; 14.455.323.129 ; 2.749 ; 8.543.153.716 ; 5.882 ; 7.055.362.903 ; 8.631 ; 15.598.516.620 ; 32.904 ; 30.053.839.749 ;
19;58.160.789;BANCO SAFRA S.A.; 1.553 ; 889.256.035 ; 7.136 ; 772.356.382 ; 7.378 ; 2.080.994.962 ; 18.432 ; 2.569.462.889 ; 34.499 ; 6.312.070.269 ; 1.300 ; 6.768.109.726 ; 1.256 ; 6.258.850.372 ; 2.556 ; 13.026.960.098 ; 37.055 ; 19.339.030.367 ;
20;61.820.817;BANCO PAULISTA S.A.; 1.028 ; 554.766.024 ; 3.188 ; 227.843.164 ; 6.255 ; 930.480.759 ; 9.697 ; 994.369.119 ; 20.168 ; 2.707.459.067 ; 10.808 ; 4.959.983.203 ; 87.673 ; 5.245.899.730 ; 98.481 ; 10.205.882.933 ; 118.649 ; 12.913.342.000 ;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 118 ; 326.574.051 ; 713 ; 277.153.153 ; 620 ; 1.384.254.828 ; 580 ; 792.257.966 ; 2.031 ; 2.780.239.998 ; 1.054 ; 4.198.033.942 ; 1.228 ; 4.816.341.495 ; 2.282 ; 9.014.375.437 ; 4.313 ; 11.794.615.435 ;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 2.544 ; 1.620.623.050 ; 1.890 ; 78.607.875 ; 43.668 ; 748.731.618 ; 11.926 ; 2.505.959.517 ; 60.028 ; 4.953.922.060 ; 835 ; 2.705.012.563 ; 1.051 ; 2.453.625.311 ; 1.886 ; 5.158.637.874 ; 61.914 ; 10.112.559.934 ;
23;49.336.860;ING BANK N.V.; 263 ; 1.311.248.242 ; 57 ; 82.086.855 ; 102 ; 448.515.793 ; 653 ; 488.107.388 ; 1.075 ; 2.329.958.277 ; 149 ; 2.863.572.999 ; 185 ; 4.057.898.161 ; 334 ; 6.921.471.160 ; 1.409 ; 9.251.429.437 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 78 ; 618.472.012 ; 4 ; 8.139.247 ; 192 ; 503.332.985 ; 452 ; 216.655.590 ; 726 ; 1.346.599.835 ; 541 ; 3.201.181.409 ; 595 ; 4.098.526.595 ; 1.136 ; 7.299.708.004 ; 1.862 ; 8.646.307.839 ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.285 ; 348.494.318 ; 3.953 ; 543.427.033 ; 3.143 ; 2.432.070.103 ; 4.386 ; 1.148.022.130 ; 12.767 ; 4.472.013.584 ; 483 ; 1.243.984.324 ; 644 ; 2.333.154.683 ; 1.127 ; 3.577.139.007 ; 13.894 ; 8.049.152.591 ;
26;71.027.866;BANCO BONSUCESSO S.A.; 100 ; 7.367.660 ; 100 ; 8.578.204 ; 369 ; 79.827.883 ; 1.665 ; 70.615.040 ; 2.234 ; 166.388.786 ; 2.173 ; 3.736.738.077 ; 4.761 ; 3.733.109.730 ; 6.934 ; 7.469.847.808 ; 9.168 ; 7.636.236.593 ;
27;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 460 ; 849.920.502 ;;; 742 ; 476.037.084 ; 598 ; 2.126.588.218 ; 1.800 ; 3.452.545.804 ; 79 ; 2.021.123.370 ; 35 ; 1.570.820.194 ; 114 ; 3.591.943.563 ; 1.914 ; 7.044.489.368 ;
