Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.886 ; 2.036.505.661 ; 19.379 ; 2.011.675.949 ; 15.145 ; 6.432.525.138 ; 23.964 ; 4.992.215.017 ; 63.374 ; 15.472.921.765 ; 587 ; 9.782.496.884 ; 683 ; 12.665.421.546 ; 1.270 ; 22.447.918.430 ; 64.644 ; 37.920.840.195 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.621 ; 991.002.067 ; 6.981 ; 1.496.977.795 ; 9.019 ; 6.159.782.489 ; 13.935 ; 6.317.525.472 ; 31.556 ; 14.965.287.823 ; 247 ; 2.657.914.108 ; 227 ; 2.040.689.675 ; 474 ; 4.698.603.782 ; 32.030 ; 19.663.891.605 ;;;;
3;33.172.537;BANCO J.P. MORGAN S.A.; 151 ; 290.214.119 ; 1.893 ; 535.750.254 ; 838 ; 5.129.354.062 ; 1.602 ; 7.405.841.667 ; 4.484 ; 13.361.160.102 ; 236 ; 2.502.197.562 ; 205 ; 1.493.062.567 ; 441 ; 3.995.260.130 ; 4.925 ; 17.356.420.232 ;;;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 7.682 ; 1.302.303.435 ; 17.523 ; 1.485.786.764 ; 40.776 ; 4.013.395.264 ; 27.884 ; 4.259.246.244 ; 93.865 ; 11.060.731.707 ; 251 ; 1.535.134.436 ; 247 ; 1.191.222.669 ; 498 ; 2.726.357.104 ; 94.363 ; 13.787.088.811 ;;;;
5;60.746.948;BANCO BRADESCO S.A.; 5.261 ; 1.662.953.219 ; 9.578 ; 1.233.860.939 ; 26.596 ; 2.336.150.267 ; 12.606 ; 2.604.208.870 ; 54.041 ; 7.837.173.295 ; 522 ; 2.768.552.014 ; 566 ; 2.685.659.783 ; 1.088 ; 5.454.211.797 ; 55.129 ; 13.291.385.091 ;;;;
6;01.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO; 2.272 ; 371.265.157 ; 7.680 ; 643.692.510 ; 7.193 ; 1.267.908.754 ; 11.537 ; 2.863.626.287 ; 28.682 ; 5.146.492.707 ; 264 ; 3.797.830.551 ; 201 ; 2.089.322.701 ; 465 ; 5.887.153.252 ; 29.147 ; 11.033.645.959 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 32 ; 41.972.388 ; 189 ; 29.143.025 ; 128 ; 812.272.226 ; 264 ; 797.771.024 ; 613 ; 1.681.158.663 ; 149 ; 4.173.755.396 ; 162 ; 4.813.559.270 ; 311 ; 8.987.314.666 ; 924 ; 10.668.473.329 ;;;;
8;00.000.000;BANCO DO BRASIL S.A.; 8.422 ; 2.645.356.420 ; 9.094 ; 1.788.980.928 ; 16.943 ; 1.154.261.395 ; 28.303 ; 1.611.687.894 ; 62.762 ; 7.200.286.638 ; 262 ; 1.195.059.679 ; 267 ; 1.798.217.908 ; 529 ; 2.993.277.586 ; 63.291 ; 10.193.564.224 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 59 ; 119.261.942 ; 16 ; 21.492.206 ; 255 ; 372.432.599 ; 342 ; 152.371.891 ; 672 ; 665.558.637 ; 93 ; 3.406.115.956 ; 101 ; 3.508.213.920 ; 194 ; 6.914.329.876 ; 866 ; 7.579.888.513 ;;;;
