Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Out/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 45.717 ; 21.343.260.094 ; 188.379 ; 17.792.293.793 ; 170.563 ; 41.937.313.193 ; 282.028 ; 44.918.237.191 ; 686.687 ; 125.991.104.272 ; 6.766 ; 83.086.335.817 ; 6.376 ; 82.551.600.465 ; 13.142 ; 165.637.936.283 ; 699.829 ; 291.629.040.555 ;
2;33.479.023;BANCO CITIBANK S.A.; 15.684 ; 9.778.900.081 ; 65.974 ; 14.417.934.146 ; 88.579 ; 60.218.209.344 ; 139.884 ; 67.034.850.323 ; 310.121 ; 151.449.893.894 ; 2.741 ; 31.217.918.300 ; 2.624 ; 19.237.067.838 ; 5.365 ; 50.454.986.138 ; 315.486 ; 201.904.880.032 ;
3;60.746.948;BANCO BRADESCO S.A.; 54.887 ; 23.078.781.318 ; 108.133 ; 14.344.994.897 ; 276.366 ; 27.929.229.060 ; 150.942 ; 37.646.542.162 ; 590.328 ; 102.999.547.438 ; 6.290 ; 29.703.510.459 ; 6.262 ; 32.150.426.162 ; 12.552 ; 61.853.936.622 ; 602.880 ; 164.853.484.060 ;
4;60.701.190;ITAÚ UNIBANCO S.A.; 71.760 ; 12.029.909.758 ; 161.823 ; 12.367.367.040 ; 492.175 ; 35.286.897.811 ; 289.049 ; 41.196.684.483 ; 1.014.807 ; 100.880.859.092 ; 2.319 ; 22.525.071.524 ; 2.266 ; 18.646.412.091 ; 4.585 ; 41.171.483.615 ; 1.019.392 ; 142.052.342.707 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 1.867 ; 5.198.007.513 ; 19.333 ; 5.261.921.221 ; 8.615 ; 44.134.926.829 ; 16.141 ; 41.938.395.522 ; 45.956 ; 96.533.251.085 ; 2.090 ; 21.981.910.974 ; 2.131 ; 22.783.781.937 ; 4.221 ; 44.765.692.911 ; 50.177 ; 141.298.943.996 ;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 279 ; 443.011.197 ; 2.596 ; 295.171.879 ; 1.486 ; 8.243.335.242 ; 3.080 ; 7.465.511.478 ; 7.441 ; 16.447.029.797 ; 1.405 ; 60.714.182.320 ; 1.447 ; 62.401.229.830 ; 2.852 ; 123.115.412.150 ; 10.293 ; 139.562.441.947 ;
7;00.000.000;BANCO DO BRASIL S.A.; 85.153 ; 31.602.980.148 ; 100.506 ; 16.571.301.478 ; 197.715 ; 16.338.820.453 ; 384.288 ; 25.384.616.147 ; 767.662 ; 89.897.718.226 ; 2.980 ; 12.256.934.497 ; 3.045 ; 22.143.295.177 ; 6.025 ; 34.400.229.674 ; 773.687 ; 124.297.947.900 ;
8;01.701.201;KIRTON BANK S.A. - BANCO MÚLTIPLO; 21.330 ; 4.358.961.473 ; 73.260 ; 6.461.480.376 ; 71.145 ; 17.171.865.659 ; 124.032 ; 23.190.178.117 ; 289.767 ; 51.182.485.625 ; 2.567 ; 39.366.532.143 ; 2.374 ; 31.186.290.939 ; 4.941 ; 70.552.823.081 ; 294.708 ; 121.735.308.706 ;
9;30.306.294;BANCO BTG PACTUAL S.A.; 327 ; 1.196.387.718 ; 204 ; 43.554.355 ; 3.175 ; 4.567.151.321 ; 4.147 ; 3.662.521.266 ; 7.853 ; 9.469.614.660 ; 976 ; 29.706.700.044 ; 1.068 ; 31.750.856.029 ; 2.044 ; 61.457.556.074 ; 9.897 ; 70.927.170.734 ;
