Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Nov/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 51.193 ; 23.653.506.986 ; 209.029 ; 19.755.889.288 ; 187.867 ; 47.394.034.332 ; 309.206 ; 50.813.266.565 ; 757.295 ; 141.616.697.171 ; 7.402 ; 87.647.623.499 ; 6.989 ; 87.606.482.719 ; 14.391 ; 175.254.106.218 ; 771.686 ; 316.870.803.389 ;
2;33.479.023;BANCO CITIBANK S.A.; 17.153 ; 10.960.597.339 ; 72.165 ; 15.769.890.178 ; 97.317 ; 68.177.513.420 ; 152.133 ; 74.375.530.837 ; 338.768 ; 169.283.531.774 ; 2.978 ; 32.648.706.300 ; 2.890 ; 21.308.550.942 ; 5.868 ; 53.957.257.242 ; 344.636 ; 223.240.789.016 ;
3;60.746.948;BANCO BRADESCO S.A.; 62.925 ; 25.711.189.644 ; 123.876 ; 16.333.287.697 ; 310.633 ; 30.931.555.321 ; 172.306 ; 40.928.238.316 ; 669.740 ; 113.904.270.979 ; 6.935 ; 33.052.251.011 ; 6.843 ; 35.003.562.566 ; 13.778 ; 68.055.813.577 ; 683.518 ; 181.960.084.556 ;
4;60.701.190;ITAÚ UNIBANCO S.A.; 80.285 ; 13.453.116.540 ; 177.966 ; 13.666.622.217 ; 542.266 ; 41.298.529.303 ; 316.901 ; 44.291.846.667 ; 1.117.418 ; 112.710.114.727 ; 2.558 ; 25.750.273.945 ; 2.505 ; 21.644.866.784 ; 5.063 ; 47.395.140.729 ; 1.122.481 ; 160.105.255.455 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 2.032 ; 5.614.389.256 ; 21.206 ; 5.653.017.070 ; 9.507 ; 46.728.867.889 ; 17.691 ; 45.262.286.658 ; 50.436 ; 103.258.560.873 ; 2.291 ; 23.713.840.533 ; 2.320 ; 23.943.237.397 ; 4.611 ; 47.657.077.930 ; 55.047 ; 150.915.638.803 ;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 300 ; 470.779.258 ; 2.976 ; 325.315.522 ; 1.634 ; 9.060.757.478 ; 3.444 ; 8.417.645.945 ; 8.354 ; 18.274.498.203 ; 1.577 ; 64.868.741.990 ; 1.581 ; 65.234.672.050 ; 3.158 ; 130.103.414.041 ; 11.512 ; 148.377.912.244 ;
7;00.000.000;BANCO DO BRASIL S.A.; 94.085 ; 34.326.290.357 ; 109.020 ; 18.071.663.071 ; 220.119 ; 18.909.010.027 ; 413.527 ; 28.675.384.847 ; 836.751 ; 99.982.348.301 ; 3.324 ; 13.214.849.760 ; 3.389 ; 23.729.503.389 ; 6.713 ; 36.944.353.150 ; 843.464 ; 136.926.701.451 ;
8;01.701.201;KIRTON BANK S.A. - BANCO MÚLTIPLO; 21.330 ; 4.358.961.473 ; 73.260 ; 6.461.480.376 ; 71.145 ; 17.171.812.102 ; 124.032 ; 23.190.178.117 ; 289.767 ; 51.182.432.067 ; 2.567 ; 39.366.532.143 ; 2.374 ; 31.186.290.939 ; 4.941 ; 70.552.823.081 ; 294.708 ; 121.735.255.149 ;
9;30.306.294;BANCO BTG PACTUAL S.A.; 388 ; 1.282.476.489 ; 269 ; 53.344.288 ; 3.611 ; 5.203.390.053 ; 4.671 ; 3.843.175.768 ; 8.939 ; 10.382.386.598 ; 1.085 ; 31.926.770.617 ; 1.235 ; 35.320.418.665 ; 2.320 ; 67.247.189.281 ; 11.259 ; 77.629.575.880 ;
