Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Dez/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 56.148 ; 25.445.170.625 ; 229.671 ; 21.812.259.723 ; 209.341 ; 56.529.404.395 ; 341.794 ; 62.671.081.824 ; 836.954 ; 166.457.916.567 ; 7.976 ; 99.851.454.100 ; 7.539 ; 97.129.507.525 ; 15.515 ; 196.980.961.626 ; 852.469 ; 363.438.878.193 ;
2;33.479.023;BANCO CITIBANK S.A.; 18.410 ; 17.349.316.259 ; 78.438 ; 17.619.319.930 ; 105.969 ; 75.468.343.307 ; 166.121 ; 80.617.333.686 ; 368.938 ; 191.054.313.181 ; 3.282 ; 35.083.192.882 ; 3.231 ; 29.455.446.766 ; 6.513 ; 64.538.639.647 ; 375.451 ; 255.592.952.829 ;
3;60.746.948;BANCO BRADESCO S.A.; 70.257 ; 29.110.633.770 ; 139.426 ; 18.178.479.283 ; 345.863 ; 34.016.483.557 ; 198.394 ; 45.918.919.043 ; 753.940 ; 127.224.515.653 ; 7.632 ; 36.135.958.667 ; 7.579 ; 39.054.748.487 ; 15.211 ; 75.190.707.154 ; 769.151 ; 202.415.222.807 ;
4;60.701.190;ITAÚ UNIBANCO S.A.; 87.342 ; 14.804.929.680 ; 195.598 ; 15.216.439.997 ; 591.369 ; 46.028.631.569 ; 349.626 ; 49.527.712.741 ; 1.223.935 ; 125.577.713.987 ; 2.775 ; 27.770.252.607 ; 2.739 ; 24.385.183.785 ; 5.514 ; 52.155.436.392 ; 1.229.449 ; 177.733.150.379 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 2.224 ; 6.248.510.788 ; 22.724 ; 6.329.354.216 ; 10.441 ; 49.963.239.765 ; 19.648 ; 50.327.097.449 ; 55.037 ; 112.868.202.219 ; 2.523 ; 28.222.574.919 ; 2.545 ; 27.043.505.816 ; 5.068 ; 55.266.080.735 ; 60.105 ; 168.134.282.953 ;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 336 ; 495.251.714 ; 3.198 ; 370.596.248 ; 1.793 ; 10.099.096.758 ; 3.797 ; 9.697.486.376 ; 9.124 ; 20.662.431.095 ; 1.708 ; 66.290.004.543 ; 1.719 ; 66.748.061.196 ; 3.427 ; 133.038.065.739 ; 12.551 ; 153.700.496.835 ;
7;00.000.000;BANCO DO BRASIL S.A.; 101.953 ; 37.075.736.265 ; 118.564 ; 19.879.828.851 ; 240.446 ; 20.749.829.865 ; 451.188 ; 32.801.412.892 ; 912.151 ; 110.506.807.873 ; 3.776 ; 16.822.690.526 ; 3.815 ; 25.654.864.959 ; 7.591 ; 42.477.555.485 ; 919.742 ; 152.984.363.358 ;
8;01.701.201;KIRTON BANK S.A. - BANCO MÚLTIPLO; 21.330 ; 4.358.961.473 ; 73.259 ; 6.461.470.376 ; 71.145 ; 17.171.812.102 ; 124.032 ; 23.190.178.117 ; 289.766 ; 51.182.422.067 ; 2.567 ; 39.366.532.143 ; 2.374 ; 31.186.290.939 ; 4.941 ; 70.552.823.081 ; 294.707 ; 121.735.245.149 ;
9;30.306.294;BANCO BTG PACTUAL S.A.; 430 ; 1.318.400.243 ; 353 ; 58.060.319 ; 3.893 ; 5.872.227.081 ; 5.017 ; 4.081.145.800 ; 9.693 ; 11.329.833.444 ; 1.219 ; 38.210.450.579 ; 1.375 ; 42.056.980.049 ; 2.594 ; 80.267.430.628 ; 12.287 ; 91.597.264.071 ;
