Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 4.959 ; 1.791.974.044 ; 20.645 ; 2.056.506.431 ; 21.495 ; 9.135.600.360 ; 32.595 ; 11.858.036.645 ; 79.694 ; 24.842.117.480 ; 574 ; 12.203.830.601 ; 550 ; 9.523.024.806 ; 1.124 ; 21.726.855.408 ; 80.818 ; 46.568.972.888 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.256 ; 6.388.718.920 ; 6.273 ; 1.851.421.820 ; 8.653 ; 7.291.030.599 ; 13.988 ; 6.241.802.848 ; 30.170 ; 21.772.974.187 ; 304 ; 2.434.486.582 ; 341 ; 8.146.895.824 ; 645 ; 10.581.382.406 ; 30.815 ; 32.354.356.593 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 7.337 ; 3.399.633.475 ; 15.552 ; 1.845.192.964 ; 35.233 ; 3.084.944.982 ; 26.093 ; 4.991.914.837 ; 84.215 ; 13.321.686.258 ; 697 ; 3.083.707.656 ; 736 ; 4.051.185.922 ; 1.433 ; 7.134.893.577 ; 85.648 ; 20.456.579.836 ;;;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 7.061 ; 1.352.208.417 ; 17.617 ; 1.549.813.450 ; 49.105 ; 4.729.913.922 ; 32.717 ; 5.235.918.266 ; 106.500 ; 12.867.854.055 ; 217 ; 2.019.978.662 ; 234 ; 2.740.317.002 ; 451 ; 4.760.295.663 ; 106.951 ; 17.628.149.719 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 192 ; 634.121.532 ; 1.518 ; 676.337.146 ; 934 ; 3.234.381.954 ; 1.957 ; 5.064.810.791 ; 4.601 ; 9.609.651.424 ; 232 ; 4.508.734.385 ; 225 ; 3.100.268.419 ; 457 ; 7.609.002.805 ; 5.058 ; 17.218.654.228 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 7.875 ; 2.749.924.946 ; 9.548 ; 1.808.832.028 ; 20.327 ; 1.840.819.838 ; 37.633 ; 4.126.000.329 ; 75.383 ; 10.525.577.141 ; 452 ; 3.607.840.766 ; 426 ; 1.925.361.570 ; 878 ; 5.533.202.336 ; 76.261 ; 16.058.779.476 ;;;;
7;30.306.294;BANCO BTG PACTUAL S.A.; 42 ; 35.923.754 ; 84 ; 4.716.031 ; 282 ; 668.837.029 ; 346 ; 237.970.032 ; 754 ; 947.446.845 ; 134 ; 6.283.679.962 ; 140 ; 6.736.561.384 ; 274 ; 13.020.241.346 ; 1.028 ; 13.967.688.192 ;;;;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 235 ; 359.968.687 ; 685 ; 201.830.509 ; 753 ; 2.023.302.009 ; 1.407 ; 1.752.603.215 ; 3.080 ; 4.337.704.419 ; 473 ; 3.590.958.011 ; 483 ; 4.208.586.056 ; 956 ; 7.799.544.067 ; 4.036 ; 12.137.248.486 ;;;;
9;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 7 ; 67.725.009 ;;; 182 ; 547.356.290 ; 191 ; 1.134.970.673 ; 380 ; 1.750.051.971 ; 187 ; 3.823.079.435 ; 134 ; 3.211.761.595 ; 321 ; 7.034.841.030 ; 701 ; 8.784.893.002 ;;;;
10;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 13 ; 47.241.530 ;;; 13 ; 47.241.530 ; 6 ; 4.200.000.000 ; 6 ; 4.200.000.000 ; 12 ; 8.400.000.000 ; 25 ; 8.447.241.530 ;;;;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 145 ; 847.098.737 ; 341 ; 104.483.634 ; 376 ; 2.514.403.737 ; 3.638 ; 2.147.748.301 ; 4.500 ; 5.613.734.409 ; 28 ; 669.518.396 ; 68 ; 1.930.719.821 ; 96 ; 2.600.238.217 ; 4.596 ; 8.213.972.625 ;;;;
12;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 40 ; 56.584.774 ;;; 84 ; 113.192.685 ; 64 ; 180.414.373 ; 188 ; 350.191.831 ; 20 ; 5.317.141.612 ; 31 ; 1.972.600.611 ; 51 ; 7.289.742.223 ; 239 ; 7.639.934.054 ;;;;
13;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 119 ; 47.289.662 ; 424 ; 68.830.916 ; 485 ; 897.268.272 ; 611 ; 1.092.938.538 ; 1.639 ; 2.106.327.388 ; 470 ; 1.853.701.654 ; 437 ; 1.871.306.535 ; 907 ; 3.725.008.189 ; 2.546 ; 5.831.335.577 ;;;;
14;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 36 ; 24.472.456 ; 222 ; 45.280.726 ; 159 ; 1.038.339.280 ; 353 ; 1.279.840.431 ; 770 ; 2.387.932.892 ; 131 ; 1.421.262.553 ; 138 ; 1.513.389.146 ; 269 ; 2.934.651.699 ; 1.039 ; 5.322.584.591 ;;;;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 152 ; 194.144.485 ; 835 ; 141.636.412 ; 370 ; 510.114.442 ; 1.033 ; 979.120.823 ; 2.390 ; 1.825.016.161 ; 88 ; 1.866.484.583 ; 81 ; 1.188.582.160 ; 169 ; 3.055.066.743 ; 2.559 ; 4.880.082.904 ;;;;
16;58.160.789;BANCO SAFRA S.A.; 188 ; 131.650.919 ; 1.045 ; 94.755.373 ; 1.026 ; 487.226.769 ; 2.338 ; 419.888.297 ; 4.597 ; 1.133.521.358 ; 206 ; 1.329.442.219 ; 205 ; 1.597.419.765 ; 411 ; 2.926.861.983 ; 5.008 ; 4.060.383.342 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 115 ; 144.858.129 ; 1.547 ; 267.408.730 ; 316 ; 569.817.189 ; 1.344 ; 517.471.786 ; 3.322 ; 1.499.555.834 ; 337 ; 911.936.791 ; 715 ; 958.562.818 ; 1.052 ; 1.870.499.609 ; 4.374 ; 3.370.055.443 ;;;;
18;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 372 ; 583.175.987 ; 451 ; 565.214.756 ; 823 ; 1.148.390.743 ; 19 ; 794.661.640 ; 23 ; 730.651.707 ; 42 ; 1.525.313.347 ; 865 ; 2.673.704.090 ;;;;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 308 ; 581.717.805 ; 236 ; 648.238.519 ; 544 ; 1.229.956.324 ; 25 ; 557.509.948 ; 19 ; 482.497.772 ; 44 ; 1.040.007.720 ; 588 ; 2.269.964.045 ;;;;
20;61.820.817;BANCO PAULISTA S.A.; 143 ; 66.135.767 ; 435 ; 36.889.429 ; 850 ; 373.056.271 ; 1.436 ; 414.829.996 ; 2.864 ; 890.911.463 ; 1.374 ; 667.889.171 ; 12.471 ; 664.229.816 ; 13.845 ; 1.332.118.987 ; 16.709 ; 2.223.030.450 ;;;;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 26 ; 169.044.281 ; 106 ; 120.636.646 ; 75 ; 172.078.502 ; 117 ; 217.759.372 ; 324 ; 679.518.801 ; 162 ; 670.944.823 ; 207 ; 702.680.106 ; 369 ; 1.373.624.928 ; 693 ; 2.053.143.730 ;;;;
22;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 69 ; 39.626.585 ; 196 ; 33.186.741 ; 97 ; 62.388.589 ; 130 ; 159.101.968 ; 492 ; 294.303.883 ; 183 ; 845.342.835 ; 175 ; 753.945.065 ; 358 ; 1.599.287.900 ; 850 ; 1.893.591.783 ;;;;
23;28.195.667;BANCO ABC BRASIL S.A.; 70 ; 29.418.653 ; 116 ; 21.664.292 ; 47 ; 483.593.951 ; 253 ; 194.868.149 ; 486 ; 729.545.045 ; 40 ; 267.551.416 ; 40 ; 577.667.634 ; 80 ; 845.219.050 ; 566 ; 1.574.764.095 ;;;;
24;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 11 ; 13.864.238 ; 9 ; 3.273.717 ; 15 ; 714.519.478 ; 30 ; 623.299.281 ; 65 ; 1.354.956.714 ; 11 ; 32.576.036 ; 8 ; 122.820.000 ; 19 ; 155.396.036 ; 84 ; 1.510.352.750 ;;;;
25;49.336.860;ING BANK N.V.; 22 ; 84.671.435 ;;; 19 ; 41.352.194 ; 70 ; 38.050.808 ; 111 ; 164.074.437 ; 21 ; 626.296.790 ; 24 ; 717.470.154 ; 45 ; 1.343.766.944 ; 156 ; 1.507.841.381 ;;;;
26;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 25 ; 56.834.600 ; 45 ; 487.315.397 ; 70 ; 544.149.997 ; 31 ; 482.118.050 ; 12 ; 51.040.830 ; 43 ; 533.158.881 ; 113 ; 1.077.308.877 ;;;;
