Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Fev/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 9.065 ; 3.886.481.040 ; 39.776 ; 3.551.955.715 ; 36.597 ; 10.919.792.056 ; 60.679 ; 11.527.498.966 ; 146.117 ; 29.885.727.778 ; 1.298 ; 20.213.437.233 ; 1.126 ; 16.792.882.575 ; 2.424 ; 37.006.319.808 ; 148.541 ; 66.892.047.586 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 2.116 ; 2.786.336.665 ; 12.724 ; 3.321.079.724 ; 15.857 ; 14.779.690.210 ; 27.813 ; 15.194.690.822 ; 58.510 ; 36.081.797.421 ; 463 ; 4.912.025.527 ; 488 ; 4.028.494.427 ; 951 ; 8.940.519.954 ; 59.461 ; 45.022.317.374 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 12.745 ; 5.592.792.253 ; 31.864 ; 4.246.641.802 ; 58.093 ; 8.044.505.844 ; 46.395 ; 12.949.308.454 ; 149.097 ; 30.833.248.353 ; 1.567 ; 6.268.337.253 ; 1.445 ; 5.275.126.972 ; 3.012 ; 11.543.464.224 ; 152.109 ; 42.376.712.578 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 395 ; 1.262.068.110 ; 3.931 ; 993.413.941 ; 1.723 ; 10.816.165.222 ; 3.264 ; 9.042.993.969 ; 9.313 ; 22.114.641.242 ; 449 ; 4.714.392.904 ; 518 ; 7.263.909.474 ; 967 ; 11.978.302.378 ; 10.280 ; 34.092.943.620 ;;;;
5;60.701.190;ITAÚ UNIBANCO S.A.; 12.833 ; 2.611.517.408 ; 31.608 ; 2.503.675.697 ; 75.561 ; 6.007.980.469 ; 57.899 ; 6.672.444.897 ; 177.901 ; 17.795.618.470 ; 467 ; 3.182.516.274 ; 480 ; 3.232.980.128 ; 947 ; 6.415.496.403 ; 178.848 ; 24.211.114.873 ;;;;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 65 ; 123.607.359 ; 419 ; 45.412.315 ; 311 ; 1.975.410.673 ; 638 ; 1.667.391.505 ; 1.433 ; 3.811.821.851 ; 226 ; 7.255.181.854 ; 246 ; 8.639.495.815 ; 472 ; 15.894.677.669 ; 1.905 ; 19.706.499.520 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 12.998 ; 4.235.360.616 ; 15.885 ; 2.574.967.853 ; 36.805 ; 2.596.312.824 ; 67.945 ; 3.196.286.381 ; 133.633 ; 12.602.927.674 ; 697 ; 2.589.631.082 ; 721 ; 2.226.812.086 ; 1.418 ; 4.816.443.169 ; 135.051 ; 17.419.370.843 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 57 ; 134.486.927 ; 51 ; 6.754.783 ; 434 ; 567.276.690 ; 967 ; 792.493.934 ; 1.509 ; 1.501.012.334 ; 280 ; 7.014.183.309 ; 272 ; 5.876.669.313 ; 552 ; 12.890.852.621 ; 2.061 ; 14.391.864.955 ;;;;
9;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 1 ; 123.185 ;;; 345 ; 766.182.606 ; 341 ; 810.779.684 ; 687 ; 1.577.085.475 ; 289 ; 5.856.308.051 ; 495 ; 5.575.108.664 ; 784 ; 11.431.416.715 ; 1.471 ; 13.008.502.191 ;;;;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 471 ; 678.465.739 ; 1.877 ; 400.736.675 ; 1.448 ; 2.937.926.252 ; 2.630 ; 2.196.466.344 ; 6.426 ; 6.213.595.011 ; 782 ; 2.265.270.723 ; 793 ; 3.440.203.325 ; 1.575 ; 5.705.474.048 ; 8.001 ; 11.919.069.059 ;;;;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 243 ; 1.021.187.090 ; 844 ; 270.312.148 ; 809 ; 3.266.405.291 ; 4.219 ; 2.771.128.324 ; 6.115 ; 7.329.032.853 ; 44 ; 1.819.626.241 ; 92 ; 2.716.680.581 ; 136 ; 4.536.306.822 ; 6.251 ; 11.865.339.675 ;;;;
12;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 236 ; 116.043.419 ; 937 ; 126.109.260 ; 945 ; 927.959.581 ; 1.007 ; 441.962.764 ; 3.125 ; 1.612.075.024 ; 1.018 ; 4.740.897.908 ; 908 ; 5.151.216.531 ; 1.926 ; 9.892.114.439 ; 5.051 ; 11.504.189.463 ;;;;
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 603 ; 2.448.730.699 ; 402 ; 1.882.040.498 ; 1.005 ; 4.330.771.197 ; 61 ; 2.203.199.731 ; 72 ; 2.613.590.728 ; 133 ; 4.816.790.459 ; 1.138 ; 9.147.561.656 ;;;;
14;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 198 ; 364.349.333 ; 1.581 ; 325.363.587 ; 601 ; 762.925.175 ; 1.867 ; 1.706.057.786 ; 4.247 ; 3.158.695.881 ; 198 ; 1.821.541.852 ; 152 ; 721.572.164 ; 350 ; 2.543.114.017 ; 4.597 ; 5.701.809.898 ;;;;
15;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 1.100 ; 1.860.206.474 ; 963 ; 1.514.397.902 ; 2.063 ; 3.374.604.376 ; 32 ; 840.505.673 ; 45 ; 1.001.380.964 ; 77 ; 1.841.886.638 ; 2.140 ; 5.216.491.014 ;;;;
16;59.588.111;BANCO VOTORANTIM S.A.; 264 ; 490.503.150 ; 1.814 ; 377.702.759 ; 510 ; 718.703.855 ; 1.644 ; 887.206.031 ; 4.232 ; 2.474.115.795 ; 470 ; 1.367.777.559 ; 1.179 ; 1.257.805.110 ; 1.649 ; 2.625.582.669 ; 5.881 ; 5.099.698.464 ;;;;
17;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 36 ; 248.909.003 ; 170 ; 119.761.053 ; 99 ; 108.090.319 ; 270 ; 464.546.888 ; 575 ; 941.307.263 ; 358 ; 1.868.277.928 ; 433 ; 1.672.289.045 ; 791 ; 3.540.566.973 ; 1.366 ; 4.481.874.236 ;;;;
18;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 81 ; 235.715.242 ;;; 136 ; 76.004.147 ; 78 ; 44.384.816 ; 295 ; 356.104.206 ; 9 ; 232.245.985 ; 112 ; 3.554.619.858 ; 121 ; 3.786.865.843 ; 416 ; 4.142.970.049 ;;;;
19;61.820.817;BANCO PAULISTA S.A.; 332 ; 220.475.586 ; 941 ; 65.690.845 ; 1.539 ; 371.209.037 ; 2.888 ; 448.030.705 ; 5.700 ; 1.105.406.173 ; 2.532 ; 1.250.002.705 ; 25.049 ; 1.328.490.555 ; 27.581 ; 2.578.493.261 ; 33.281 ; 3.683.899.434 ;;;;
20;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 16 ; 32.539.725 ; 3 ; 1.203.840 ; 33 ; 148.170.863 ; 98 ; 72.540.039 ; 150 ; 254.454.467 ; 165 ; 1.391.876.970 ; 175 ; 1.483.836.684 ; 340 ; 2.875.713.654 ; 490 ; 3.130.168.122 ;;;;
21;58.160.789;BANCO SAFRA S.A.; 342 ; 286.020.670 ; 1.696 ; 203.818.933 ; 1.668 ; 215.797.518 ; 4.362 ; 524.776.043 ; 8.068 ; 1.230.413.164 ; 349 ; 654.137.401 ; 325 ; 431.746.551 ; 674 ; 1.085.883.953 ; 8.742 ; 2.316.297.117 ;;;;
22;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 13 ; 16.596.748 ;;; 13 ; 16.596.748 ; 1 ; 1.000.000.000 ; 1 ; 1.000.000.000 ; 2 ; 2.000.000.000 ; 15 ; 2.016.596.748 ;;;;
23;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 319 ; 654.924.059 ; 457 ; 371.514.370 ; 776 ; 1.026.438.429 ; 26 ; 293.840.900 ; 176 ; 577.560.000 ; 202 ; 871.400.900 ; 978 ; 1.897.839.330 ;;;;
24;00.360.305;CAIXA ECONOMICA FEDERAL; 483 ; 296.980.598 ; 386 ; 13.085.228 ; 11.112 ; 147.899.837 ; 3.214 ; 249.319.803 ; 15.195 ; 707.285.466 ; 238 ; 381.173.975 ; 281 ; 562.852.415 ; 519 ; 944.026.390 ; 15.714 ; 1.651.311.856 ;;;;
25;78.632.767;BANCO OURINVEST S.A.; 112 ; 22.051.792 ; 707 ; 37.026.126 ; 753 ; 80.686.377 ; 1.347 ; 85.599.589 ; 2.919 ; 225.363.883 ; 647 ; 721.197.176 ; 19.951 ; 673.996.338 ; 20.598 ; 1.395.193.514 ; 23.517 ; 1.620.557.397 ;;;;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 118 ; 416.832.095 ; 94 ; 65.449.022 ; 130 ; 198.311.547 ; 307 ; 219.376.273 ; 649 ; 899.968.937 ; 21 ; 153.491.368 ; 33 ; 563.293.875 ; 54 ; 716.785.243 ; 703 ; 1.616.754.180 ;;;;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 268 ; 41.052.935 ; 834 ; 149.881.105 ; 632 ; 273.376.187 ; 969 ; 348.512.779 ; 2.703 ; 812.823.006 ; 138 ; 489.259.947 ; 129 ; 304.330.407 ; 267 ; 793.590.353 ; 2.970 ; 1.606.413.359 ;;;;
28;49.336.860;ING BANK N.V.; 20 ; 56.395.231 ; 6 ; 515.316 ; 16 ; 88.393.495 ; 115 ; 91.702.774 ; 157 ; 237.006.816 ; 42 ; 747.493.977 ; 40 ; 558.736.226 ; 82 ; 1.306.230.203 ; 239 ; 1.543.237.019 ;;;;
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 265 ; 15.431.374 ; 2.009 ; 73.004.903 ; 1.017 ; 114.767.923 ; 4.390 ; 147.837.195 ; 7.681 ; 351.041.395 ; 1.670 ; 635.031.811 ; 13.675 ; 542.783.490 ; 15.345 ; 1.177.815.301 ; 23.026 ; 1.528.856.696 ;;;;
30;68.900.810;BANCO RENDIMENTO S.A.; 51 ; 1.015.932 ; 98 ; 48.847.766 ; 46.216 ; 189.324.079 ; 3.076 ; 222.870.887 ; 49.441 ; 462.058.665 ; 959 ; 582.292.692 ; 17.882 ; 483.581.095 ; 18.841 ; 1.065.873.787 ; 68.282 ; 1.527.932.452 ;;;;
31;71.027.866;BANCO BONSUCESSO S.A.; 80 ; 15.750.247 ; 84 ; 9.950.836 ; 150 ; 40.968.565 ; 752 ; 44.487.210 ; 1.066 ; 111.156.858 ; 408 ; 698.097.449 ; 1.533 ; 702.650.662 ; 1.941 ; 1.400.748.111 ; 3.007 ; 1.511.904.969 ;;;;
32;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 128 ; 43.084.760 ; 244 ; 18.951.414 ; 58 ; 86.445.726 ; 440 ; 303.555.014 ; 870 ; 452.036.914 ; 89 ; 623.724.502 ; 75 ; 430.454.383 ; 164 ; 1.054.178.885 ; 1.034 ; 1.506.215.799 ;;;;
33;62.232.889;BANCO DAYCOVAL S.A.; 499 ; 148.654.900 ; 882 ; 62.110.004 ; 997 ; 37.989.619 ; 3.892 ; 107.850.164 ; 6.270 ; 356.604.687 ; 990 ; 528.061.928 ; 3.745 ; 524.514.993 ; 4.735 ; 1.052.576.921 ; 11.005 ; 1.409.181.608 ;;;;
34;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 51 ; 199.558.783 ; 34 ; 385.933.061 ; 85 ; 585.491.844 ; 29 ; 384.432.480 ; 27 ; 198.133.163 ; 56 ; 582.565.644 ; 141 ; 1.168.057.488 ;;;;
35;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 6 ; 8.071.400 ; 15 ; 1.778.430 ; 13 ; 123.084.154 ; 45 ; 385.667.280 ; 79 ; 518.601.264 ; 15 ; 264.628.808 ; 2 ; 8.000.000 ; 17 ; 272.628.808 ; 96 ; 791.230.072 ;;;;
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 131 ; 187.807.208 ; 408 ; 63.121.480 ; 129 ; 87.197.200 ; 161 ; 25.560.509 ; 829 ; 363.686.397 ; 206 ; 117.322.123 ; 220 ; 305.911.353 ; 426 ; 423.233.477 ; 1.255 ; 786.919.874 ;;;;
37;13.059.145;BEXS BANCO DE CÂMBIO S/A; 71 ; 145.435.211 ; 200 ; 6.515.404 ; 220 ; 22.585.534 ; 918 ; 158.960.592 ; 1.409 ; 333.496.742 ; 391 ; 174.156.775 ; 221 ; 176.554.365 ; 612 ; 350.711.140 ; 2.021 ; 684.207.882 ;;;;
38;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 56 ; 90.448.909 ; 89 ; 72.408.883 ; 24 ; 60.351.495 ; 199 ; 88.844.499 ; 368 ; 312.053.787 ; 24 ; 233.644.098 ; 9 ; 79.143.671 ; 33 ; 312.787.769 ; 401 ; 624.841.556 ;;;;
39;28.195.667;BANCO ABC BRASIL S.A.; 92 ; 40.651.997 ; 187 ; 37.567.242 ; 44 ; 67.556.330 ; 430 ; 87.476.604 ; 753 ; 233.252.173 ; 45 ; 149.532.500 ; 48 ; 145.492.020 ; 93 ; 295.024.519 ; 846 ; 528.276.692 ;;;;
40;03.609.817;BANCO CARGILL S.A.; 16 ; 102.988.265 ; 3 ; 2.457.480 ; 4 ; 7.362.631 ; 31 ; 9.144.862 ; 54 ; 121.953.238 ; 6 ; 132.000.000 ; 7 ; 258.500.000 ; 13 ; 390.500.000 ; 67 ; 512.453.238 ;;;;
41;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 211 ; 3.787.326 ; 1.047 ; 23.566.401 ; 2.399 ; 28.777.065 ; 4.590 ; 114.355.141 ; 8.247 ; 170.485.933 ; 5.963 ; 203.744.627 ; 365 ; 98.275.897 ; 6.328 ; 302.020.525 ; 14.575 ; 472.506.458 ;;;;
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.418 ; 104.360.320 ; 1.904 ; 68.873.635 ; 587 ; 27.258.476 ; 2.472 ; 68.045.829 ; 6.381 ; 268.538.260 ; 78 ; 80.515.241 ; 66 ; 74.384.577 ; 144 ; 154.899.818 ; 6.525 ; 423.438.077 ;;;;
43;30.723.886;BANCO MODAL S.A.; 15 ; 1.523.913 ; 262 ; 21.048.287 ; 108 ; 59.632.142 ; 175 ; 25.381.270 ; 560 ; 107.585.613 ; 19 ; 147.752.397 ; 33 ; 157.766.492 ; 52 ; 305.518.890 ; 612 ; 413.104.502 ;;;;
44;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;;;; 14 ; 175.496.016 ; 10 ; 133.281.075 ; 24 ; 308.777.091 ; 2 ; 20.000.000 ; 2 ; 60.000.000 ; 4 ; 80.000.000 ; 28 ; 388.777.091 ;;;;
45;62.144.175;BANCO PINE S.A.; 11 ; 6.994.093 ; 13 ; 12.465.303 ; 3 ; 4.830.085 ; 58 ; 148.528.592 ; 85 ; 172.818.073 ; 5 ; 107.500.000 ; 6 ; 85.000.000 ; 11 ; 192.500.000 ; 96 ; 365.318.073 ;;;;
46;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 2 ; 47.550 ; 64 ; 39.388.817 ; 68 ; 108.221.184 ; 199 ; 113.398.607 ; 333 ; 261.056.158 ; 58 ; 51.232.117 ; 12 ; 6.530.000 ; 70 ; 57.762.117 ; 403 ; 318.818.275 ;;;;
47;03.532.415;BANCO ABN AMRO S.A.; 6 ; 17.107.497 ; 8 ; 6.099.027 ; 22 ; 107.838.277 ; 51 ; 130.221.212 ; 87 ; 261.266.012 ; 12 ; 32.581.000 ; 15 ; 19.784.000 ; 27 ; 52.365.000 ; 114 ; 313.631.012 ;;;;
48;58.616.418;BANCO FIBRA S.A.; 125 ; 32.634.639 ; 801 ; 55.285.932 ; 84 ; 13.008.576 ; 536 ; 78.917.291 ; 1.546 ; 179.846.438 ; 36 ; 124.510.841 ; 11 ; 9.074.766 ; 47 ; 133.585.608 ; 1.593 ; 313.432.046 ;;;;
49;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 40 ; 1.368.295 ; 408 ; 17.452.884 ; 190 ; 61.901.509 ; 913 ; 96.473.082 ; 1.551 ; 177.195.770 ; 495 ; 91.088.558 ; 528 ; 42.849.122 ; 1.023 ; 133.937.680 ; 2.574 ; 311.133.450 ;;;;
50;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 4 ; 31.620 ; 49 ; 467.507 ; 1.000 ; 44.023.194 ; 2.031 ; 133.266.920 ; 3.084 ; 177.789.241 ; 1.623 ; 104.627.569 ; 959 ; 11.160.641 ; 2.582 ; 115.788.210 ; 5.666 ; 293.577.451 ;;;;
51;33.918.160;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;;; 41 ; 1.409.768 ; 132 ; 3.017.557 ; 572 ; 119.524.595 ; 745 ; 123.951.921 ; 6.230 ; 142.563.287 ; 67 ; 24.978.084 ; 6.297 ; 167.541.372 ; 7.042 ; 291.493.293 ;;;;
52;60.889.128;BANCO SOFISA S.A.; 165 ; 37.155.375 ; 283 ; 19.216.178 ; 33 ; 77.098.021 ; 169 ; 95.488.479 ; 650 ; 228.958.052 ; 76 ; 31.235.906 ; 42 ; 15.277.223 ; 118 ; 46.513.129 ; 768 ; 275.471.181 ;;;;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 291 ; 7.806.860 ; 2.999 ; 64.332.971 ; 2.171 ; 21.255.977 ; 6.320 ; 55.926.785 ; 11.781 ; 149.322.593 ; 1.388 ; 106.176.394 ; 314 ; 14.963.831 ; 1.702 ; 121.140.225 ; 13.483 ; 270.462.818 ;;;;
54;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 216 ; 66.211.480 ; 204 ; 100.100.962 ; 420 ; 166.312.443 ; 49 ; 66.449.237 ; 50 ; 32.598.544 ; 99 ; 99.047.781 ; 519 ; 265.360.224 ;;;;
55;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 153 ; 619.724 ; 302 ; 3.188.566 ; 455 ; 3.808.290 ; 743 ; 118.335.339 ; 332 ; 115.782.827 ; 1.075 ; 234.118.166 ; 1.530 ; 237.926.456 ;;;;
56;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 1.772 ; 17.761.196 ; 8.032 ; 112.773.057 ; 9.804 ; 130.534.254 ; 3.930 ; 95.076.572 ; 69 ; 697.846 ; 3.999 ; 95.774.417 ; 13.803 ; 226.308.671 ;;;;
57;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 54 ; 1.091.634 ; 312 ; 4.069.999 ; 2.320 ; 15.755.560 ; 9.658 ; 103.694.324 ; 12.344 ; 124.611.517 ; 1.388 ; 90.668.418 ; 3 ; 56.000 ; 1.391 ; 90.724.418 ; 13.735 ; 215.335.935 ;;;;
58;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 146 ; 2.945.794 ; 222 ; 29.750.098 ; 368 ; 32.695.892 ; 20 ; 101.731.933 ; 11 ; 73.258.564 ; 31 ; 174.990.496 ; 399 ; 207.686.388 ;;;;
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 175 ; 3.834.085 ; 1.986 ; 44.656.541 ; 1.300 ; 15.857.022 ; 6.023 ; 50.377.900 ; 9.484 ; 114.725.549 ; 2.502 ; 80.962.301 ; 29 ; 5.600.557 ; 2.531 ; 86.562.858 ; 12.015 ; 201.288.406 ;;;;
60;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 35 ; 8.202.441 ; 158 ; 9.720.977 ; 164 ; 70.343.646 ; 165 ; 43.553.667 ; 522 ; 131.820.731 ; 127 ; 19.570.186 ; 95 ; 44.127.582 ; 222 ; 63.697.768 ; 744 ; 195.518.499 ;;;;
61;59.118.133;BANCO LUSO BRASILEIRO S.A.; 198 ; 35.282.100 ; 185 ; 25.856.074 ; 72 ; 18.267.474 ; 318 ; 20.626.562 ; 773 ; 100.032.210 ; 317 ; 41.522.091 ; 232 ; 48.588.653 ; 549 ; 90.110.745 ; 1.322 ; 190.142.955 ;;;;
62;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 55 ; 750.622 ; 718 ; 16.145.456 ; 2.381 ; 12.019.326 ; 6.652 ; 38.321.373 ; 9.806 ; 67.236.778 ; 3.400 ; 73.836.293 ; 703 ; 31.861.768 ; 4.103 ; 105.698.061 ; 13.909 ; 172.934.839 ;;;;
63;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 525 ; 25.508.084 ; 1.496 ; 47.205.611 ; 630 ; 17.025.284 ; 1.430 ; 14.447.377 ; 4.081 ; 104.186.355 ; 539 ; 41.999.438 ; 108 ; 22.769.699 ; 647 ; 64.769.137 ; 4.728 ; 168.955.491 ;;;;
64;15.114.366;BANCO BBM S/A; 50 ; 50.071.928 ; 3 ; 32.857 ; 21 ; 8.699.682 ; 96 ; 7.808.544 ; 170 ; 66.613.011 ; 15 ; 19.436.753 ; 26 ; 78.175.518 ; 41 ; 97.612.271 ; 211 ; 164.225.283 ;;;;
65;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 25 ; 209.470 ; 303 ; 4.273.909 ; 870 ; 10.318.243 ; 3.063 ; 41.997.199 ; 4.261 ; 56.798.820 ; 3.994 ; 69.466.470 ; 255 ; 33.432.031 ; 4.249 ; 102.898.501 ; 8.510 ; 159.697.321 ;;;;
66;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 11 ; 33.145.664 ; 33 ; 3.517.859 ; 14 ; 17.925.411 ; 40 ; 13.395.663 ; 98 ; 67.984.598 ; 24 ; 28.483.726 ; 16 ; 52.098.383 ; 40 ; 80.582.109 ; 138 ; 148.566.707 ;;;;
67;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 758 ; 35.984.362 ; 566 ; 15.764.444 ; 331 ; 13.091.159 ; 309 ; 34.208.767 ; 1.964 ; 99.048.732 ; 36 ; 18.738.609 ; 26 ; 27.324.554 ; 62 ; 46.063.163 ; 2.026 ; 145.111.895 ;;;;
68;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 49 ; 1.218.614 ; 1.794 ; 43.252.712 ; 726 ; 5.782.701 ; 2.074 ; 17.112.480 ; 4.643 ; 67.366.508 ; 2.806 ; 60.053.924 ; 309 ; 6.589.763 ; 3.115 ; 66.643.688 ; 7.758 ; 134.010.195 ;;;;
69;67.391.821;S. HAYATA CORRETORA DE CÂMBIO S.A.; 8 ; 69.012 ; 864 ; 39.056.691 ; 204 ; 3.372.326 ; 1.183 ; 23.148.361 ; 2.259 ; 65.646.389 ; 1.449 ; 61.561.550 ; 16 ; 2.810.025 ; 1.465 ; 64.371.575 ; 3.724 ; 130.017.964 ;;;;
70;10.690.848;BANCO DA CHINA BRASIL S.A.; 23 ; 32.437.831 ; 6 ; 371.641 ; 16 ; 13.782.740 ; 105 ; 13.809.798 ; 150 ; 60.402.011 ; 33 ; 18.558.074 ; 35 ; 44.618.611 ; 68 ; 63.176.685 ; 218 ; 123.578.695 ;;;;
71;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 19 ; 3.138.055 ; 91 ; 38.369.991 ; 133 ; 24.827.192 ; 243 ; 66.335.238 ; 19 ; 19.666.410 ; 21 ; 30.040.000 ; 40 ; 49.706.410 ; 283 ; 116.041.648 ;;;;
72;92.894.922;BANCO ORIGINAL S.A.; 46 ; 25.704.414 ; 304 ; 28.808.307 ; 88 ; 394.380 ; 402 ; 5.240.795 ; 840 ; 60.147.895 ; 30 ; 37.600.149 ; 6 ; 18.000.799 ; 36 ; 55.600.948 ; 876 ; 115.748.844 ;;;;
73;57.582.264;TORRE CORRETORA DE CÂMBIO LTDA; 5 ; 185.777 ; 301 ; 8.294.643 ; 20 ; 17.132 ; 1.618 ; 44.090.231 ; 1.944 ; 52.587.782 ; 1.384 ; 52.425.064 ; 8 ; 227.297 ; 1.392 ; 52.652.360 ; 3.336 ; 105.240.142 ;;;;
74;05.452.073;ALBATROSS CORRETORA DE CAMBIO E VALORES S.A; 21 ; 324.069 ; 274 ; 6.167.416 ; 317 ; 1.400.883 ; 904 ; 43.673.111 ; 1.516 ; 51.565.479 ; 3.870 ; 49.132.542 ; 59 ; 1.094.624 ; 3.929 ; 50.227.166 ; 5.445 ; 101.792.645 ;;;;
75;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 142 ; 19.438.276 ; 195 ; 14.009.142 ; 96 ; 241.439 ; 135 ; 17.874.990 ; 568 ; 51.563.847 ; 100 ; 30.881.818 ; 46 ; 19.132.818 ; 146 ; 50.014.636 ; 714 ; 101.578.483 ;;;;
76;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 2.000.000 ; 11 ; 6.509.728 ; 22 ; 882.359 ; 175 ; 8.554.293 ; 210 ; 17.946.380 ; 15 ; 48.358.450 ; 15 ; 33.627.615 ; 30 ; 81.986.065 ; 240 ; 99.932.445 ;;;;
