Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 30.899 ; 14.125.942.641 ; 129.469 ; 12.313.507.856 ; 114.110 ; 31.308.933.349 ; 178.367 ; 34.866.677.175 ; 452.845 ; 92.615.061.021 ; 3.943 ; 49.760.907.780 ; 3.550 ; 41.125.463.037 ; 7.493 ; 90.886.370.817 ; 460.338 ; 183.501.431.838 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 7.857 ; 9.519.663.473 ; 40.034 ; 10.094.691.842 ; 52.600 ; 53.106.181.599 ; 83.483 ; 57.499.648.565 ; 183.974 ; 130.220.185.479 ; 1.489 ; 18.243.642.090 ; 1.486 ; 13.398.716.590 ; 2.975 ; 31.642.358.680 ; 186.949 ; 161.862.544.159 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 44.369 ; 21.017.174.663 ; 104.271 ; 13.456.090.067 ; 192.811 ; 26.760.977.365 ; 144.843 ; 34.327.150.747 ; 486.294 ; 95.561.392.842 ; 5.000 ; 17.465.064.454 ; 4.920 ; 18.675.543.492 ; 9.920 ; 36.140.607.947 ; 496.214 ; 131.702.000.789 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 1.479 ; 3.175.595.141 ; 12.583 ; 2.977.840.923 ; 5.841 ; 29.366.313.587 ; 10.921 ; 28.694.396.097 ; 30.824 ; 64.214.145.749 ; 1.428 ; 15.920.942.032 ; 1.479 ; 16.083.393.101 ; 2.907 ; 32.004.335.133 ; 33.731 ; 96.218.480.882 ;;;;
5;60.701.190;ITAÚ UNIBANCO S.A.; 44.552 ; 8.219.796.413 ; 97.440 ; 7.970.212.907 ; 224.082 ; 21.499.071.039 ; 179.246 ; 20.436.991.814 ; 545.320 ; 58.126.072.172 ; 1.578 ; 12.626.361.942 ; 1.584 ; 12.272.723.014 ; 3.162 ; 24.899.084.955 ; 548.482 ; 83.025.157.128 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 46.077 ; 19.198.707.792 ; 50.882 ; 8.273.588.173 ; 117.477 ; 8.821.579.647 ; 215.566 ; 13.162.281.017 ; 430.002 ; 49.456.156.629 ; 2.183 ; 5.937.927.242 ; 2.342 ; 12.036.097.678 ; 4.525 ; 17.974.024.920 ; 434.527 ; 67.430.181.549 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 169 ; 481.791.355 ; 1.609 ; 228.315.242 ; 1.013 ; 5.804.554.156 ; 2.064 ; 6.062.995.445 ; 4.855 ; 12.577.656.198 ; 913 ; 18.705.283.945 ; 811 ; 18.873.748.128 ; 1.724 ; 37.579.032.073 ; 6.579 ; 50.156.688.271 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 231 ; 757.823.803 ; 151 ; 30.062.636 ; 2.123 ; 3.595.103.538 ; 2.672 ; 2.296.941.323 ; 5.177 ; 6.679.931.300 ; 779 ; 19.210.856.476 ; 816 ; 18.721.115.454 ; 1.595 ; 37.931.971.930 ; 6.772 ; 44.611.903.229 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.387 ; 1.876.393.133 ; 5.452 ; 1.044.931.495 ; 4.545 ; 9.323.043.764 ; 8.505 ; 7.643.184.038 ; 19.889 ; 19.887.552.429 ; 2.324 ; 8.501.126.311 ; 2.402 ; 11.278.957.006 ; 4.726 ; 19.780.083.318 ; 24.615 ; 39.667.635.747 ;;;;
