Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.394 ; 2.573.839.597 ; 21.901 ; 2.376.487.203 ; 19.180 ; 4.214.757.291 ; 29.653 ; 5.394.147.188 ; 76.128 ; 14.559.231.279 ; 620 ; 6.144.088.084 ; 579 ; 5.289.364.381 ; 1.199 ; 11.433.452.466 ; 77.327 ; 25.992.683.745 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.316 ; 1.256.720.092 ; 6.403 ; 1.571.818.110 ; 8.830 ; 5.200.250.176 ; 13.804 ; 7.281.347.109 ; 30.353 ; 15.310.135.487 ; 293 ; 3.587.792.580 ; 258 ; 1.636.285.453 ; 551 ; 5.224.078.034 ; 30.904 ; 20.534.213.521 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 7.805 ; 3.610.360.023 ; 19.091 ; 2.506.658.890 ; 33.697 ; 3.315.339.904 ; 26.895 ; 4.255.122.983 ; 87.488 ; 13.687.481.800 ; 767 ; 2.094.698.428 ; 759 ; 2.650.773.687 ; 1.526 ; 4.745.472.114 ; 89.014 ; 18.432.953.914 ;;;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 8.079 ; 1.324.799.826 ; 16.319 ; 1.437.875.165 ; 34.437 ; 3.510.422.741 ; 30.324 ; 3.703.482.417 ; 89.159 ; 9.976.580.149 ; 267 ; 1.699.766.342 ; 291 ; 2.777.432.811 ; 558 ; 4.477.199.154 ; 89.717 ; 14.453.779.303 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 8.122 ; 3.607.584.982 ; 8.663 ; 1.336.894.041 ; 18.446 ; 960.767.998 ; 32.163 ; 2.390.098.210 ; 67.394 ; 8.295.345.231 ; 327 ; 1.342.271.498 ; 353 ; 2.001.304.261 ; 680 ; 3.343.575.758 ; 68.074 ; 11.638.920.990 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 263 ; 435.472.991 ; 2.185 ; 503.954.167 ; 954 ; 2.587.827.465 ; 1.812 ; 3.572.000.696 ; 5.214 ; 7.099.255.318 ; 221 ; 1.675.342.525 ; 200 ; 1.453.970.536 ; 421 ; 3.129.313.060 ; 5.635 ; 10.228.568.378 ;;;;
7;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 152 ; 43.129.065 ; 475 ; 124.344.058 ; 500 ; 198.537.873 ; 586 ; 999.662.091 ; 1.713 ; 1.365.673.086 ; 517 ; 3.014.272.085 ; 422 ; 2.567.194.101 ; 939 ; 5.581.466.186 ; 2.652 ; 6.947.139.272 ;;;;
8;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 2 ; 98.000.000 ;;; 173 ; 689.075.052 ; 190 ; 642.316.765 ; 365 ; 1.429.391.817 ; 103 ; 2.190.567.639 ; 166 ; 2.447.817.960 ; 269 ; 4.638.385.599 ; 634 ; 6.067.777.416 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 207 ; 284.968.889 ; 929 ; 129.199.928 ; 784 ; 1.135.473.815 ; 1.208 ; 1.097.961.508 ; 3.128 ; 2.647.604.140 ; 368 ; 843.909.831 ; 393 ; 1.425.107.450 ; 761 ; 2.269.017.281 ; 3.889 ; 4.916.621.421 ;;;;
