Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 47.342 ; 21.469.267.549 ; 199.728 ; 18.897.541.565 ; 170.286 ; 46.451.214.564 ; 272.699 ; 51.942.801.033 ; 690.055 ; 138.760.824.711 ; 5.733 ; 68.068.277.180 ; 5.320 ; 58.605.487.031 ; 11.053 ; 126.673.764.211 ; 701.108 ; 265.434.588.922 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 12.059 ; 13.880.560.081 ; 60.039 ; 14.686.112.095 ; 77.004 ; 70.755.212.054 ; 123.570 ; 78.054.260.011 ; 272.672 ; 177.376.144.241 ; 2.267 ; 27.035.046.487 ; 2.269 ; 19.096.200.673 ; 4.536 ; 46.131.247.160 ; 277.208 ; 223.507.391.401 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 67.133 ; 31.773.988.328 ; 167.549 ; 21.844.553.246 ; 292.152 ; 34.838.739.110 ; 228.833 ; 45.961.360.605 ; 755.667 ; 134.418.641.290 ; 7.419 ; 28.718.424.641 ; 7.285 ; 28.148.812.174 ; 14.704 ; 56.867.236.816 ; 770.371 ; 191.285.878.105 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 2.285 ; 4.398.250.757 ; 18.955 ; 4.428.859.626 ; 8.659 ; 40.614.146.928 ; 16.465 ; 42.622.022.939 ; 46.364 ; 92.063.280.250 ; 2.158 ; 28.038.199.124 ; 2.112 ; 26.966.372.423 ; 4.270 ; 55.004.571.546 ; 50.634 ; 147.067.851.796 ;;;;
5;60.701.190;ITAÚ UNIBANCO S.A.; 66.992 ; 12.781.069.091 ; 150.061 ; 12.638.262.057 ; 325.160 ; 35.104.312.712 ; 275.484 ; 33.124.479.987 ; 817.697 ; 93.648.123.847 ; 2.482 ; 22.270.652.674 ; 2.405 ; 18.739.766.803 ; 4.887 ; 41.010.419.477 ; 822.584 ; 134.658.543.324 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 68.538 ; 28.334.102.885 ; 78.975 ; 12.812.915.670 ; 174.356 ; 12.464.200.817 ; 332.060 ; 18.473.862.611 ; 653.929 ; 72.085.081.983 ; 3.089 ; 8.081.667.730 ; 3.357 ; 17.166.708.014 ; 6.446 ; 25.248.375.744 ; 660.375 ; 97.333.457.727 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 242 ; 720.024.494 ; 2.608 ; 404.603.800 ; 1.574 ; 9.771.456.573 ; 3.226 ; 8.503.962.757 ; 7.650 ; 19.400.047.624 ; 1.301 ; 33.407.878.667 ; 1.242 ; 36.061.993.458 ; 2.543 ; 69.469.872.124 ; 10.193 ; 88.869.919.749 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 365 ; 1.097.248.006 ; 254 ; 60.719.472 ; 3.169 ; 5.329.466.106 ; 4.193 ; 3.904.664.209 ; 7.981 ; 10.392.097.794 ; 1.112 ; 32.697.539.880 ; 1.137 ; 32.764.021.404 ; 2.249 ; 65.461.561.284 ; 10.230 ; 75.853.659.078 ;;;;
9;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 9 ; 98.931.277 ;;; 1.787 ; 5.053.352.254 ; 1.870 ; 5.760.315.261 ; 3.666 ; 10.912.598.792 ; 1.307 ; 24.355.762.402 ; 1.849 ; 24.119.974.729 ; 3.156 ; 48.475.737.130 ; 6.822 ; 59.388.335.922 ;;;;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.005 ; 2.633.227.713 ; 8.538 ; 1.603.238.897 ; 7.016 ; 13.480.978.625 ; 12.852 ; 11.051.909.064 ; 30.411 ; 28.769.354.298 ; 3.627 ; 12.775.531.554 ; 3.729 ; 16.375.016.877 ; 7.356 ; 29.150.548.431 ; 37.767 ; 57.919.902.729 ;;;;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.177 ; 4.584.069.455 ; 4.095 ; 1.459.966.571 ; 3.963 ; 14.286.865.096 ; 19.312 ; 15.669.948.909 ; 28.547 ; 36.000.850.030 ; 234 ; 8.084.337.070 ; 564 ; 9.512.180.006 ; 798 ; 17.596.517.076 ; 29.345 ; 53.597.367.106 ;;;;
12;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.418 ; 773.774.415 ; 4.283 ; 682.239.830 ; 4.563 ; 4.516.533.331 ; 4.824 ; 4.470.988.082 ; 15.088 ; 10.443.535.659 ; 4.924 ; 21.239.227.015 ; 4.338 ; 21.830.440.635 ; 9.262 ; 43.069.667.650 ; 24.350 ; 53.513.203.309 ;;;;
13;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 54.100.115 ;;; 4.762 ; 9.151.884.950 ; 5.192 ; 8.720.547.262 ; 9.955 ; 17.926.532.327 ; 215 ; 8.053.556.454 ; 262 ; 8.989.115.911 ; 477 ; 17.042.672.365 ; 10.432 ; 34.969.204.692 ;;;;
14;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 3.062 ; 9.375.463.370 ; 2.360 ; 7.385.389.343 ; 5.422 ; 16.760.852.713 ; 224 ; 5.793.167.870 ; 253 ; 8.461.357.417 ; 477 ; 14.254.525.288 ; 5.899 ; 31.015.378.000 ;;;;
