Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 58.524 ; 25.882.298.828 ; 243.986 ; 23.418.137.425 ; 209.142 ; 54.874.498.608 ; 328.942 ; 60.735.276.776 ; 840.594 ; 164.910.211.638 ; 6.936 ; 79.895.020.146 ; 6.509 ; 69.594.940.726 ; 13.445 ; 149.489.960.872 ; 854.039 ; 314.400.172.510 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 14.779 ; 17.213.837.793 ; 74.229 ; 18.136.237.139 ; 92.963 ; 86.054.187.519 ; 147.164 ; 94.461.857.492 ; 329.135 ; 215.866.119.943 ; 2.909 ; 32.638.680.418 ; 2.916 ; 23.490.467.069 ; 5.825 ; 56.129.147.487 ; 334.960 ; 271.995.267.430 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 82.816 ; 38.383.195.888 ; 209.215 ; 27.551.363.932 ; 361.564 ; 40.487.884.837 ; 280.351 ; 53.324.610.553 ; 933.946 ; 159.747.055.210 ; 8.940 ; 35.845.940.256 ; 8.807 ; 34.349.049.393 ; 17.747 ; 70.194.989.648 ; 951.693 ; 229.942.044.858 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 2.823 ; 5.019.806.031 ; 23.378 ; 5.367.483.224 ; 10.490 ; 49.500.164.910 ; 20.164 ; 51.725.197.307 ; 56.855 ; 111.612.651.472 ; 2.599 ; 35.844.057.007 ; 2.533 ; 33.289.159.405 ; 5.132 ; 69.133.216.413 ; 61.987 ; 180.745.867.884 ;;;;
5;60.701.190;ITAÚ UNIBANCO S.A.; 83.074 ; 15.999.928.157 ; 183.752 ; 15.815.020.273 ; 394.368 ; 42.453.288.758 ; 336.453 ; 40.522.832.296 ; 997.647 ; 114.791.069.484 ; 3.041 ; 27.175.618.299 ; 2.941 ; 23.831.657.385 ; 5.982 ; 51.007.275.684 ; 1.003.629 ; 165.798.345.168 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 85.215 ; 33.643.738.133 ; 97.088 ; 15.730.226.544 ; 215.809 ; 18.444.982.268 ; 397.194 ; 26.364.569.674 ; 795.306 ; 94.183.516.619 ; 3.736 ; 10.594.062.054 ; 4.026 ; 20.109.628.917 ; 7.762 ; 30.703.690.971 ; 803.068 ; 124.887.207.590 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 289 ; 844.087.772 ; 3.160 ; 506.976.543 ; 1.938 ; 12.737.292.772 ; 3.884 ; 10.052.566.582 ; 9.271 ; 24.140.923.668 ; 1.545 ; 46.158.878.768 ; 1.491 ; 49.643.325.652 ; 3.036 ; 95.802.204.420 ; 12.307 ; 119.943.128.088 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 402 ; 1.178.896.513 ; 385 ; 102.260.804 ; 3.946 ; 7.051.969.808 ; 5.061 ; 4.912.043.877 ; 9.794 ; 13.245.171.002 ; 1.320 ; 40.900.307.318 ; 1.365 ; 41.914.749.682 ; 2.685 ; 82.815.057.000 ; 12.479 ; 96.060.228.002 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.410 ; 3.319.108.547 ; 10.725 ; 2.135.001.323 ; 8.523 ; 17.021.795.355 ; 15.743 ; 13.034.439.319 ; 37.401 ; 35.510.344.543 ; 4.510 ; 15.518.028.920 ; 4.668 ; 20.844.443.688 ; 9.178 ; 36.362.472.607 ; 46.579 ; 71.872.817.150 ;;;;
