Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 64.183 ; 28.479.986.305 ; 263.417 ; 25.858.876.846 ; 229.296 ; 63.894.349.168 ; 358.644 ; 72.167.786.019 ; 915.540 ; 190.400.998.338 ; 7.523 ; 95.603.821.374 ; 7.184 ; 89.308.589.952 ; 14.707 ; 184.912.411.326 ; 930.247 ; 375.313.409.664 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 16.256 ; 19.178.792.647 ; 80.523 ; 19.957.491.090 ; 100.939 ; 94.286.505.339 ; 158.090 ; 103.368.369.181 ; 355.808 ; 236.791.158.256 ; 3.203 ; 37.500.461.679 ; 3.210 ; 28.013.398.994 ; 6.413 ; 65.513.860.672 ; 362.221 ; 302.305.018.929 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 90.168 ; 44.025.387.397 ; 227.692 ; 30.091.096.296 ; 398.844 ; 48.119.056.163 ; 308.887 ; 65.335.619.745 ; 1.025.591 ; 187.571.159.601 ; 9.765 ; 40.740.806.585 ; 9.617 ; 38.817.749.626 ; 19.382 ; 79.558.556.211 ; 1.044.973 ; 267.129.715.812 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 3.071 ; 5.530.644.146 ; 25.417 ; 5.847.043.809 ; 11.385 ; 53.170.904.208 ; 22.222 ; 58.312.125.283 ; 62.095 ; 122.860.717.446 ; 2.880 ; 41.835.072.879 ; 2.718 ; 36.293.944.544 ; 5.598 ; 78.129.017.423 ; 67.693 ; 200.989.734.869 ;;;;
5;60.701.190;ITAÚ UNIBANCO S.A.; 90.889 ; 17.717.119.181 ; 199.724 ; 18.099.337.779 ; 428.510 ; 48.363.138.421 ; 368.837 ; 46.581.853.684 ; 1.087.960 ; 130.761.449.065 ; 3.355 ; 30.888.116.492 ; 3.251 ; 27.300.745.704 ; 6.606 ; 58.188.862.196 ; 1.094.566 ; 188.950.311.261 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 93.455 ; 37.619.678.644 ; 105.772 ; 17.547.767.641 ; 234.898 ; 20.016.180.843 ; 440.883 ; 29.758.361.805 ; 875.008 ; 104.941.988.932 ; 4.130 ; 12.275.185.988 ; 4.432 ; 22.069.073.678 ; 8.562 ; 34.344.259.666 ; 883.570 ; 139.286.248.598 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 301 ; 866.898.349 ; 3.370 ; 534.938.411 ; 2.121 ; 13.965.603.598 ; 4.208 ; 11.571.629.055 ; 10.000 ; 26.939.069.412 ; 1.668 ; 49.341.222.116 ; 1.616 ; 52.576.708.429 ; 3.284 ; 101.917.930.545 ; 13.284 ; 128.856.999.957 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 417 ; 1.273.339.831 ; 415 ; 107.504.761 ; 4.214 ; 8.369.655.652 ; 5.559 ; 5.927.366.375 ; 10.605 ; 15.677.866.618 ; 1.370 ; 44.787.731.340 ; 1.473 ; 48.909.942.745 ; 2.843 ; 93.697.674.085 ; 13.448 ; 109.375.540.703 ;;;;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.593 ; 3.512.387.582 ; 11.785 ; 2.385.158.969 ; 9.349 ; 18.620.527.727 ; 17.545 ; 15.103.088.590 ; 41.272 ; 39.621.162.868 ; 4.987 ; 19.398.119.321 ; 5.171 ; 24.073.782.592 ; 10.158 ; 43.471.901.912 ; 51.430 ; 83.093.064.780 ;;;;
