Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 21.761 ; 8.176.465.274 ; 83.175 ; 9.096.851.807 ; 79.589 ; 26.321.168.336 ; 117.577 ; 21.955.017.159 ; 302.102 ; 65.549.502.575 ; 2.476 ; 34.302.366.449 ; 2.341 ; 31.413.324.540 ; 4.817 ; 65.715.690.989 ; 306.919 ; 131.265.193.564 
2;60.746.948;BANCO BRADESCO S.A.; 29.198 ; 18.109.541.261 ; 79.883 ; 11.534.050.164 ; 137.252 ; 22.330.434.098 ; 109.821 ; 24.665.497.465 ; 356.154 ; 76.639.522.988 ; 2.897 ; 11.661.529.834 ; 3.082 ; 15.799.834.884 ; 5.979 ; 27.461.364.718 ; 362.133 ; 104.100.887.706 
3;33.479.023;BANCO CITIBANK S.A.; 5.527 ; 6.262.255.096 ; 26.266 ; 6.473.728.951 ; 28.579 ; 31.594.632.592 ; 41.362 ; 30.787.145.340 ; 101.734 ; 75.117.761.979 ; 1.179 ; 10.814.721.205 ; 1.246 ; 10.083.407.321 ; 2.425 ; 20.898.128.526 ; 104.159 ; 96.015.890.505 
4;60.701.190;ITAÚ UNIBANCO S.A.; 28.948 ; 5.512.147.745 ; 61.274 ; 5.448.549.837 ; 151.341 ; 14.800.276.996 ; 124.782 ; 15.856.074.553 ; 366.345 ; 41.617.049.131 ; 1.147 ; 15.100.486.627 ; 1.080 ; 12.900.295.324 ; 2.227 ; 28.000.781.951 ; 368.572 ; 69.617.831.082 
5;33.172.537;BANCO J.P. MORGAN S.A.; 1.101 ; 2.001.558.015 ; 9.273 ; 2.281.008.876 ; 3.701 ; 17.597.359.459 ; 7.566 ; 15.283.369.533 ; 21.641 ; 37.163.295.883 ; 1.041 ; 16.524.712.262 ; 1.073 ; 15.775.182.221 ; 2.114 ; 32.299.894.483 ; 23.755 ; 69.463.190.366 
6;00.000.000;BANCO DO BRASIL S.A.; 29.893 ; 15.100.330.407 ; 36.682 ; 6.228.747.951 ; 73.156 ; 7.057.323.416 ; 137.975 ; 10.042.678.465 ; 277.706 ; 38.429.080.240 ; 1.272 ; 2.649.756.154 ; 1.391 ; 8.916.109.544 ; 2.663 ; 11.565.865.698 ; 280.369 ; 49.994.945.937 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 323 ; 522.704.007 ; 1.539 ; 294.002.339 ; 750 ; 5.242.577.944 ; 1.559 ; 5.171.835.207 ; 4.171 ; 11.231.119.497 ; 523 ; 14.132.851.990 ; 526 ; 14.916.308.385 ; 1.049 ; 29.049.160.375 ; 5.220 ; 40.280.279.872 
8;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 630 ; 371.255.468 ; 1.847 ; 247.114.227 ; 2.007 ; 840.466.895 ; 1.983 ; 1.556.188.013 ; 6.467 ; 3.015.024.603 ; 2.313 ; 14.751.692.104 ; 2.244 ; 14.149.796.784 ; 4.557 ; 28.901.488.888 ; 11.024 ; 31.916.513.491 
9;30.306.294;BANCO BTG PACTUAL S.A.; 78 ; 931.937.834 ; 280 ; 169.103.294 ; 1.393 ; 2.839.234.299 ; 2.674 ; 2.583.019.524 ; 4.425 ; 6.523.294.952 ; 368 ; 12.479.496.050 ; 333 ; 10.702.753.544 ; 701 ; 23.182.249.594 ; 5.126 ; 29.705.544.546 
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 872 ; 1.402.736.657 ; 4.476 ; 1.198.007.887 ; 3.272 ; 7.324.052.461 ; 6.823 ; 5.808.544.608 ; 15.443 ; 15.733.341.612 ; 1.888 ; 6.298.178.941 ; 1.920 ; 7.360.244.399 ; 3.808 ; 13.658.423.340 ; 19.251 ; 29.391.764.952 
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 522 ; 2.029.541.783 ; 1.431 ; 829.325.319 ; 1.417 ; 6.831.790.735 ; 7.510 ; 7.200.840.608 ; 10.880 ; 16.891.498.444 ; 248 ; 4.460.406.020 ; 326 ; 5.125.739.251 ; 574 ; 9.586.145.271 ; 11.454 ; 26.477.643.716 
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 10 ; 10.595.869 ;;; 888 ; 2.774.779.875 ; 967 ; 3.954.582.085 ; 1.865 ; 6.739.957.830 ; 301 ; 7.154.627.009 ; 314 ; 5.412.880.348 ; 615 ; 12.567.507.357 ; 2.480 ; 19.307.465.186 
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.177 ; 4.511.756.789 ; 911 ; 4.653.442.143 ; 2.088 ; 9.165.198.932 ; 73 ; 2.639.667.605 ; 87 ; 2.780.223.453 ; 160 ; 5.419.891.058 ; 2.248 ; 14.585.089.991 
14;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 2.796 ; 3.689.025.896 ; 2.084 ; 4.844.724.756 ; 4.880 ; 8.533.750.651 ; 150 ; 3.684.200.038 ; 102 ; 1.846.198.613 ; 252 ; 5.530.398.651 ; 5.132 ; 14.064.149.302 
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 672 ; 1.552.785.839 ; 2.523 ; 782.473.265 ; 1.363 ; 2.109.451.083 ; 3.896 ; 2.751.848.597 ; 8.454 ; 7.196.558.785 ; 351 ; 3.365.506.247 ; 323 ; 2.862.015.488 ; 674 ; 6.227.521.735 ; 9.128 ; 13.424.080.520 
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 100 ; 293.072.194 ; 53 ; 40.283.433 ; 108 ; 401.288.422 ; 197 ; 57.288.101 ; 458 ; 791.932.149 ; 479 ; 5.954.790.249 ; 522 ; 6.572.180.562 ; 1.001 ; 12.526.970.810 ; 1.459 ; 13.318.902.959 
17;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 102 ; 602.132.056 ; 264 ; 332.234.850 ; 349 ; 1.563.268.783 ; 695 ; 1.423.755.782 ; 1.410 ; 3.921.391.471 ; 894 ; 4.296.877.675 ; 1.252 ; 4.666.484.278 ; 2.146 ; 8.963.361.952 ; 3.556 ; 12.884.753.423 
