Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.165 ; 2.756.622.584 ; 21.283 ; 2.464.356.016 ; 20.745 ; 8.559.384.786 ; 28.837 ; 6.130.587.379 ; 77.030 ; 19.910.950.766 ; 649 ; 9.222.905.356 ; 618 ; 9.559.078.162 ; 1.267 ; 18.781.983.518 ; 78.297 ; 38.692.934.283 
2;60.746.948;BANCO BRADESCO S.A.; 7.882 ; 5.387.750.456 ; 19.839 ; 3.158.989.691 ; 37.059 ; 5.205.241.280 ; 27.693 ; 4.488.593.791 ; 92.473 ; 18.240.575.218 ; 597 ; 2.233.085.602 ; 724 ; 5.548.533.342 ; 1.321 ; 7.781.618.944 ; 93.794 ; 26.022.194.161 
3;33.172.537;BANCO J.P. MORGAN S.A.; 274 ; 520.138.103 ; 2.246 ; 712.661.409 ; 1.006 ; 4.914.742.498 ; 2.042 ; 2.613.069.799 ; 5.568 ; 8.760.611.809 ; 272 ; 7.108.361.939 ; 272 ; 5.357.379.170 ; 544 ; 12.465.741.109 ; 6.112 ; 21.226.352.918 
4;33.479.023;BANCO CITIBANK S.A.; 1.472 ; 1.596.870.633 ; 6.753 ; 1.713.443.042 ; 7.724 ; 7.642.387.838 ; 9.938 ; 5.981.652.877 ; 25.887 ; 16.934.354.389 ; 260 ; 2.010.691.292 ; 283 ; 2.267.146.309 ; 543 ; 4.277.837.602 ; 26.430 ; 21.212.191.991 
5;60.701.190;ITAÚ UNIBANCO S.A.; 7.925 ; 1.630.904.691 ; 14.857 ; 1.403.008.579 ; 35.016 ; 3.427.816.812 ; 31.214 ; 3.369.474.156 ; 89.012 ; 9.831.204.238 ; 348 ; 5.010.295.074 ; 299 ; 3.974.266.411 ; 647 ; 8.984.561.485 ; 89.659 ; 18.815.765.723 
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 141 ; 208.688.301 ; 619 ; 126.994.834 ; 202 ; 1.574.275.605 ; 429 ; 2.002.688.475 ; 1.391 ; 3.912.647.215 ; 154 ; 6.818.635.513 ; 145 ; 6.589.284.591 ; 299 ; 13.407.920.103 ; 1.690 ; 17.320.567.318 
7;00.000.000;BANCO DO BRASIL S.A.; 8.404 ; 5.125.432.917 ; 9.376 ; 1.889.573.271 ; 19.748 ; 1.511.208.241 ; 30.064 ; 2.234.183.547 ; 67.592 ; 10.760.397.977 ; 291 ; 609.414.983 ; 327 ; 2.561.497.429 ; 618 ; 3.170.912.412 ; 68.210 ; 13.931.310.389 
8;30.306.294;BANCO BTG PACTUAL S.A.; 17 ; 156.913.212 ; 101 ; 55.758.728 ; 400 ; 1.024.209.168 ; 552 ; 1.091.773.367 ; 1.070 ; 2.328.654.475 ; 119 ; 5.916.602.979 ; 92 ; 4.444.410.025 ; 211 ; 10.361.013.004 ; 1.281 ; 12.689.667.479 
9;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 146 ; 97.192.562 ; 456 ; 54.464.872 ; 495 ; 190.042.139 ; 406 ; 585.708.734 ; 1.503 ; 927.408.307 ; 572 ; 3.593.491.818 ; 543 ; 3.014.097.628 ; 1.115 ; 6.607.589.446 ; 2.618 ; 7.534.997.754 
