Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 27.464 ; 10.362.689.687 ; 105.622 ; 11.442.926.219 ; 97.528 ; 32.262.218.665 ; 147.893 ; 28.639.776.394 ; 378.507 ; 82.707.610.964 ; 3.181 ; 40.324.404.482 ; 2.926 ; 34.649.526.738 ; 6.107 ; 74.973.931.220 ; 384.614 ; 157.681.542.184 
2;60.746.948;BANCO BRADESCO S.A.; 37.178 ; 23.148.677.094 ; 100.477 ; 14.208.216.493 ; 180.370 ; 26.198.288.956 ; 138.277 ; 30.082.927.707 ; 456.302 ; 93.638.110.250 ; 3.479 ; 14.061.684.173 ; 3.712 ; 18.968.145.973 ; 7.191 ; 33.029.830.145 ; 463.493 ; 126.667.940.395 
3;33.479.023;BANCO CITIBANK S.A.; 6.947 ; 7.609.071.799 ; 33.259 ; 8.170.893.267 ; 35.758 ; 37.770.494.557 ; 51.906 ; 39.163.262.500 ; 127.870 ; 92.713.722.123 ; 1.560 ; 14.480.368.713 ; 1.613 ; 12.652.795.523 ; 3.173 ; 27.133.164.236 ; 131.043 ; 119.846.886.359 
4;60.701.190;ITAÚ UNIBANCO S.A.; 36.597 ; 7.018.126.548 ; 76.918 ; 7.010.238.958 ; 186.932 ; 21.646.447.017 ; 156.773 ; 20.867.112.902 ; 457.220 ; 56.541.925.425 ; 1.416 ; 18.730.866.415 ; 1.334 ; 15.148.417.761 ; 2.750 ; 33.879.284.176 ; 459.970 ; 90.421.209.601 
5;33.172.537;BANCO J.P. MORGAN S.A.; 1.433 ; 2.652.720.513 ; 11.787 ; 2.950.696.872 ; 4.747 ; 23.738.690.579 ; 9.784 ; 21.336.603.459 ; 27.751 ; 50.678.711.422 ; 1.299 ; 18.071.419.407 ; 1.351 ; 19.004.724.851 ; 2.650 ; 37.076.144.258 ; 30.401 ; 87.754.855.681 
6;00.000.000;BANCO DO BRASIL S.A.; 37.841 ; 20.297.111.931 ; 46.528 ; 8.089.324.969 ; 91.486 ; 8.307.951.854 ; 166.278 ; 11.914.087.110 ; 342.133 ; 48.608.475.864 ; 1.565 ; 3.085.250.801 ; 1.759 ; 12.389.533.437 ; 3.324 ; 15.474.784.238 ; 345.457 ; 64.083.260.102 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 347 ; 722.078.012 ; 1.794 ; 347.136.024 ; 954 ; 6.219.504.534 ; 1.957 ; 7.001.718.581 ; 5.052 ; 14.290.437.151 ; 712 ; 21.585.415.875 ; 668 ; 21.310.815.354 ; 1.380 ; 42.896.231.229 ; 6.432 ; 57.186.668.380 
8;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 759 ; 472.797.730 ; 2.352 ; 320.268.564 ; 2.533 ; 1.698.759.039 ; 2.522 ; 2.101.299.712 ; 8.166 ; 4.593.125.046 ; 2.859 ; 18.563.565.245 ; 2.784 ; 17.916.328.488 ; 5.643 ; 36.479.893.733 ; 13.809 ; 41.073.018.780 
9;30.306.294;BANCO BTG PACTUAL S.A.; 92 ; 979.381.506 ; 373 ; 219.723.864 ; 1.716 ; 3.295.115.113 ; 3.239 ; 3.102.436.818 ; 5.420 ; 7.596.657.301 ; 463 ; 14.961.415.549 ; 444 ; 13.617.210.534 ; 907 ; 28.578.626.082 ; 6.327 ; 36.175.283.384 
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.066 ; 1.751.818.832 ; 5.596 ; 1.430.434.889 ; 4.140 ; 9.183.803.552 ; 8.696 ; 7.617.315.637 ; 19.498 ; 19.983.372.910 ; 2.284 ; 6.946.613.770 ; 2.315 ; 8.181.614.643 ; 4.599 ; 15.128.228.413 ; 24.097 ; 35.111.601.323 
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 651 ; 2.346.734.125 ; 1.760 ; 970.482.941 ; 1.743 ; 8.427.195.408 ; 9.119 ; 8.935.227.272 ; 13.273 ; 20.679.639.747 ; 361 ; 5.176.283.889 ; 402 ; 5.913.354.197 ; 763 ; 11.089.638.086 ; 14.036 ; 31.769.277.833 
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 10 ; 702.718 ; 2 ; 732.870 ; 1.133 ; 4.979.461.155 ; 1.201 ; 6.221.572.029 ; 2.346 ; 11.202.468.773 ; 339 ; 9.446.171.533 ; 358 ; 7.575.596.793 ; 697 ; 17.021.768.326 ; 3.043 ; 28.224.237.099 
13;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 126 ; 684.000.872 ; 441 ; 426.148.403 ; 457 ; 2.359.071.973 ; 981 ; 2.909.415.224 ; 2.005 ; 6.378.636.472 ; 1.122 ; 5.975.193.627 ; 1.585 ; 5.799.054.595 ; 2.707 ; 11.774.248.222 ; 4.712 ; 18.152.884.694 
14;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.462 ; 5.721.871.708 ; 1.124 ; 5.260.990.928 ; 2.586 ; 10.982.862.636 ; 82 ; 2.895.877.115 ; 118 ; 4.035.422.159 ; 200 ; 6.931.299.274 ; 2.786 ; 17.914.161.910 
15;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 197.000.000 ;;; 3.407 ; 4.708.436.603 ; 2.730 ; 5.963.676.601 ; 6.139 ; 10.869.113.203 ; 179 ; 4.268.357.763 ; 130 ; 2.604.360.621 ; 309 ; 6.872.718.384 ; 6.448 ; 17.741.831.588 
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 125 ; 362.275.549 ; 64 ; 47.559.395 ; 152 ; 524.539.922 ; 245 ; 66.755.015 ; 586 ; 1.001.129.881 ; 603 ; 7.815.845.588 ; 663 ; 8.605.214.628 ; 1.266 ; 16.421.060.217 ; 1.852 ; 17.422.190.098 
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 830 ; 1.975.053.545 ; 3.237 ; 1.028.454.273 ; 1.696 ; 2.673.412.686 ; 4.612 ; 3.388.859.135 ; 10.375 ; 9.065.779.638 ; 432 ; 3.963.956.897 ; 404 ; 3.644.969.919 ; 836 ; 7.608.926.817 ; 11.211 ; 16.674.706.455 
18;59.588.111;BANCO VOTORANTIM S.A.; 564 ; 1.303.341.949 ; 2.649 ; 549.495.808 ; 1.264 ; 1.293.609.116 ; 3.755 ; 2.091.318.498 ; 8.232 ; 5.237.765.372 ; 1.563 ; 3.719.939.405 ; 4.106 ; 3.683.843.278 ; 5.669 ; 7.403.782.684 ; 13.901 ; 12.641.548.055 
